chunk,accuracy
0,0.0
1,0.105
2,0.165
3,0.165
4,0.19
5,0.23
6,0.225
7,0.275
8,0.22
9,0.245
10,0.265
11,0.235
12,0.275
13,0.235
14,0.275
15,0.25
16,0.355
17,0.305
18,0.345
19,0.23
20,0.25
21,0.355
22,0.305
23,0.3
24,0.31
25,0.31
26,0.29
27,0.28
28,0.3
29,0.33
30,0.33
31,0.325
32,0.31
33,0.35
34,0.315
35,0.295
36,0.25
37,0.38
38,0.35
39,0.28
40,0.335
41,0.305
42,0.265
43,0.275
44,0.305
45,0.32
46,0.315
47,0.32
48,0.345
49,0.27
50,0.345
51,0.335
52,0.35
53,0.32
54,0.37
55,0.335
56,0.31
57,0.26
58,0.325
59,0.315
60,0.37
61,0.345
62,0.325
63,0.34
64,0.355
65,0.3
66,0.32
67,0.325
68,0.315
69,0.33
70,0.305
71,0.36
72,0.295
73,0.35
74,0.32
75,0.295
76,0.3
77,0.37
78,0.34
79,0.36
80,0.305
81,0.34
82,0.315
83,0.355
84,0.275
85,0.305
86,0.32
87,0.315
88,0.315
89,0.35
90,0.355
91,0.27
92,0.355
93,0.305
94,0.31
95,0.335
96,0.255
97,0.305
98,0.325
99,0.305
100,0.28
101,0.335
102,0.34
103,0.27
104,0.3
105,0.295
106,0.355
107,0.305
108,0.32
109,0.285
110,0.385
111,0.325
112,0.3
113,0.285
114,0.29
115,0.27
116,0.315
117,0.305
118,0.32
119,0.265
120,0.325
121,0.295
122,0.34
123,0.3
124,0.31
125,0.32
126,0.36
127,0.325
128,0.275
129,0.315
130,0.255
131,0.335
132,0.26
133,0.35
134,0.315
135,0.285
136,0.33
137,0.26
138,0.35
139,0.295
140,0.275
141,0.305
142,0.275
143,0.285
144,0.31
145,0.295
146,0.31
147,0.31
148,0.315
149,0.31
150,0.16
151,0.185
152,0.13
153,0.145
154,0.235
155,0.22
156,0.18
157,0.185
158,0.175
159,0.195
160,0.215
161,0.21
162,0.245
163,0.22
164,0.17
165,0.255
166,0.17
167,0.225
168,0.19
169,0.155
170,0.205
171,0.19
172,0.22
173,0.14
174,0.17
175,0.185
176,0.235
177,0.22
178,0.2
179,0.235
180,0.2
181,0.2
182,0.2
183,0.17
184,0.2
185,0.23
186,0.27
187,0.25
188,0.21
189,0.18
190,0.195
191,0.16
192,0.23
193,0.21
194,0.21
195,0.24
196,0.22
197,0.245
198,0.19
199,0.215
200,0.235
201,0.23
202,0.225
203,0.27
204,0.195
205,0.225
206,0.215
207,0.175
208,0.215
209,0.18
210,0.22
211,0.245
212,0.255
213,0.22
214,0.265
215,0.215
216,0.17
217,0.27
218,0.205
219,0.24
220,0.22
221,0.275
222,0.225
223,0.22
224,0.22
225,0.22
226,0.165
227,0.215
228,0.205
229,0.2
230,0.245
231,0.23
232,0.2
233,0.205
234,0.235
235,0.25
236,0.2
237,0.22
238,0.22
239,0.185
240,0.24
241,0.21
242,0.245
243,0.2
244,0.25
245,0.24
246,0.17
247,0.205
248,0.26
249,0.26
250,0.205
251,0.205
252,0.18
253,0.265
254,0.18
255,0.26
256,0.235
257,0.22
258,0.25
259,0.2
260,0.155
261,0.195
262,0.24
263,0.24
264,0.24
265,0.205
266,0.2
267,0.23
268,0.245
269,0.205
270,0.17
271,0.195
272,0.235
273,0.2
274,0.205
275,0.19
276,0.225
277,0.165
278,0.2
279,0.255
280,0.185
281,0.255
282,0.23
283,0.22
284,0.225
285,0.2
286,0.2
287,0.185
288,0.165
289,0.21
290,0.205
291,0.22
292,0.28
293,0.285
294,0.22
295,0.21
296,0.235
297,0.245
298,0.22
