chunk,accuracy
0,0.0
1,0.08
2,0.11
3,0.16
4,0.13
5,0.16
6,0.18
7,0.23
8,0.225
9,0.18
10,0.205
11,0.21
12,0.15
13,0.17
14,0.31
15,0.15
16,0.245
17,0.24
18,0.26
19,0.18
20,0.305
21,0.2
22,0.175
23,0.275
24,0.175
25,0.215
26,0.225
27,0.21
28,0.235
29,0.18
30,0.175
31,0.215
32,0.245
33,0.205
34,0.21
35,0.165
36,0.235
37,0.195
38,0.225
39,0.195
40,0.235
41,0.225
42,0.21
43,0.18
44,0.215
45,0.21
46,0.13
47,0.27
48,0.205
49,0.205
50,0.245
51,0.235
52,0.175
53,0.22
54,0.22
55,0.2
56,0.24
57,0.22
58,0.215
59,0.17
60,0.23
61,0.205
62,0.195
63,0.18
64,0.205
65,0.225
66,0.195
67,0.215
68,0.215
69,0.275
70,0.215
71,0.16
72,0.225
73,0.2
74,0.255
75,0.245
76,0.155
77,0.18
78,0.255
79,0.24
80,0.205
81,0.24
82,0.195
83,0.24
84,0.225
85,0.195
86,0.24
87,0.19
88,0.2
89,0.22
90,0.205
91,0.24
92,0.24
93,0.205
94,0.175
95,0.195
96,0.27
97,0.28
98,0.205
99,0.245
100,0.2
101,0.17
102,0.225
103,0.17
104,0.24
105,0.195
106,0.215
107,0.185
108,0.165
109,0.225
110,0.235
111,0.24
112,0.21
113,0.275
114,0.175
115,0.23
116,0.23
117,0.245
118,0.23
119,0.18
120,0.22
121,0.22
122,0.21
123,0.265
124,0.23
125,0.19
126,0.205
127,0.185
128,0.215
129,0.255
130,0.19
131,0.215
132,0.235
133,0.245
134,0.19
135,0.27
136,0.24
137,0.165
138,0.24
139,0.23
140,0.195
141,0.23
142,0.2
143,0.24
144,0.225
145,0.18
146,0.215
147,0.165
148,0.27
149,0.19
150,0.155
151,0.205
152,0.185
153,0.33
154,0.305
155,0.26
156,0.27
157,0.255
158,0.225
159,0.24
160,0.195
161,0.28
162,0.285
163,0.295
164,0.245
165,0.29
166,0.32
167,0.305
168,0.355
169,0.28
170,0.33
171,0.28
172,0.32
173,0.29
174,0.305
175,0.265
176,0.29
177,0.275
178,0.305
179,0.28
180,0.29
181,0.31
182,0.3
183,0.3
184,0.28
185,0.285
186,0.315
187,0.33
188,0.3
189,0.3
190,0.28
191,0.36
192,0.285
193,0.315
194,0.31
195,0.27
196,0.24
197,0.28
198,0.305
199,0.285
200,0.295
201,0.255
202,0.31
203,0.325
204,0.31
205,0.295
206,0.315
207,0.295
208,0.355
209,0.375
210,0.28
211,0.285
212,0.345
213,0.285
214,0.29
215,0.295
216,0.305
217,0.305
218,0.355
219,0.355
220,0.325
221,0.33
222,0.365
223,0.335
224,0.365
225,0.275
226,0.285
227,0.32
228,0.28
229,0.285
230,0.32
231,0.33
232,0.32
233,0.315
234,0.365
235,0.325
236,0.305
237,0.325
238,0.285
239,0.315
240,0.3
241,0.34
242,0.405
243,0.325
244,0.335
245,0.33
246,0.35
247,0.305
248,0.33
249,0.32
250,0.3
251,0.31
252,0.29
253,0.295
254,0.315
255,0.28
256,0.365
257,0.305
258,0.265
259,0.26
260,0.25
261,0.28
262,0.375
263,0.245
264,0.32
265,0.275
266,0.285
267,0.295
268,0.3
269,0.295
270,0.32
271,0.265
272,0.29
273,0.275
274,0.345
275,0.265
276,0.31
277,0.335
278,0.315
279,0.24
280,0.325
281,0.335
282,0.315
283,0.295
284,0.32
285,0.26
286,0.29
287,0.31
288,0.305
289,0.28
290,0.295
291,0.33
292,0.29
293,0.315
294,0.3
295,0.33
296,0.335
297,0.275
298,0.275
