chunk,accuracy
0,0.0
1,0.095
2,0.125
3,0.13
4,0.17
5,0.14
6,0.145
7,0.165
8,0.215
9,0.18
10,0.195
11,0.21
12,0.235
13,0.145
14,0.235
15,0.135
16,0.21
17,0.235
18,0.225
19,0.255
20,0.235
21,0.16
22,0.245
23,0.245
24,0.21
25,0.205
26,0.195
27,0.225
28,0.285
29,0.255
30,0.18
31,0.265
32,0.28
33,0.21
34,0.195
35,0.21
36,0.205
37,0.305
38,0.21
39,0.32
40,0.275
41,0.23
42,0.27
43,0.255
44,0.28
45,0.31
46,0.305
47,0.265
48,0.255
49,0.285
50,0.265
51,0.275
52,0.215
53,0.28
54,0.305
55,0.265
56,0.185
57,0.27
58,0.28
59,0.305
60,0.28
61,0.235
62,0.315
63,0.235
64,0.27
65,0.255
66,0.275
67,0.29
68,0.235
69,0.36
70,0.225
71,0.205
72,0.36
73,0.235
74,0.305
75,0.285
76,0.305
77,0.28
78,0.305
79,0.275
80,0.33
81,0.275
82,0.32
83,0.25
84,0.295
85,0.31
86,0.33
87,0.265
88,0.295
89,0.31
90,0.235
91,0.28
92,0.37
93,0.245
94,0.21
95,0.325
96,0.285
97,0.27
98,0.29
99,0.305
100,0.3
101,0.32
102,0.35
103,0.31
104,0.345
105,0.27
106,0.29
107,0.28
108,0.33
109,0.355
110,0.335
111,0.28
112,0.29
113,0.325
114,0.33
115,0.305
116,0.34
117,0.36
118,0.275
119,0.31
120,0.29
121,0.24
122,0.33
123,0.325
124,0.34
125,0.335
126,0.315
127,0.285
128,0.32
129,0.27
130,0.27
131,0.33
132,0.32
133,0.37
134,0.2
135,0.295
136,0.3
137,0.31
138,0.285
139,0.345
140,0.345
141,0.25
142,0.345
143,0.325
144,0.295
145,0.315
146,0.21
147,0.315
148,0.295
149,0.345
150,0.34
151,0.34
152,0.4
153,0.345
154,0.34
155,0.365
156,0.395
157,0.34
158,0.285
159,0.32
160,0.285
161,0.32
162,0.375
163,0.305
164,0.305
165,0.365
166,0.395
167,0.345
168,0.395
169,0.4
170,0.28
171,0.32
172,0.315
173,0.39
174,0.265
175,0.26
176,0.34
177,0.36
178,0.335
179,0.345
180,0.24
181,0.35
182,0.315
183,0.32
184,0.38
185,0.33
186,0.355
187,0.355
188,0.33
189,0.37
190,0.325
191,0.395
192,0.33
193,0.35
194,0.415
195,0.38
196,0.34
197,0.265
198,0.355
199,0.33
200,0.32
201,0.41
202,0.39
203,0.37
204,0.35
205,0.355
206,0.39
207,0.36
208,0.38
209,0.33
210,0.24
211,0.32
212,0.39
213,0.385
214,0.365
215,0.35
216,0.345
217,0.32
218,0.33
219,0.365
220,0.34
221,0.365
222,0.39
223,0.32
224,0.42
225,0.355
226,0.305
227,0.39
228,0.385
229,0.375
230,0.4
231,0.335
232,0.355
233,0.415
234,0.31
235,0.37
236,0.39
237,0.405
238,0.255
239,0.36
240,0.415
241,0.435
242,0.44
243,0.39
244,0.385
245,0.44
246,0.44
247,0.39
248,0.275
249,0.37
250,0.335
251,0.37
252,0.435
253,0.34
254,0.265
255,0.36
256,0.355
257,0.335
258,0.295
259,0.345
260,0.355
261,0.38
262,0.41
263,0.405
264,0.225
265,0.365
266,0.34
267,0.475
268,0.32
269,0.375
270,0.415
271,0.4
272,0.365
273,0.415
274,0.375
275,0.435
276,0.34
277,0.41
278,0.27
279,0.38
280,0.395
281,0.305
282,0.39
283,0.41
284,0.375
285,0.335
286,0.385
287,0.39
288,0.385
289,0.28
290,0.425
291,0.385
292,0.36
293,0.46
294,0.355
295,0.405
296,0.42
297,0.415
298,0.435
