chunk,accuracy
0,0.0
1,0.125
2,0.14
3,0.17
4,0.2
5,0.165
6,0.145
7,0.245
8,0.21
9,0.205
10,0.21
11,0.21
12,0.22
13,0.255
14,0.225
15,0.165
16,0.21
17,0.26
18,0.245
19,0.145
20,0.285
21,0.3
22,0.23
23,0.21
24,0.22
25,0.245
26,0.225
27,0.225
28,0.23
29,0.195
30,0.155
31,0.215
32,0.22
33,0.265
34,0.195
35,0.23
36,0.185
37,0.2
38,0.245
39,0.205
40,0.19
41,0.17
42,0.245
43,0.275
44,0.165
45,0.205
46,0.175
47,0.215
48,0.18
49,0.215
50,0.215
51,0.19
52,0.16
53,0.205
54,0.27
55,0.24
56,0.195
57,0.205
58,0.205
59,0.24
60,0.215
61,0.18
62,0.205
63,0.215
64,0.22
65,0.235
66,0.12
67,0.235
68,0.155
69,0.18
70,0.2
71,0.205
72,0.18
73,0.21
74,0.245
75,0.22
76,0.255
77,0.255
78,0.27
79,0.165
80,0.215
81,0.225
82,0.23
83,0.205
84,0.22
85,0.22
86,0.175
87,0.19
88,0.195
89,0.215
90,0.18
91,0.245
92,0.26
93,0.225
94,0.27
95,0.155
96,0.14
97,0.18
98,0.22
99,0.22
100,0.2
101,0.24
102,0.225
103,0.19
104,0.18
105,0.17
106,0.245
107,0.2
108,0.26
109,0.255
110,0.215
111,0.255
112,0.2
113,0.175
114,0.21
115,0.22
116,0.26
117,0.25
118,0.23
119,0.2
120,0.215
121,0.195
122,0.265
123,0.195
124,0.19
125,0.2
126,0.22
127,0.21
128,0.21
129,0.23
130,0.235
131,0.22
132,0.25
133,0.195
134,0.245
135,0.26
136,0.225
137,0.17
138,0.25
139,0.25
140,0.24
141,0.22
142,0.165
143,0.19
144,0.205
145,0.19
146,0.2
147,0.28
148,0.22
149,0.195
150,0.215
151,0.185
152,0.215
153,0.18
154,0.215
155,0.22
156,0.27
157,0.275
158,0.23
159,0.245
160,0.22
161,0.28
162,0.24
163,0.26
164,0.265
165,0.285
166,0.25
167,0.285
168,0.295
169,0.35
170,0.305
171,0.29
172,0.34
173,0.315
174,0.285
175,0.33
176,0.31
177,0.3
178,0.32
179,0.345
180,0.275
181,0.28
182,0.345
183,0.325
184,0.32
185,0.315
186,0.315
187,0.32
188,0.27
189,0.31
190,0.36
191,0.325
192,0.28
193,0.305
194,0.31
195,0.315
196,0.32
197,0.36
198,0.275
199,0.345
200,0.295
201,0.29
202,0.34
203,0.32
204,0.245
205,0.3
206,0.285
207,0.265
208,0.33
209,0.245
210,0.305
211,0.275
212,0.35
213,0.375
214,0.33
215,0.325
216,0.32
217,0.33
218,0.295
219,0.305
220,0.27
221,0.3
222,0.295
223,0.385
224,0.32
225,0.325
226,0.34
227,0.265
228,0.335
229,0.305
230,0.3
231,0.31
232,0.295
233,0.335
234,0.295
235,0.33
236,0.265
237,0.3
238,0.35
239,0.36
240,0.325
241,0.325
242,0.29
243,0.285
244,0.3
245,0.29
246,0.28
247,0.315
248,0.32
249,0.305
250,0.33
251,0.285
252,0.31
253,0.335
254,0.265
255,0.32
256,0.275
257,0.31
258,0.36
259,0.24
260,0.35
261,0.26
262,0.315
263,0.335
264,0.36
265,0.35
266,0.345
267,0.365
268,0.33
269,0.37
270,0.325
271,0.325
272,0.345
273,0.34
274,0.37
275,0.315
276,0.34
277,0.33
278,0.385
279,0.305
280,0.27
281,0.365
282,0.31
283,0.255
284,0.29
285,0.31
286,0.28
287,0.355
288,0.29
289,0.35
290,0.355
291,0.295
292,0.27
293,0.33
294,0.28
295,0.35
296,0.345
297,0.295
298,0.415
