chunk,accuracy
0,0.0
1,0.09
2,0.13
3,0.16
4,0.15
5,0.235
6,0.18
7,0.185
8,0.245
9,0.18
10,0.245
11,0.285
12,0.255
13,0.3
14,0.21
15,0.26
16,0.21
17,0.265
18,0.285
19,0.265
20,0.255
21,0.295
22,0.17
23,0.31
24,0.295
25,0.275
26,0.235
27,0.32
28,0.26
29,0.225
30,0.255
31,0.305
32,0.33
33,0.32
34,0.39
35,0.27
36,0.335
37,0.205
38,0.345
39,0.24
40,0.31
41,0.29
42,0.275
43,0.335
44,0.215
45,0.335
46,0.28
47,0.355
48,0.325
49,0.175
50,0.385
51,0.31
52,0.35
53,0.335
54,0.36
55,0.295
56,0.385
57,0.29
58,0.32
59,0.39
60,0.365
61,0.265
62,0.295
63,0.42
64,0.41
65,0.37
66,0.38
67,0.31
68,0.365
69,0.375
70,0.34
71,0.32
72,0.36
73,0.44
74,0.43
75,0.375
76,0.37
77,0.355
78,0.34
79,0.31
80,0.33
81,0.345
82,0.37
83,0.3
84,0.31
85,0.37
86,0.35
87,0.375
88,0.335
89,0.275
90,0.4
91,0.33
92,0.435
93,0.335
94,0.345
95,0.3
96,0.33
97,0.345
98,0.385
99,0.405
100,0.39
101,0.33
102,0.21
103,0.4
104,0.365
105,0.405
106,0.305
107,0.295
108,0.305
109,0.33
110,0.325
111,0.36
112,0.37
113,0.29
114,0.355
115,0.335
116,0.305
117,0.285
118,0.41
119,0.355
120,0.37
121,0.405
122,0.435
123,0.315
124,0.385
125,0.28
126,0.34
127,0.395
128,0.4
129,0.325
130,0.395
131,0.405
132,0.36
133,0.36
134,0.33
135,0.36
136,0.39
137,0.37
138,0.41
139,0.32
140,0.405
141,0.415
142,0.395
143,0.38
144,0.38
145,0.36
146,0.44
147,0.305
148,0.35
149,0.34
150,0.26
151,0.36
152,0.265
153,0.355
154,0.25
155,0.265
156,0.355
157,0.35
158,0.26
159,0.42
160,0.39
161,0.25
162,0.31
163,0.26
164,0.335
165,0.36
166,0.32
167,0.335
168,0.27
169,0.27
170,0.295
171,0.37
172,0.38
173,0.28
174,0.385
175,0.375
176,0.39
177,0.32
178,0.395
179,0.26
180,0.39
181,0.355
182,0.295
183,0.31
184,0.34
185,0.42
186,0.36
187,0.32
188,0.37
189,0.245
190,0.39
191,0.35
192,0.25
193,0.205
194,0.38
195,0.31
196,0.425
197,0.385
198,0.32
199,0.365
200,0.405
201,0.33
202,0.345
203,0.315
204,0.335
205,0.32
206,0.35
207,0.37
208,0.285
209,0.33
210,0.35
211,0.335
212,0.38
213,0.345
214,0.285
215,0.375
216,0.36
217,0.27
218,0.395
219,0.355
220,0.395
221,0.465
222,0.34
223,0.375
224,0.385
225,0.28
226,0.345
227,0.34
228,0.335
229,0.345
230,0.4
231,0.31
232,0.415
233,0.35
234,0.315
235,0.4
236,0.38
237,0.35
238,0.355
239,0.42
240,0.345
241,0.3
242,0.37
243,0.38
244,0.355
245,0.35
246,0.32
247,0.435
248,0.33
249,0.4
250,0.38
251,0.36
252,0.355
253,0.425
254,0.385
255,0.37
256,0.39
257,0.34
258,0.255
259,0.34
260,0.395
261,0.34
262,0.365
263,0.35
264,0.395
265,0.345
266,0.35
267,0.46
268,0.34
269,0.295
270,0.275
271,0.425
272,0.365
273,0.415
274,0.335
275,0.39
276,0.325
277,0.28
278,0.355
279,0.37
280,0.29
281,0.375
282,0.36
283,0.43
284,0.36
285,0.355
286,0.345
287,0.355
288,0.365
289,0.38
290,0.41
291,0.405
292,0.425
293,0.41
294,0.425
295,0.41
296,0.42
297,0.34
298,0.43
