chunk,accuracy
0,0.0
1,0.07
2,0.175
3,0.175
4,0.185
5,0.225
6,0.255
7,0.22
8,0.225
9,0.215
10,0.33
11,0.345
12,0.315
13,0.2
14,0.265
15,0.31
16,0.29
17,0.235
18,0.265
19,0.3
20,0.26
21,0.385
22,0.29
23,0.38
24,0.245
25,0.32
26,0.31
27,0.295
28,0.395
29,0.335
30,0.33
31,0.305
32,0.34
33,0.3
34,0.32
35,0.305
36,0.275
37,0.355
38,0.385
39,0.385
40,0.285
41,0.265
42,0.375
43,0.295
44,0.34
45,0.33
46,0.275
47,0.315
48,0.225
49,0.27
50,0.33
51,0.3
52,0.245
53,0.325
54,0.33
55,0.29
56,0.29
57,0.24
58,0.33
59,0.275
60,0.345
61,0.325
62,0.345
63,0.27
64,0.285
65,0.32
66,0.21
67,0.315
68,0.325
69,0.315
70,0.255
71,0.305
72,0.275
73,0.3
74,0.325
75,0.36
76,0.34
77,0.3
78,0.3
79,0.37
80,0.265
81,0.33
82,0.325
83,0.315
84,0.355
85,0.3
86,0.29
87,0.27
88,0.285
89,0.27
90,0.275
91,0.325
92,0.355
93,0.35
94,0.29
95,0.3
96,0.27
97,0.295
98,0.3
99,0.315
100,0.36
101,0.335
102,0.36
103,0.3
104,0.31
105,0.3
106,0.29
107,0.36
108,0.33
109,0.285
110,0.265
111,0.275
112,0.33
113,0.32
114,0.32
115,0.315
116,0.36
117,0.29
118,0.3
119,0.325
120,0.36
121,0.385
122,0.27
123,0.37
124,0.23
125,0.345
126,0.34
127,0.3
128,0.31
129,0.29
130,0.345
131,0.32
132,0.305
133,0.3
134,0.345
135,0.335
136,0.335
137,0.315
138,0.265
139,0.29
140,0.315
141,0.26
142,0.305
143,0.33
144,0.285
145,0.31
146,0.315
147,0.3
148,0.385
149,0.325
150,0.155
151,0.17
152,0.21
153,0.255
154,0.18
155,0.175
156,0.21
157,0.195
158,0.24
159,0.205
160,0.19
161,0.215
162,0.21
163,0.185
164,0.205
165,0.235
166,0.185
167,0.23
168,0.215
169,0.245
170,0.275
171,0.19
172,0.245
173,0.28
174,0.17
175,0.18
176,0.18
177,0.2
178,0.23
179,0.235
180,0.21
181,0.23
182,0.21
183,0.205
184,0.245
185,0.18
186,0.2
187,0.17
188,0.21
189,0.19
190,0.22
191,0.235
192,0.225
193,0.175
194,0.19
195,0.2
196,0.19
197,0.245
198,0.19
199,0.275
200,0.26
201,0.18
202,0.185
203,0.205
204,0.22
205,0.195
206,0.19
207,0.215
208,0.22
209,0.24
210,0.205
211,0.22
212,0.2
213,0.235
214,0.23
215,0.185
216,0.195
217,0.22
218,0.225
219,0.165
220,0.165
221,0.175
222,0.18
223,0.2
224,0.255
225,0.185
226,0.155
227,0.22
228,0.205
229,0.24
230,0.225
231,0.195
232,0.25
233,0.255
234,0.22
235,0.235
236,0.24
237,0.235
238,0.26
239,0.22
240,0.25
241,0.205
242,0.21
243,0.27
244,0.25
245,0.21
246,0.24
247,0.18
248,0.2
249,0.23
250,0.25
251,0.185
252,0.16
253,0.24
254,0.22
255,0.2
256,0.255
257,0.185
258,0.17
259,0.18
260,0.22
261,0.205
262,0.225
263,0.205
264,0.21
265,0.19
266,0.22
267,0.225
268,0.235
269,0.21
270,0.23
271,0.205
272,0.23
273,0.16
274,0.18
275,0.215
276,0.205
277,0.19
278,0.24
279,0.175
280,0.225
281,0.2
282,0.22
283,0.245
284,0.26
285,0.18
286,0.175
287,0.19
288,0.245
289,0.2
290,0.205
291,0.17
292,0.245
293,0.18
294,0.185
295,0.195
296,0.215
297,0.22
298,0.235
