chunk,accuracy
0,0.0
1,0.085
2,0.145
3,0.15
4,0.16
5,0.115
6,0.135
7,0.125
8,0.235
9,0.17
10,0.18
11,0.175
12,0.19
13,0.125
14,0.285
15,0.19
16,0.17
17,0.19
18,0.28
19,0.175
20,0.305
21,0.26
22,0.22
23,0.25
24,0.22
25,0.26
26,0.31
27,0.25
28,0.185
29,0.295
30,0.31
31,0.335
32,0.23
33,0.26
34,0.175
35,0.24
36,0.265
37,0.32
38,0.175
39,0.255
40,0.28
41,0.3
42,0.265
43,0.24
44,0.305
45,0.345
46,0.31
47,0.255
48,0.27
49,0.22
50,0.375
51,0.28
52,0.2
53,0.295
54,0.285
55,0.31
56,0.285
57,0.265
58,0.31
59,0.33
60,0.25
61,0.34
62,0.34
63,0.25
64,0.275
65,0.33
66,0.35
67,0.32
68,0.31
69,0.365
70,0.36
71,0.325
72,0.37
73,0.335
74,0.275
75,0.23
76,0.295
77,0.34
78,0.33
79,0.365
80,0.235
81,0.26
82,0.27
83,0.345
84,0.335
85,0.28
86,0.34
87,0.255
88,0.295
89,0.305
90,0.295
91,0.25
92,0.35
93,0.31
94,0.285
95,0.37
96,0.27
97,0.215
98,0.29
99,0.265
100,0.305
101,0.375
102,0.31
103,0.31
104,0.31
105,0.315
106,0.39
107,0.31
108,0.255
109,0.345
110,0.3
111,0.355
112,0.315
113,0.28
114,0.305
115,0.29
116,0.355
117,0.36
118,0.24
119,0.33
120,0.305
121,0.355
122,0.275
123,0.255
124,0.355
125,0.375
126,0.36
127,0.39
128,0.285
129,0.29
130,0.385
131,0.245
132,0.28
133,0.175
134,0.32
135,0.24
136,0.375
137,0.345
138,0.425
139,0.315
140,0.37
141,0.355
142,0.275
143,0.305
144,0.365
145,0.32
146,0.35
147,0.325
148,0.265
149,0.32
150,0.305
151,0.365
152,0.34
153,0.35
154,0.36
155,0.43
156,0.28
157,0.395
158,0.325
159,0.325
160,0.42
161,0.34
162,0.455
163,0.32
164,0.33
165,0.315
166,0.28
167,0.385
168,0.305
169,0.36
170,0.365
171,0.345
172,0.345
173,0.385
174,0.365
175,0.385
176,0.39
177,0.37
178,0.345
179,0.29
180,0.315
181,0.335
182,0.25
183,0.34
184,0.38
185,0.38
186,0.37
187,0.365
188,0.265
189,0.335
190,0.395
191,0.355
192,0.43
193,0.385
194,0.265
195,0.335
196,0.42
197,0.425
198,0.345
199,0.41
200,0.39
201,0.345
202,0.34
203,0.315
204,0.39
205,0.35
206,0.385
207,0.295
208,0.305
209,0.335
210,0.325
211,0.385
212,0.375
213,0.385
214,0.375
215,0.42
216,0.305
217,0.375
218,0.42
219,0.375
220,0.375
221,0.44
222,0.38
223,0.395
224,0.37
225,0.405
226,0.375
227,0.45
228,0.32
229,0.365
230,0.435
231,0.305
232,0.415
233,0.365
234,0.425
235,0.375
236,0.305
237,0.36
238,0.335
239,0.45
240,0.355
241,0.335
242,0.445
243,0.38
244,0.465
245,0.45
246,0.355
247,0.42
248,0.415
249,0.455
250,0.385
251,0.41
252,0.435
253,0.37
254,0.415
255,0.42
256,0.45
257,0.435
258,0.42
259,0.26
260,0.36
261,0.385
262,0.355
263,0.42
264,0.435
265,0.455
266,0.4
267,0.355
268,0.32
269,0.34
270,0.355
271,0.36
272,0.4
273,0.395
274,0.405
275,0.36
276,0.425
277,0.365
278,0.44
279,0.405
280,0.37
281,0.475
282,0.415
283,0.47
284,0.275
285,0.365
286,0.375
287,0.39
288,0.365
289,0.42
290,0.28
291,0.31
292,0.335
293,0.375
294,0.375
295,0.42
296,0.375
297,0.31
298,0.44
