chunk,accuracy
0,0.0
1,0.08
2,0.15
3,0.165
4,0.175
5,0.155
6,0.145
7,0.265
8,0.215
9,0.22
10,0.21
11,0.265
12,0.245
13,0.195
14,0.245
15,0.31
16,0.275
17,0.245
18,0.255
19,0.305
20,0.33
21,0.155
22,0.265
23,0.22
24,0.265
25,0.23
26,0.365
27,0.305
28,0.27
29,0.31
30,0.195
31,0.345
32,0.23
33,0.39
34,0.375
35,0.245
36,0.4
37,0.335
38,0.36
39,0.265
40,0.315
41,0.25
42,0.37
43,0.355
44,0.385
45,0.315
46,0.385
47,0.295
48,0.34
49,0.285
50,0.275
51,0.19
52,0.315
53,0.385
54,0.375
55,0.33
56,0.37
57,0.355
58,0.365
59,0.315
60,0.355
61,0.345
62,0.35
63,0.33
64,0.325
65,0.385
66,0.31
67,0.37
68,0.295
69,0.36
70,0.295
71,0.355
72,0.42
73,0.33
74,0.26
75,0.37
76,0.385
77,0.32
78,0.35
79,0.425
80,0.335
81,0.41
82,0.355
83,0.415
84,0.41
85,0.26
86,0.395
87,0.335
88,0.405
89,0.35
90,0.32
91,0.285
92,0.475
93,0.335
94,0.36
95,0.28
96,0.38
97,0.335
98,0.335
99,0.43
100,0.365
101,0.315
102,0.47
103,0.385
104,0.38
105,0.3
106,0.345
107,0.315
108,0.4
109,0.365
110,0.325
111,0.365
112,0.385
113,0.435
114,0.38
115,0.355
116,0.42
117,0.42
118,0.345
119,0.335
120,0.385
121,0.315
122,0.355
123,0.425
124,0.41
125,0.305
126,0.39
127,0.4
128,0.255
129,0.4
130,0.385
131,0.36
132,0.41
133,0.37
134,0.42
135,0.415
136,0.35
137,0.355
138,0.29
139,0.41
140,0.365
141,0.305
142,0.345
143,0.395
144,0.375
145,0.395
146,0.305
147,0.365
148,0.375
149,0.405
150,0.28
151,0.315
152,0.35
153,0.37
154,0.275
155,0.375
156,0.285
157,0.255
158,0.305
159,0.3
160,0.32
161,0.25
162,0.335
163,0.37
164,0.305
165,0.285
166,0.37
167,0.405
168,0.395
169,0.365
170,0.21
171,0.23
172,0.415
173,0.31
174,0.335
175,0.33
176,0.305
177,0.295
178,0.355
179,0.35
180,0.3
181,0.345
182,0.345
183,0.295
184,0.34
185,0.325
186,0.4
187,0.375
188,0.41
189,0.34
190,0.35
191,0.4
192,0.28
193,0.355
194,0.305
195,0.33
196,0.33
197,0.3
198,0.33
199,0.345
200,0.34
201,0.335
202,0.43
203,0.43
204,0.375
205,0.375
206,0.28
207,0.29
208,0.385
209,0.375
210,0.32
211,0.325
212,0.385
213,0.395
214,0.4
215,0.405
216,0.325
217,0.175
218,0.345
219,0.24
220,0.395
221,0.38
222,0.37
223,0.33
224,0.44
225,0.365
226,0.355
227,0.375
228,0.345
229,0.325
230,0.395
231,0.31
232,0.325
233,0.32
234,0.48
235,0.43
236,0.395
237,0.36
238,0.37
239,0.345
240,0.35
241,0.47
242,0.47
243,0.41
244,0.3
245,0.365
246,0.42
247,0.37
248,0.33
249,0.385
250,0.335
251,0.35
252,0.215
253,0.375
254,0.385
255,0.345
256,0.425
257,0.415
258,0.305
259,0.4
260,0.44
261,0.325
262,0.4
263,0.39
264,0.29
265,0.37
266,0.32
267,0.425
268,0.395
269,0.32
270,0.45
271,0.29
272,0.35
273,0.39
274,0.35
275,0.41
276,0.345
277,0.355
278,0.43
279,0.28
280,0.445
281,0.375
282,0.345
283,0.37
284,0.43
285,0.29
286,0.35
287,0.39
288,0.375
289,0.365
290,0.315
291,0.405
292,0.345
293,0.4
294,0.255
295,0.33
296,0.455
297,0.4
298,0.365
