chunk,accuracy
0,0.0
1,0.07
2,0.2
3,0.155
4,0.22
5,0.19
6,0.215
7,0.245
8,0.235
9,0.235
10,0.31
11,0.225
12,0.29
13,0.175
14,0.22
15,0.25
16,0.245
17,0.285
18,0.325
19,0.26
20,0.355
21,0.315
22,0.33
23,0.295
24,0.305
25,0.38
26,0.345
27,0.28
28,0.285
29,0.255
30,0.305
31,0.255
32,0.32
33,0.28
34,0.265
35,0.315
36,0.32
37,0.34
38,0.315
39,0.32
40,0.325
41,0.27
42,0.28
43,0.3
44,0.275
45,0.28
46,0.295
47,0.3
48,0.315
49,0.31
50,0.31
51,0.315
52,0.275
53,0.295
54,0.345
55,0.31
56,0.25
57,0.365
58,0.345
59,0.34
60,0.3
61,0.265
62,0.38
63,0.32
64,0.295
65,0.31
66,0.3
67,0.315
68,0.29
69,0.315
70,0.305
71,0.35
72,0.305
73,0.275
74,0.245
75,0.375
76,0.355
77,0.3
78,0.325
79,0.28
80,0.355
81,0.28
82,0.3
83,0.285
84,0.29
85,0.315
86,0.285
87,0.31
88,0.285
89,0.29
90,0.26
91,0.29
92,0.28
93,0.315
94,0.355
95,0.31
96,0.32
97,0.37
98,0.32
99,0.285
100,0.295
101,0.34
102,0.285
103,0.35
104,0.33
105,0.34
106,0.345
107,0.285
108,0.325
109,0.31
110,0.355
111,0.325
112,0.3
113,0.285
114,0.375
115,0.3
116,0.305
117,0.335
118,0.32
119,0.37
120,0.285
121,0.345
122,0.34
123,0.305
124,0.31
125,0.29
126,0.4
127,0.335
128,0.31
129,0.31
130,0.335
131,0.29
132,0.275
133,0.34
134,0.275
135,0.375
136,0.38
137,0.345
138,0.3
139,0.345
140,0.335
141,0.32
142,0.29
143,0.35
144,0.3
145,0.29
146,0.315
147,0.32
148,0.325
149,0.3
150,0.17
151,0.165
152,0.14
153,0.165
154,0.19
155,0.175
156,0.165
157,0.23
158,0.21
159,0.16
160,0.22
161,0.195
162,0.18
163,0.225
164,0.23
165,0.19
166,0.235
167,0.185
168,0.22
169,0.235
170,0.235
171,0.225
172,0.225
173,0.215
174,0.21
175,0.21
176,0.175
177,0.2
178,0.18
179,0.175
180,0.205
181,0.205
182,0.23
183,0.195
184,0.225
185,0.235
186,0.245
187,0.17
188,0.2
189,0.175
190,0.225
191,0.14
192,0.185
193,0.205
194,0.21
195,0.22
196,0.17
197,0.145
198,0.24
199,0.2
200,0.19
201,0.225
202,0.225
203,0.22
204,0.2
205,0.185
206,0.225
207,0.22
208,0.215
209,0.205
210,0.22
211,0.21
212,0.265
213,0.215
214,0.26
215,0.16
216,0.25
217,0.225
218,0.245
219,0.25
220,0.215
221,0.19
222,0.17
223,0.24
224,0.25
225,0.27
226,0.2
227,0.17
228,0.2
229,0.255
230,0.17
231,0.2
232,0.17
233,0.21
234,0.19
235,0.225
236,0.21
237,0.235
238,0.2
239,0.27
240,0.175
241,0.235
242,0.205
243,0.205
244,0.215
245,0.22
246,0.205
247,0.23
248,0.255
249,0.18
250,0.205
251,0.24
252,0.19
253,0.24
254,0.255
255,0.23
256,0.25
257,0.23
258,0.185
259,0.24
260,0.185
261,0.175
262,0.21
263,0.195
264,0.275
265,0.17
266,0.24
267,0.255
268,0.265
269,0.21
270,0.17
271,0.18
272,0.25
273,0.235
274,0.21
275,0.16
276,0.275
277,0.25
278,0.17
279,0.2
280,0.225
281,0.245
282,0.22
283,0.21
284,0.19
285,0.22
286,0.155
287,0.225
288,0.26
289,0.17
290,0.26
291,0.23
292,0.19
293,0.245
294,0.195
295,0.19
296,0.195
297,0.23
298,0.22
