model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,0.0,42,3.0728440345825634,245191062.5819398,73.0,53.379953379953385,29.924661468285638
Unlearning,0.0,42,0.09700094025899784,198875484.84280938,4.0,46.097025354362145,-5.414281139586337
Sliding,0.0,65,3.0600404011920395,245923465.73913044,,48.47645429362882,29.836955511349917
Unlearning,0.0,65,0.09332519231588396,197215824.0,7.0,46.56488549618321,-7.659203852656362
Sliding,0.0,88,3.0267729739312794,245923465.73913044,140.0,57.04372728274039,29.511351145167954
Unlearning,0.0,88,0.0914546704686007,197215824.0,3.0,36.064039920989714,-9.37873936581055
Sliding,0.5,42,3.018951984553794,245923465.73913044,64.0,14.70541778549993,-45.11527913675016
Unlearning,0.5,42,0.09272000743200796,197215824.0,64.0,10.267366621902077,-33.621858661372514
Sliding,0.5,65,3.0171328501582746,245923465.73913044,59.0,26.202190128551027,-42.97826381026129
Unlearning,0.5,65,0.093407644737624,197215824.0,61.0,16.044776119402986,-33.94019833717318
Sliding,0.5,88,3.0197338139572896,245923465.73913044,21.0,14.40798858773182,-46.14788078392325
Unlearning,0.5,88,0.09303780775641816,197215824.0,10.0,11.25310614128504,-32.11970466939699
