chunk,accuracy
0,0.0
1,0.115
2,0.15
3,0.14
4,0.14
5,0.15
6,0.2
7,0.18
8,0.135
9,0.22
10,0.15
11,0.2
12,0.205
13,0.195
14,0.275
15,0.19
16,0.225
17,0.225
18,0.21
19,0.23
20,0.24
21,0.185
22,0.21
23,0.205
24,0.195
25,0.2
26,0.19
27,0.195
28,0.2
29,0.165
30,0.22
31,0.205
32,0.19
33,0.26
34,0.23
35,0.185
36,0.21
37,0.22
38,0.22
39,0.19
40,0.2
41,0.23
42,0.24
43,0.2
44,0.255
45,0.205
46,0.155
47,0.235
48,0.255
49,0.2
50,0.195
51,0.19
52,0.185
53,0.285
54,0.255
55,0.2
56,0.245
57,0.165
58,0.235
59,0.205
60,0.245
61,0.235
62,0.18
63,0.165
64,0.22
65,0.215
66,0.265
67,0.245
68,0.17
69,0.245
70,0.245
71,0.25
72,0.275
73,0.195
74,0.205
75,0.27
76,0.24
77,0.24
78,0.225
79,0.245
80,0.19
81,0.23
82,0.21
83,0.26
84,0.25
85,0.225
86,0.225
87,0.225
88,0.21
89,0.235
90,0.19
91,0.17
92,0.27
93,0.23
94,0.245
95,0.17
96,0.175
97,0.21
98,0.25
99,0.205
100,0.18
101,0.205
102,0.22
103,0.24
104,0.215
105,0.25
106,0.225
107,0.19
108,0.255
109,0.225
110,0.275
111,0.23
112,0.22
113,0.21
114,0.145
115,0.18
116,0.175
117,0.19
118,0.22
119,0.245
120,0.2
121,0.2
122,0.225
123,0.225
124,0.2
125,0.22
126,0.185
127,0.27
128,0.23
129,0.21
130,0.18
131,0.175
132,0.165
133,0.205
134,0.18
135,0.22
136,0.235
137,0.215
138,0.23
139,0.185
140,0.235
141,0.235
142,0.205
143,0.2
144,0.23
145,0.22
146,0.175
147,0.215
148,0.235
149,0.21
150,0.185
151,0.18
152,0.245
153,0.25
154,0.215
155,0.21
156,0.275
157,0.295
158,0.28
159,0.325
160,0.305
161,0.23
162,0.26
163,0.29
164,0.275
165,0.305
166,0.305
167,0.285
168,0.28
169,0.34
170,0.26
171,0.345
172,0.33
173,0.335
174,0.28
175,0.285
176,0.305
177,0.33
178,0.325
179,0.345
180,0.365
181,0.29
182,0.32
183,0.265
184,0.3
185,0.325
186,0.315
187,0.335
188,0.335
189,0.26
190,0.345
191,0.31
192,0.375
193,0.3
194,0.34
195,0.275
196,0.355
197,0.305
198,0.33
199,0.28
200,0.35
201,0.26
202,0.315
203,0.275
204,0.325
205,0.29
206,0.25
207,0.34
208,0.275
209,0.25
210,0.305
211,0.335
212,0.34
213,0.255
214,0.29
215,0.36
216,0.295
217,0.305
218,0.375
219,0.315
220,0.325
221,0.32
222,0.24
223,0.31
224,0.315
225,0.325
226,0.28
227,0.305
228,0.325
229,0.305
230,0.33
231,0.365
232,0.265
233,0.275
234,0.365
235,0.305
236,0.34
237,0.275
238,0.315
239,0.33
240,0.34
241,0.335
242,0.31
243,0.325
244,0.34
245,0.34
246,0.265
247,0.32
248,0.28
249,0.295
250,0.295
251,0.345
252,0.305
253,0.28
254,0.285
255,0.355
256,0.315
257,0.335
258,0.32
259,0.285
260,0.335
261,0.38
262,0.35
263,0.35
264,0.315
265,0.36
266,0.335
267,0.345
268,0.355
269,0.265
270,0.34
271,0.315
272,0.305
273,0.34
274,0.255
275,0.335
276,0.295
277,0.305
278,0.355
279,0.285
280,0.28
281,0.335
282,0.315
283,0.315
284,0.305
285,0.29
286,0.315
287,0.31
288,0.32
289,0.305
290,0.28
291,0.36
292,0.32
293,0.36
294,0.335
295,0.245
296,0.305
297,0.295
298,0.295
