chunk,accuracy
0,0.0
1,0.1
2,0.15
3,0.105
4,0.135
5,0.105
6,0.2
7,0.155
8,0.195
9,0.165
10,0.22
11,0.16
12,0.145
13,0.285
14,0.205
15,0.22
16,0.175
17,0.185
18,0.285
19,0.215
20,0.225
21,0.135
22,0.295
23,0.225
24,0.215
25,0.275
26,0.23
27,0.205
28,0.23
29,0.26
30,0.31
31,0.215
32,0.26
33,0.27
34,0.21
35,0.275
36,0.34
37,0.345
38,0.33
39,0.24
40,0.185
41,0.235
42,0.275
43,0.28
44,0.3
45,0.29
46,0.255
47,0.245
48,0.33
49,0.29
50,0.355
51,0.285
52,0.305
53,0.235
54,0.335
55,0.27
56,0.195
57,0.31
58,0.265
59,0.3
60,0.295
61,0.27
62,0.335
63,0.2
64,0.28
65,0.27
66,0.31
67,0.34
68,0.25
69,0.3
70,0.3
71,0.29
72,0.215
73,0.3
74,0.34
75,0.25
76,0.25
77,0.31
78,0.36
79,0.3
80,0.24
81,0.335
82,0.23
83,0.18
84,0.36
85,0.29
86,0.325
87,0.305
88,0.365
89,0.345
90,0.345
91,0.255
92,0.3
93,0.295
94,0.305
95,0.31
96,0.25
97,0.335
98,0.325
99,0.23
100,0.22
101,0.35
102,0.37
103,0.31
104,0.31
105,0.315
106,0.295
107,0.32
108,0.265
109,0.33
110,0.37
111,0.225
112,0.31
113,0.31
114,0.38
115,0.29
116,0.265
117,0.3
118,0.355
119,0.28
120,0.255
121,0.225
122,0.345
123,0.26
124,0.345
125,0.31
126,0.235
127,0.37
128,0.325
129,0.355
130,0.3
131,0.285
132,0.34
133,0.26
134,0.36
135,0.32
136,0.375
137,0.275
138,0.33
139,0.325
140,0.23
141,0.36
142,0.27
143,0.27
144,0.305
145,0.33
146,0.25
147,0.235
148,0.38
149,0.235
150,0.345
151,0.355
152,0.3
153,0.29
154,0.275
155,0.305
156,0.335
157,0.315
158,0.32
159,0.325
160,0.33
161,0.38
162,0.375
163,0.41
164,0.375
165,0.355
166,0.345
167,0.4
168,0.37
169,0.39
170,0.395
171,0.3
172,0.395
173,0.425
174,0.365
175,0.37
176,0.315
177,0.31
178,0.31
179,0.315
180,0.295
181,0.355
182,0.4
183,0.28
184,0.315
185,0.315
186,0.37
187,0.33
188,0.325
189,0.29
190,0.245
191,0.375
192,0.295
193,0.395
194,0.375
195,0.335
196,0.395
197,0.33
198,0.37
199,0.325
200,0.285
201,0.315
202,0.345
203,0.43
204,0.315
205,0.295
206,0.43
207,0.35
208,0.29
209,0.355
210,0.39
211,0.38
212,0.39
213,0.45
214,0.385
215,0.39
216,0.39
217,0.47
218,0.365
219,0.32
220,0.265
221,0.26
222,0.345
223,0.325
224,0.465
225,0.34
226,0.325
227,0.315
228,0.295
229,0.385
230,0.25
231,0.385
232,0.395
233,0.325
234,0.25
235,0.395
236,0.34
237,0.425
238,0.3
239,0.41
240,0.345
241,0.37
242,0.385
243,0.44
244,0.335
245,0.34
246,0.355
247,0.42
248,0.41
249,0.4
250,0.445
251,0.41
252,0.28
253,0.42
254,0.41
255,0.4
256,0.335
257,0.34
258,0.33
259,0.37
260,0.34
261,0.4
262,0.36
263,0.405
264,0.39
265,0.36
266,0.34
267,0.41
268,0.405
269,0.405
270,0.44
271,0.39
272,0.365
273,0.395
274,0.435
275,0.35
276,0.39
277,0.375
278,0.41
279,0.41
280,0.345
281,0.38
282,0.42
283,0.36
284,0.485
285,0.365
286,0.385
287,0.445
288,0.5
289,0.425
290,0.435
291,0.43
292,0.375
293,0.375
294,0.43
295,0.355
296,0.44
297,0.44
298,0.41
