chunk,accuracy
0,0.0
1,0.56
2,0.535
3,0.815
4,0.755
5,0.735
6,0.815
7,0.87
8,0.78
9,0.75
10,0.81
11,0.84
12,0.86
13,0.83
14,0.86
15,0.775
16,0.745
17,0.835
18,0.805
19,0.87
20,0.82
21,0.815
22,0.82
23,0.86
24,0.83
25,0.855
26,0.84
27,0.845
28,0.855
29,0.87
30,0.84
31,0.86
32,0.845
33,0.85
34,0.855
35,0.83
36,0.865
37,0.875
38,0.87
39,0.84
40,0.87
41,0.9
42,0.835
43,0.85
44,0.87
45,0.825
46,0.795
47,0.865
48,0.845
49,0.87
50,0.87
51,0.86
52,0.855
53,0.865
54,0.87
55,0.875
56,0.875
57,0.885
58,0.855
59,0.86
60,0.88
61,0.855
62,0.88
63,0.845
64,0.875
65,0.845
66,0.895
67,0.85
68,0.845
69,0.88
70,0.87
71,0.875
72,0.84
73,0.81
74,0.83
75,0.81
76,0.89
77,0.82
78,0.845
79,0.855
80,0.85
81,0.84
82,0.86
83,0.84
84,0.865
85,0.88
86,0.845
87,0.87
88,0.85
89,0.84
90,0.845
91,0.91
92,0.845
93,0.82
94,0.81
95,0.865
96,0.89
97,0.85
98,0.835
99,0.84
100,0.89
101,0.815
102,0.79
103,0.825
104,0.855
105,0.87
106,0.835
107,0.845
108,0.83
109,0.835
110,0.87
111,0.87
112,0.785
113,0.84
114,0.87
115,0.835
116,0.845
117,0.87
118,0.8
119,0.87
120,0.84
121,0.82
122,0.835
123,0.845
124,0.79
125,0.86
126,0.86
127,0.835
128,0.8
129,0.855
130,0.895
131,0.875
132,0.835
133,0.875
134,0.885
135,0.835
136,0.835
137,0.835
138,0.86
139,0.87
140,0.87
141,0.81
142,0.865
143,0.85
144,0.85
145,0.87
146,0.855
147,0.84
148,0.865
149,0.845
150,0.855
151,0.885
152,0.84
153,0.86
154,0.865
155,0.83
156,0.85
157,0.87
158,0.83
159,0.855
160,0.88
161,0.825
162,0.82
163,0.87
164,0.86
165,0.815
166,0.82
167,0.87
168,0.83
169,0.84
170,0.82
171,0.84
172,0.795
173,0.82
174,0.84
175,0.23
176,0.23
177,0.23
178,0.27
179,0.315
180,0.33
181,0.39
182,0.475
183,0.44
184,0.67
185,0.65
186,0.735
187,0.71
188,0.845
189,0.905
190,0.86
191,0.865
192,0.925
193,0.915
194,0.935
195,0.93
196,0.945
197,0.95
198,0.935
199,0.94
200,0.96
201,0.905
202,0.93
203,0.945
204,0.94
205,0.925
206,0.935
207,0.92
208,0.915
209,0.94
210,0.925
211,0.92
212,0.94
213,0.94
214,0.89
215,0.9
216,0.935
217,0.965
218,0.94
219,0.9
220,0.92
221,0.91
222,0.93
223,0.935
224,0.93
225,0.94
226,0.96
227,0.935
228,0.935
229,0.91
230,0.94
231,0.915
232,0.92
233,0.94
234,0.935
235,0.9
236,0.94
237,0.935
238,0.945
239,0.95
240,0.945
241,0.93
242,0.95
243,0.94
244,0.93
245,0.925
246,0.975
247,0.9
248,0.905
249,0.905
250,0.93
251,0.92
252,0.92
253,0.92
254,0.94
255,0.935
256,0.915
257,0.96
258,0.905
259,0.945
260,0.895
261,0.895
262,0.95
263,0.925
264,0.905
265,0.925
266,0.93
267,0.955
268,0.91
269,0.945
270,0.925
271,0.935
272,0.935
273,0.94
274,0.945
275,0.965
276,0.95
277,0.94
278,0.94
279,0.94
280,0.94
281,0.945
282,0.945
283,0.935
284,0.94
285,0.93
286,0.95
287,0.89
288,0.93
289,0.905
290,0.955
291,0.935
292,0.945
293,0.935
294,0.93
295,0.935
296,0.965
297,0.935
298,0.93
299,0.95
300,0.935
301,0.93
302,0.93
303,0.92
304,0.915
305,0.935
306,0.95
307,0.91
308,0.955
309,0.95
310,0.925
311,0.95
312,0.95
313,0.965
314,0.945
315,0.955
316,0.915
317,0.9
318,0.94
319,0.955
320,0.94
321,0.935
322,0.94
323,0.96
324,0.94
325,0.96
326,0.945
327,0.935
328,0.955
329,0.935
330,0.9
331,0.95
332,0.91
333,0.945
334,0.945
335,0.93
336,0.88
337,0.93
338,0.93
339,0.93
340,0.93
341,0.95
342,0.93
343,0.945
344,0.945
345,0.915
346,0.935
347,0.925
348,0.915
