chunk,accuracy
0,0.0
1,0.735
2,0.785
3,0.845
4,0.91
5,0.915
6,0.87
7,0.875
8,0.935
9,0.94
10,0.92
11,0.905
12,0.915
13,0.935
14,0.925
15,0.895
16,0.92
17,0.925
18,0.925
19,0.91
20,0.925
21,0.92
22,0.91
23,0.825
24,0.88
25,0.76
26,0.67
27,0.905
28,0.905
29,0.905
30,0.94
31,0.915
32,0.895
33,0.785
34,0.97
35,0.94
36,0.9
37,0.91
38,0.88
39,0.925
40,0.91
41,0.905
42,0.92
43,0.935
44,0.835
45,0.95
46,0.88
47,0.925
48,0.925
49,0.935
50,0.93
51,0.95
52,0.95
53,0.9
54,0.85
55,0.93
56,0.84
57,0.96
58,0.95
59,0.925
60,0.92
61,0.87
62,0.87
63,0.94
64,0.85
65,0.96
66,0.945
67,0.935
68,0.955
69,0.94
70,0.925
71,0.945
72,0.955
73,0.935
74,0.845
75,0.925
76,0.92
77,0.93
78,0.935
79,0.905
80,0.925
81,0.905
82,0.88
83,0.945
84,0.795
85,0.96
86,0.935
87,0.91
88,0.96
89,0.945
90,0.945
91,0.94
92,0.94
93,0.965
94,0.95
95,0.965
96,0.945
97,0.93
98,0.905
99,0.9
100,0.915
101,0.76
102,0.975
103,0.935
104,0.94
105,0.95
106,0.91
107,0.93
108,0.92
109,0.965
110,0.96
111,0.93
112,0.815
113,0.965
114,0.95
115,0.925
116,0.905
117,0.94
118,0.94
119,0.845
120,0.94
121,0.935
122,0.93
123,0.94
124,0.91
125,0.915
126,0.935
127,0.805
128,0.93
129,0.95
130,0.93
131,0.925
132,0.875
133,0.98
134,0.945
135,0.805
136,0.86
137,0.96
138,0.94
139,0.95
140,0.94
141,0.945
142,0.945
143,0.905
144,0.94
145,0.98
146,0.885
147,0.95
148,0.96
149,0.925
150,0.93
151,0.95
152,0.805
153,0.99
154,0.95
155,0.945
156,0.955
157,0.93
158,0.375
159,0.925
160,0.91
161,0.915
162,0.91
163,0.94
164,0.935
165,0.94
166,0.96
167,0.955
168,0.95
169,0.86
170,0.945
171,0.95
172,0.915
173,0.94
174,0.96
175,0.23
176,0.495
177,0.585
178,0.525
179,0.625
180,0.635
181,0.715
182,0.655
183,0.755
184,0.78
185,0.645
186,0.835
187,0.82
188,0.795
189,0.76
190,0.695
191,0.81
192,0.76
193,0.765
194,0.84
195,0.755
196,0.805
197,0.8
198,0.82
199,0.815
200,0.73
201,0.81
202,0.8
203,0.75
204,0.875
205,0.635
206,0.82
207,0.73
208,0.82
209,0.79
210,0.805
211,0.715
212,0.8
213,0.795
214,0.825
215,0.83
216,0.755
217,0.765
218,0.84
219,0.805
220,0.825
221,0.855
222,0.815
223,0.8
224,0.845
225,0.79
226,0.78
227,0.765
228,0.8
229,0.845
230,0.825
231,0.815
232,0.86
233,0.85
234,0.665
235,0.89
236,0.8
237,0.745
238,0.825
239,0.895
240,0.83
241,0.865
242,0.855
243,0.68
244,0.755
245,0.835
246,0.845
247,0.775
248,0.835
249,0.88
250,0.84
251,0.77
252,0.82
253,0.815
254,0.86
255,0.78
256,0.825
257,0.855
258,0.65
259,0.82
260,0.85
261,0.8
262,0.875
263,0.865
264,0.855
265,0.86
266,0.7
267,0.585
268,0.86
269,0.85
270,0.865
271,0.87
272,0.815
273,0.775
274,0.84
275,0.845
276,0.85
277,0.85
278,0.9
279,0.785
280,0.865
281,0.84
282,0.86
283,0.815
284,0.84
285,0.865
286,0.85
287,0.895
288,0.835
289,0.615
290,0.735
291,0.835
292,0.895
293,0.9
294,0.82
295,0.8
296,0.73
297,0.85
298,0.84
299,0.865
300,0.84
301,0.715
302,0.885
303,0.81
304,0.85
305,0.83
306,0.81
307,0.895
308,0.83
309,0.63
310,0.785
311,0.88
312,0.81
313,0.78
314,0.845
315,0.89
316,0.875
317,0.875
318,0.56
319,0.855
320,0.855
321,0.86
322,0.8
323,0.875
324,0.8
325,0.81
326,0.85
327,0.85
328,0.865
329,0.785
330,0.835
331,0.905
332,0.805
333,0.84
334,0.885
335,0.765
336,0.87
337,0.84
338,0.85
339,0.77
340,0.885
341,0.895
342,0.825
343,0.865
344,0.845
345,0.81
346,0.81
347,0.82
348,0.845
