chunk,accuracy
0,0.0
1,0.695
2,0.715
3,0.835
4,0.905
5,0.915
6,0.915
7,0.915
8,0.91
9,0.895
10,0.875
11,0.905
12,0.94
13,0.935
14,0.925
15,0.915
16,0.92
17,0.935
18,0.935
19,0.925
20,0.915
21,0.935
22,0.95
23,0.965
24,0.93
25,0.93
26,0.91
27,0.925
28,0.82
29,0.955
30,0.925
31,0.795
32,0.93
33,0.96
34,0.94
35,0.925
36,0.91
37,0.92
38,0.94
39,0.92
40,0.945
41,0.94
42,0.925
43,0.945
44,0.91
45,0.925
46,0.76
47,0.94
48,0.955
49,0.885
50,0.945
51,0.94
52,0.875
53,0.95
54,0.945
55,0.95
56,0.95
57,0.955
58,0.93
59,0.935
60,0.89
61,0.955
62,0.915
63,0.955
64,0.96
65,0.96
66,0.91
67,0.3
68,0.93
69,0.935
70,0.91
71,0.95
72,0.94
73,0.94
74,0.96
75,0.925
76,0.895
77,0.96
78,0.96
79,0.93
80,0.935
81,0.95
82,0.955
83,0.94
84,0.945
85,0.945
86,0.96
87,0.895
88,0.93
89,0.87
90,0.915
91,0.91
92,0.945
93,0.965
94,0.955
95,0.945
96,0.935
97,0.965
98,0.945
99,0.93
100,0.945
101,0.905
102,0.985
103,0.92
104,0.95
105,0.925
106,0.96
107,0.935
108,0.95
109,0.87
110,0.96
111,0.945
112,0.805
113,0.91
114,0.93
115,0.965
116,0.935
117,0.905
118,0.955
119,0.905
120,0.945
121,0.955
122,0.885
123,0.955
124,0.96
125,0.92
126,0.935
127,0.955
128,0.93
129,0.91
130,0.92
131,0.78
132,0.96
133,0.96
134,0.98
135,0.935
136,0.815
137,0.965
138,0.92
139,0.95
140,0.955
141,0.945
142,0.945
143,0.96
144,0.915
145,0.94
146,0.96
147,0.97
148,0.92
149,0.975
150,0.975
151,0.895
152,0.96
153,0.915
154,0.955
155,0.875
156,0.945
157,0.94
158,0.93
159,0.935
160,0.905
161,0.935
162,0.94
163,0.955
164,0.94
165,0.935
166,0.96
167,0.925
168,0.94
169,0.95
170,0.92
171,0.865
172,0.925
173,0.945
174,0.945
175,0.345
176,0.545
177,0.645
178,0.695
179,0.735
180,0.575
181,0.695
182,0.73
183,0.665
184,0.54
185,0.765
186,0.61
187,0.64
188,0.79
189,0.73
190,0.7
191,0.855
192,0.8
193,0.815
194,0.81
195,0.82
196,0.725
197,0.685
198,0.835
199,0.78
200,0.815
201,0.795
202,0.815
203,0.83
204,0.84
205,0.675
206,0.755
207,0.825
208,0.84
209,0.855
210,0.825
211,0.725
212,0.815
213,0.805
214,0.84
215,0.865
216,0.845
217,0.785
218,0.83
219,0.785
220,0.825
221,0.73
222,0.77
223,0.895
224,0.845
225,0.835
226,0.81
227,0.76
228,0.855
229,0.825
230,0.79
231,0.83
232,0.785
233,0.85
234,0.815
235,0.63
236,0.635
237,0.815
238,0.79
239,0.89
240,0.855
241,0.815
242,0.765
243,0.805
244,0.855
245,0.905
246,0.855
247,0.865
248,0.83
249,0.715
250,0.775
251,0.75
252,0.875
253,0.875
254,0.8
255,0.845
256,0.795
257,0.62
258,0.815
259,0.81
260,0.84
261,0.82
262,0.8
263,0.795
264,0.78
265,0.795
266,0.85
267,0.68
268,0.84
269,0.83
270,0.465
271,0.77
272,0.64
273,0.82
274,0.875
275,0.815
276,0.84
277,0.735
278,0.87
279,0.74
280,0.86
281,0.695
282,0.865
283,0.825
284,0.765
285,0.885
286,0.815
287,0.73
288,0.815
289,0.84
290,0.675
291,0.885
292,0.865
293,0.865
294,0.815
295,0.89
296,0.795
297,0.84
298,0.86
299,0.845
300,0.86
301,0.775
302,0.815
303,0.845
304,0.86
305,0.745
306,0.885
307,0.755
308,0.735
309,0.855
310,0.795
311,0.63
312,0.84
313,0.86
314,0.69
315,0.865
316,0.82
317,0.865
318,0.82
319,0.87
320,0.855
321,0.86
322,0.865
323,0.7
324,0.865
325,0.82
326,0.795
327,0.685
328,0.8
329,0.84
330,0.87
331,0.835
332,0.86
333,0.765
334,0.815
335,0.825
336,0.885
337,0.875
338,0.86
339,0.765
340,0.87
341,0.86
342,0.84
343,0.865
344,0.81
345,0.835
346,0.835
347,0.895
348,0.76
