chunk,accuracy
0,0.0
1,0.425
2,0.775
3,0.795
4,0.69
5,0.755
6,0.805
7,0.685
8,0.825
9,0.755
10,0.74
11,0.81
12,0.805
13,0.805
14,0.84
15,0.82
16,0.8
17,0.725
18,0.84
19,0.845
20,0.79
21,0.785
22,0.84
23,0.79
24,0.86
25,0.715
26,0.765
27,0.85
28,0.74
29,0.73
30,0.895
31,0.865
32,0.895
33,0.825
34,0.855
35,0.83
36,0.805
37,0.875
38,0.585
39,0.77
40,0.865
41,0.895
42,0.855
43,0.825
44,0.86
45,0.83
46,0.905
47,0.82
48,0.855
49,0.885
50,0.755
51,0.885
52,0.7
53,0.81
54,0.875
55,0.865
56,0.865
57,0.84
58,0.86
59,0.83
60,0.82
61,0.82
62,0.82
63,0.76
64,0.875
65,0.865
66,0.86
67,0.86
68,0.88
69,0.84
70,0.89
71,0.85
72,0.79
73,0.735
74,0.835
75,0.795
76,0.865
77,0.86
78,0.89
79,0.87
80,0.885
81,0.88
82,0.82
83,0.85
84,0.855
85,0.66
86,0.9
87,0.875
88,0.83
89,0.775
90,0.865
91,0.885
92,0.85
93,0.9
94,0.775
95,0.875
96,0.845
97,0.845
98,0.895
99,0.875
100,0.825
101,0.825
102,0.875
103,0.8
104,0.775
105,0.86
106,0.89
107,0.885
108,0.68
109,0.885
110,0.72
111,0.91
112,0.805
113,0.93
114,0.855
115,0.835
116,0.88
117,0.84
118,0.875
119,0.875
120,0.865
121,0.825
122,0.76
123,0.87
124,0.825
125,0.715
126,0.85
127,0.675
128,0.845
129,0.86
130,0.87
131,0.865
132,0.86
133,0.885
134,0.855
135,0.855
136,0.825
137,0.76
138,0.87
139,0.855
140,0.8
141,0.86
142,0.86
143,0.89
144,0.785
145,0.9
146,0.89
147,0.795
148,0.895
149,0.83
150,0.9
151,0.885
152,0.905
153,0.87
154,0.765
155,0.83
156,0.78
157,0.885
158,0.91
159,0.9
160,0.83
161,0.845
162,0.905
163,0.855
164,0.84
165,0.895
166,0.845
167,0.915
168,0.845
169,0.83
170,0.8
171,0.875
172,0.88
173,0.855
174,0.89
175,0.19
176,0.605
177,0.805
178,0.855
179,0.855
180,0.85
181,0.885
182,0.895
183,0.805
184,0.83
185,0.89
186,0.925
187,0.88
188,0.92
189,0.825
190,0.755
191,0.81
192,0.94
193,0.91
194,0.915
195,0.83
196,0.94
197,0.88
198,0.76
199,0.915
200,0.915
201,0.95
202,0.925
203,0.905
204,0.585
205,0.855
206,0.92
207,0.895
208,0.895
209,0.71
210,0.92
211,0.915
212,0.945
213,0.885
214,0.815
215,0.93
216,0.915
217,0.91
218,0.97
219,0.93
220,0.95
221,0.865
222,0.915
223,0.96
224,0.935
225,0.935
226,0.915
227,0.935
228,0.83
229,0.95
230,0.93
231,0.915
232,0.945
233,0.955
234,0.85
235,0.965
236,0.93
237,0.865
238,0.515
239,0.895
240,0.91
241,0.905
242,0.93
243,0.965
244,0.92
245,0.795
246,0.945
247,0.915
248,0.93
249,0.93
250,0.965
251,0.92
252,0.96
253,0.905
254,0.895
255,0.805
256,0.94
257,0.925
258,0.945
259,0.945
260,0.93
261,0.695
262,0.9
263,0.77
264,0.93
265,0.945
266,0.935
267,0.94
268,0.945
269,0.915
270,0.89
271,0.925
272,0.97
273,0.93
274,0.92
275,0.97
276,0.915
277,0.945
278,0.955
279,0.955
280,0.865
281,0.955
282,0.955
283,0.955
284,0.92
285,0.94
286,0.915
287,0.975
288,0.95
289,0.925
290,0.93
291,0.915
292,0.67
293,0.975
294,0.945
295,0.96
296,0.955
297,0.95
298,0.915
299,0.945
300,0.965
301,0.95
302,0.97
303,0.905
304,0.94
305,0.955
306,0.955
307,0.935
308,0.865
309,0.935
310,0.915
311,0.97
312,0.94
313,0.965
314,0.89
315,0.925
316,0.985
317,0.95
318,0.94
319,0.93
320,0.915
321,0.97
322,0.915
323,0.975
324,0.81
325,0.915
326,0.965
327,0.955
328,0.955
329,0.855
330,0.97
331,0.975
332,0.94
333,0.96
334,0.945
335,0.895
336,0.945
337,0.965
338,0.945
339,0.935
340,0.95
341,0.955
342,0.93
343,0.955
344,0.94
345,0.935
346,0.93
347,0.955
348,0.86
