model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,fashion_v1,42,3.2475928420342375,209013279.22063038,16,70.79459146486836,-6.374003829460267
Unlearning,fashion_v1,42,0.08848130893640029,196905889.42120343,6,76.91693567982227,-10.252004581901476
Sliding,fashion_v1,65,3.2154070321646624,208993908.30945557,14,72.52841006040337,-6.814511557994341
Unlearning,fashion_v1,65,0.08677078403244302,196920912.0,7,56.64538190446284,-11.246672626560496
Sliding,fashion_v1,88,3.182752952540032,208993908.30945557,16,74.38821006773085,-6.544635343741986
Unlearning,fashion_v1,88,0.08691650485609229,196920912.0,7,77.01506981888566,-9.40437426800219
Sliding,fashion_v2,42,3.184879611487791,208993908.30945557,19,73.42815530972081,11.972583476784449
Unlearning,fashion_v2,42,0.08674920665868759,196920912.0,16,62.38786444056816,13.457001097009423
Sliding,fashion_v2,65,3.166622806951553,208993908.30945557,18,77.13628021277259,11.273249429971326
Unlearning,fashion_v2,65,0.08657489829352473,196920912.0,17,74.20659809332663,11.533488618209708
Sliding,fashion_v2,88,3.096442160203274,208993908.30945557,16,71.87017001545595,11.93572456430208
Unlearning,fashion_v2,88,0.08440752400026622,196920912.0,29,74.64646782778495,11.62057706934382
