chunk,accuracy
0,0.0
1,0.455
2,0.71
3,0.8
4,0.74
5,0.79
6,0.805
7,0.82
8,0.82
9,0.76
10,0.83
11,0.825
12,0.865
13,0.79
14,0.775
15,0.79
16,0.745
17,0.85
18,0.84
19,0.81
20,0.86
21,0.85
22,0.855
23,0.86
24,0.84
25,0.875
26,0.835
27,0.85
28,0.855
29,0.83
30,0.875
31,0.865
32,0.875
33,0.82
34,0.845
35,0.835
36,0.79
37,0.865
38,0.825
39,0.85
40,0.85
41,0.875
42,0.825
43,0.845
44,0.86
45,0.85
46,0.845
47,0.89
48,0.88
49,0.86
50,0.86
51,0.89
52,0.85
53,0.83
54,0.875
55,0.87
56,0.885
57,0.835
58,0.845
59,0.86
60,0.85
61,0.835
62,0.82
63,0.845
64,0.855
65,0.85
66,0.845
67,0.875
68,0.865
69,0.855
70,0.805
71,0.84
72,0.88
73,0.84
74,0.865
75,0.84
76,0.85
77,0.895
78,0.87
79,0.82
80,0.895
81,0.81
82,0.88
83,0.805
84,0.865
85,0.835
86,0.85
87,0.845
88,0.785
89,0.89
90,0.825
91,0.86
92,0.895
93,0.85
94,0.875
95,0.855
96,0.845
97,0.825
98,0.875
99,0.835
100,0.82
101,0.885
102,0.895
103,0.845
104,0.805
105,0.89
106,0.825
107,0.85
108,0.865
109,0.825
110,0.815
111,0.845
112,0.845
113,0.845
114,0.86
115,0.85
116,0.845
117,0.845
118,0.865
119,0.885
120,0.845
121,0.83
122,0.845
123,0.845
124,0.85
125,0.75
126,0.84
127,0.805
128,0.86
129,0.845
130,0.89
131,0.84
132,0.855
133,0.89
134,0.83
135,0.88
136,0.855
137,0.85
138,0.865
139,0.89
140,0.83
141,0.81
142,0.855
143,0.905
144,0.885
145,0.88
146,0.855
147,0.865
148,0.9
149,0.885
150,0.875
151,0.895
152,0.865
153,0.88
154,0.845
155,0.8
156,0.815
157,0.85
158,0.865
159,0.85
160,0.88
161,0.84
162,0.875
163,0.825
164,0.815
165,0.875
166,0.845
167,0.905
168,0.875
169,0.79
170,0.865
171,0.865
172,0.875
173,0.82
174,0.825
175,0.225
176,0.215
177,0.305
178,0.3
179,0.32
180,0.395
181,0.375
182,0.49
183,0.5
184,0.5
185,0.62
186,0.68
187,0.82
188,0.795
189,0.83
190,0.86
191,0.91
192,0.895
193,0.92
194,0.91
195,0.93
196,0.945
197,0.915
198,0.91
199,0.93
200,0.925
201,0.95
202,0.935
203,0.945
204,0.94
205,0.935
206,0.91
207,0.925
208,0.94
209,0.95
210,0.94
211,0.945
212,0.915
213,0.9
214,0.96
215,0.945
216,0.955
217,0.915
218,0.95
219,0.93
220,0.955
221,0.97
222,0.92
223,0.925
224,0.92
225,0.94
226,0.94
227,0.91
228,0.945
229,0.925
230,0.95
231,0.925
232,0.95
233,0.95
234,0.935
235,0.95
236,0.94
237,0.94
238,0.945
239,0.975
240,0.895
241,0.935
242,0.94
243,0.95
244,0.91
245,0.955
246,0.94
247,0.95
248,0.905
249,0.93
250,0.935
251,0.9
252,0.925
253,0.93
254,0.94
255,0.935
256,0.95
257,0.91
258,0.945
259,0.94
260,0.92
261,0.92
262,0.92
263,0.935
264,0.93
265,0.915
266,0.955
267,0.95
268,0.925
269,0.9
270,0.935
271,0.935
272,0.945
273,0.905
274,0.94
275,0.975
276,0.935
277,0.92
278,0.94
279,0.92
280,0.915
281,0.955
282,0.94
283,0.93
284,0.955
285,0.915
286,0.95
287,0.945
288,0.925
289,0.925
290,0.94
291,0.91
292,0.935
293,0.945
294,0.93
295,0.925
296,0.945
297,0.94
298,0.96
299,0.915
300,0.935
301,0.935
302,0.965
303,0.96
304,0.94
305,0.94
306,0.95
307,0.92
308,0.91
309,0.915
310,0.895
311,0.945
312,0.9
313,0.95
314,0.955
315,0.89
316,0.935
317,0.95
318,0.93
319,0.91
320,0.935
321,0.925
322,0.915
323,0.96
324,0.925
325,0.94
326,0.935
327,0.93
328,0.93
329,0.905
330,0.95
331,0.955
332,0.94
333,0.935
334,0.93
335,0.955
336,0.935
337,0.95
338,0.935
339,0.925
340,0.905
341,0.945
342,0.925
343,0.955
344,0.885
345,0.93
346,0.945
347,0.925
348,0.915
