chunk,accuracy
0,0.0
1,0.695
2,0.815
3,0.83
4,0.9
5,0.87
6,0.87
7,0.92
8,0.88
9,0.9
10,0.485
11,0.905
12,0.935
13,0.895
14,0.895
15,0.9
16,0.925
17,0.94
18,0.91
19,0.89
20,0.965
21,0.92
22,0.935
23,0.93
24,0.93
25,0.905
26,0.945
27,0.915
28,0.93
29,0.95
30,0.94
31,0.93
32,0.935
33,0.925
34,0.92
35,0.93
36,0.97
37,0.935
38,0.93
39,0.91
40,0.925
41,0.96
42,0.94
43,0.93
44,0.915
45,0.92
46,0.93
47,0.93
48,0.905
49,0.93
50,0.91
51,0.94
52,0.93
53,0.925
54,0.925
55,0.925
56,0.95
57,0.935
58,0.93
59,0.93
60,0.96
61,0.93
62,0.92
63,0.94
64,0.95
65,0.955
66,0.94
67,0.94
68,0.925
69,0.91
70,0.935
71,0.92
72,0.9
73,0.935
74,0.935
75,0.935
76,0.945
77,0.9
78,0.94
79,0.96
80,0.935
81,0.94
82,0.945
83,0.925
84,0.945
85,0.935
86,0.95
87,0.94
88,0.935
89,0.905
90,0.925
91,0.95
92,0.955
93,0.915
94,0.91
95,0.925
96,0.935
97,0.945
98,0.94
99,0.94
100,0.935
101,0.91
102,0.91
103,0.935
104,0.92
105,0.935
106,0.94
107,0.945
108,0.93
109,0.93
110,0.945
111,0.935
112,0.945
113,0.93
114,0.925
115,0.905
116,0.935
117,0.93
118,0.89
119,0.925
120,0.935
121,0.91
122,0.93
123,0.905
124,0.925
125,0.93
126,0.955
127,0.92
128,0.925
129,0.965
130,0.96
131,0.945
132,0.925
133,0.955
134,0.925
135,0.91
136,0.945
137,0.93
138,0.935
139,0.92
140,0.95
141,0.89
142,0.955
143,0.935
144,0.915
145,0.935
146,0.92
147,0.92
148,0.975
149,0.93
150,0.925
151,0.935
152,0.92
153,0.94
154,0.93
155,0.92
156,0.9
157,0.94
158,0.92
159,0.93
160,0.925
161,0.94
162,0.91
163,0.925
164,0.95
165,0.935
166,0.955
167,0.945
168,0.94
169,0.91
170,0.945
171,0.94
172,0.945
173,0.905
174,0.91
175,0.23
176,0.21
177,0.255
178,0.285
179,0.28
180,0.3
181,0.335
182,0.42
183,0.38
184,0.515
185,0.57
186,0.64
187,0.615
188,0.695
189,0.7
190,0.785
191,0.74
192,0.795
193,0.84
194,0.835
195,0.825
196,0.855
197,0.865
198,0.845
199,0.855
200,0.855
201,0.785
202,0.88
203,0.825
204,0.85
205,0.845
206,0.805
207,0.82
208,0.85
209,0.875
210,0.875
211,0.855
212,0.835
213,0.815
214,0.845
215,0.86
216,0.84
217,0.87
218,0.84
219,0.81
220,0.84
221,0.865
222,0.87
223,0.81
224,0.885
225,0.865
226,0.83
227,0.885
228,0.845
229,0.865
230,0.9
231,0.845
232,0.795
233,0.905
234,0.85
235,0.875
236,0.815
237,0.85
238,0.885
239,0.795
240,0.85
241,0.875
242,0.905
243,0.85
244,0.83
245,0.885
246,0.885
247,0.83
248,0.85
249,0.835
250,0.87
251,0.83
252,0.81
253,0.83
254,0.845
255,0.9
256,0.845
257,0.865
258,0.855
259,0.87
260,0.85
261,0.825
262,0.885
263,0.875
264,0.825
265,0.87
266,0.855
267,0.875
268,0.87
269,0.88
270,0.845
271,0.855
272,0.84
273,0.855
274,0.875
275,0.815
276,0.865
277,0.845
278,0.825
279,0.875
280,0.885
281,0.84
282,0.835
283,0.83
284,0.85
285,0.87
286,0.845
287,0.885
288,0.855
289,0.835
290,0.89
291,0.86
292,0.865
293,0.855
294,0.85
295,0.88
296,0.845
297,0.84
298,0.85
299,0.85
300,0.85
301,0.865
302,0.87
303,0.86
304,0.855
305,0.845
306,0.865
307,0.875
308,0.865
309,0.85
310,0.835
311,0.88
312,0.855
313,0.885
314,0.85
315,0.875
316,0.845
317,0.84
318,0.83
319,0.88
320,0.875
321,0.855
322,0.84
323,0.845
324,0.84
325,0.87
326,0.825
327,0.86
328,0.865
329,0.885
330,0.81
331,0.89
332,0.85
333,0.88
334,0.87
335,0.855
336,0.825
337,0.84
338,0.795
339,0.845
340,0.845
341,0.825
342,0.84
343,0.885
344,0.865
345,0.865
346,0.85
347,0.835
348,0.88
