chunk,accuracy
0,0.0
1,0.58
2,0.58
3,0.63
4,0.64
5,0.745
6,0.695
7,0.8
8,0.84
9,0.825
10,0.855
11,0.825
12,0.835
13,0.78
14,0.865
15,0.86
16,0.845
17,0.835
18,0.715
19,0.88
20,0.835
21,0.47
22,0.795
23,0.855
24,0.86
25,0.84
26,0.59
27,0.86
28,0.735
29,0.865
30,0.835
31,0.845
32,0.72
33,0.85
34,0.855
35,0.765
36,0.84
37,0.795
38,0.83
39,0.855
40,0.855
41,0.79
42,0.81
43,0.815
44,0.775
45,0.8
46,0.845
47,0.85
48,0.735
49,0.79
50,0.715
51,0.835
52,0.9
53,0.855
54,0.845
55,0.855
56,0.68
57,0.87
58,0.79
59,0.865
60,0.76
61,0.825
62,0.83
63,0.845
64,0.84
65,0.835
66,0.83
67,0.86
68,0.87
69,0.835
70,0.865
71,0.83
72,0.85
73,0.875
74,0.86
75,0.85
76,0.815
77,0.855
78,0.795
79,0.875
80,0.86
81,0.71
82,0.84
83,0.86
84,0.865
85,0.87
86,0.785
87,0.78
88,0.815
89,0.875
90,0.875
91,0.805
92,0.83
93,0.765
94,0.895
95,0.87
96,0.755
97,0.855
98,0.8
99,0.835
100,0.885
101,0.86
102,0.845
103,0.91
104,0.91
105,0.875
106,0.9
107,0.82
108,0.79
109,0.84
110,0.85
111,0.87
112,0.855
113,0.83
114,0.85
115,0.845
116,0.86
117,0.845
118,0.845
119,0.715
120,0.8
121,0.825
122,0.875
123,0.89
124,0.88
125,0.82
126,0.85
127,0.845
128,0.875
129,0.845
130,0.84
131,0.9
132,0.825
133,0.865
134,0.875
135,0.81
136,0.84
137,0.92
138,0.815
139,0.865
140,0.835
141,0.835
142,0.88
143,0.675
144,0.905
145,0.835
146,0.885
147,0.76
148,0.925
149,0.865
150,0.84
151,0.91
152,0.895
153,0.855
154,0.895
155,0.875
156,0.8
157,0.845
158,0.76
159,0.84
160,0.915
161,0.87
162,0.83
163,0.905
164,0.89
165,0.78
166,0.88
167,0.79
168,0.885
169,0.85
170,0.84
171,0.88
172,0.86
173,0.865
174,0.885
175,0.19
176,0.735
177,0.73
178,0.715
179,0.855
180,0.875
181,0.905
182,0.865
183,0.88
184,0.895
185,0.76
186,0.915
187,0.89
188,0.795
189,0.89
190,0.835
191,0.925
192,0.89
193,0.88
194,0.94
195,0.91
196,0.895
197,0.34
198,0.885
199,0.925
200,0.88
201,0.93
202,0.945
203,0.93
204,0.93
205,0.92
206,0.92
207,0.91
208,0.945
209,0.85
210,0.92
211,0.95
212,0.95
213,0.925
214,0.915
215,0.94
216,0.89
217,0.89
218,0.915
219,0.92
220,0.94
221,0.91
222,0.9
223,0.905
224,0.905
225,0.875
226,0.945
227,0.93
228,0.885
229,0.91
230,0.95
231,0.91
232,0.905
233,0.905
234,0.925
235,0.885
236,0.94
237,0.905
238,0.905
239,0.93
240,0.85
241,0.955
242,0.965
243,0.92
244,0.935
245,0.885
246,0.93
247,0.515
248,0.915
249,0.925
250,0.945
251,0.905
252,0.955
253,0.985
254,0.955
255,0.96
256,0.92
257,0.84
258,0.875
259,0.94
260,0.945
261,0.92
262,0.865
263,0.91
264,0.89
265,0.94
266,0.955
267,0.875
268,0.94
269,0.96
270,0.94
271,0.92
272,0.915
273,0.945
274,0.945
275,0.94
276,0.955
277,0.875
278,0.96
279,0.95
280,0.905
281,0.935
282,0.92
283,0.91
284,0.97
285,0.93
286,0.91
287,0.88
288,0.925
289,0.92
290,0.94
291,0.855
292,0.935
293,0.975
294,0.93
295,0.92
296,0.885
297,0.91
298,0.94
299,0.88
300,0.955
301,0.935
302,0.88
303,0.94
304,0.905
305,0.89
306,0.92
307,0.945
308,0.945
309,0.95
310,0.915
311,0.975
312,0.95
313,0.855
314,0.92
315,0.945
316,0.94
317,0.965
318,0.95
319,0.95
320,0.945
321,0.955
322,0.955
323,0.835
324,0.96
325,0.92
326,0.965
327,0.925
328,0.965
329,0.95
330,0.955
331,0.94
332,0.96
333,0.945
334,0.95
335,0.965
336,0.935
337,0.945
338,0.95
339,0.89
340,0.97
341,0.965
342,0.945
343,0.96
344,0.91
345,0.95
346,0.94
347,0.945
348,0.925
