chunk,accuracy
0,0.0
1,0.69
2,0.645
3,0.82
4,0.91
5,0.88
6,0.835
7,0.945
8,0.94
9,0.84
10,0.915
11,0.945
12,0.945
13,0.635
14,0.93
15,0.97
16,0.845
17,0.92
18,0.935
19,0.92
20,0.96
21,0.935
22,0.88
23,0.945
24,0.92
25,0.92
26,0.93
27,0.935
28,0.95
29,0.95
30,0.935
31,0.69
32,0.93
33,0.935
34,0.915
35,0.76
36,0.95
37,0.96
38,0.93
39,0.925
40,0.87
41,0.96
42,0.935
43,0.82
44,0.945
45,0.93
46,0.925
47,0.955
48,0.965
49,0.935
50,0.95
51,0.87
52,0.9
53,0.945
54,0.935
55,0.945
56,0.875
57,0.895
58,0.945
59,0.92
60,0.965
61,0.95
62,0.915
63,0.945
64,0.965
65,0.945
66,0.955
67,0.94
68,0.94
69,0.96
70,0.94
71,0.925
72,0.935
73,0.93
74,0.935
75,0.955
76,0.785
77,0.945
78,0.86
79,0.83
80,0.95
81,0.96
82,0.96
83,0.94
84,0.95
85,0.915
86,0.9
87,0.96
88,0.94
89,0.94
90,0.91
91,0.955
92,0.93
93,0.92
94,0.49
95,0.93
96,0.95
97,0.96
98,0.96
99,0.87
100,0.95
101,0.935
102,0.92
103,0.92
104,0.955
105,0.955
106,0.955
107,0.915
108,0.94
109,0.93
110,0.96
111,0.95
112,0.91
113,0.96
114,0.935
115,0.93
116,0.89
117,0.905
118,0.88
119,0.93
120,0.935
121,0.935
122,0.955
123,0.93
124,0.94
125,0.945
126,0.825
127,0.935
128,0.955
129,0.98
130,0.915
131,0.88
132,0.89
133,0.975
134,0.94
135,0.865
136,0.93
137,0.92
138,0.94
139,0.94
140,0.955
141,0.905
142,0.945
143,0.7
144,0.93
145,0.96
146,0.92
147,0.86
148,0.96
149,0.935
150,0.965
151,0.965
152,0.945
153,0.935
154,0.955
155,0.935
156,0.88
157,0.86
158,0.905
159,0.92
160,0.95
161,0.965
162,0.925
163,0.955
164,0.925
165,0.95
166,0.96
167,0.945
168,0.92
169,0.96
170,0.92
171,0.81
172,0.95
173,0.94
174,0.925
175,0.235
176,0.56
177,0.555
178,0.675
179,0.615
180,0.495
181,0.78
182,0.77
183,0.66
184,0.78
185,0.725
186,0.795
187,0.65
188,0.83
189,0.725
190,0.715
191,0.78
192,0.835
193,0.76
194,0.75
195,0.605
196,0.825
197,0.83
198,0.74
199,0.82
200,0.835
201,0.77
202,0.825
203,0.72
204,0.82
205,0.665
206,0.765
207,0.74
208,0.845
209,0.785
210,0.8
211,0.85
212,0.75
213,0.85
214,0.82
215,0.67
216,0.82
217,0.835
218,0.85
219,0.69
220,0.81
221,0.855
222,0.865
223,0.795
224,0.795
225,0.81
226,0.84
227,0.825
228,0.74
229,0.765
230,0.82
231,0.83
232,0.82
233,0.815
234,0.815
235,0.825
236,0.84
237,0.82
238,0.825
239,0.825
240,0.61
241,0.865
242,0.865
243,0.855
244,0.81
245,0.865
246,0.75
247,0.795
248,0.86
249,0.845
250,0.88
251,0.845
252,0.71
253,0.83
254,0.88
255,0.9
256,0.75
257,0.665
258,0.845
259,0.81
260,0.805
261,0.815
262,0.825
263,0.865
264,0.855
265,0.855
266,0.865
267,0.705
268,0.86
269,0.84
270,0.855
271,0.845
272,0.83
273,0.835
274,0.695
275,0.83
276,0.835
277,0.845
278,0.89
279,0.735
280,0.865
281,0.855
282,0.86
283,0.765
284,0.845
285,0.88
286,0.86
287,0.87
288,0.845
289,0.72
290,0.865
291,0.845
292,0.89
293,0.835
294,0.885
295,0.785
296,0.9
297,0.82
298,0.86
299,0.715
300,0.86
301,0.805
302,0.855
303,0.845
304,0.695
305,0.87
306,0.885
307,0.865
308,0.875
309,0.435
310,0.755
311,0.905
312,0.89
313,0.91
314,0.83
315,0.885
316,0.87
317,0.835
318,0.8
319,0.875
320,0.895
321,0.86
322,0.855
323,0.875
324,0.86
325,0.86
326,0.885
327,0.86
328,0.68
329,0.875
330,0.82
331,0.86
332,0.875
333,0.85
334,0.87
335,0.875
336,0.905
337,0.905
338,0.84
339,0.795
340,0.83
341,0.805
342,0.825
343,0.875
344,0.835
345,0.885
346,0.855
347,0.85
348,0.805
