chunk,accuracy
0,0.0
1,0.475
2,0.585
3,0.73
4,0.795
5,0.76
6,0.765
7,0.78
8,0.83
9,0.8
10,0.875
11,0.835
12,0.825
13,0.835
14,0.88
15,0.855
16,0.825
17,0.765
18,0.875
19,0.85
20,0.815
21,0.85
22,0.845
23,0.845
24,0.82
25,0.855
26,0.875
27,0.855
28,0.87
29,0.875
30,0.845
31,0.82
32,0.835
33,0.855
34,0.89
35,0.79
36,0.855
37,0.8
38,0.865
39,0.84
40,0.865
41,0.82
42,0.815
43,0.83
44,0.83
45,0.84
46,0.86
47,0.83
48,0.825
49,0.905
50,0.88
51,0.855
52,0.815
53,0.88
54,0.815
55,0.865
56,0.87
57,0.85
58,0.82
59,0.86
60,0.79
61,0.845
62,0.855
63,0.84
64,0.82
65,0.885
66,0.87
67,0.865
68,0.875
69,0.825
70,0.86
71,0.84
72,0.865
73,0.85
74,0.88
75,0.86
76,0.845
77,0.88
78,0.835
79,0.845
80,0.81
81,0.835
82,0.85
83,0.865
84,0.85
85,0.845
86,0.845
87,0.85
88,0.88
89,0.83
90,0.825
91,0.86
92,0.87
93,0.845
94,0.865
95,0.89
96,0.835
97,0.84
98,0.87
99,0.85
100,0.855
101,0.92
102,0.835
103,0.84
104,0.9
105,0.82
106,0.885
107,0.8
108,0.85
109,0.86
110,0.865
111,0.87
112,0.875
113,0.835
114,0.825
115,0.87
116,0.81
117,0.85
118,0.87
119,0.82
120,0.835
121,0.87
122,0.865
123,0.885
124,0.865
125,0.83
126,0.84
127,0.86
128,0.875
129,0.795
130,0.855
131,0.87
132,0.86
133,0.83
134,0.875
135,0.84
136,0.865
137,0.895
138,0.855
139,0.845
140,0.82
141,0.775
142,0.83
143,0.875
144,0.9
145,0.84
146,0.865
147,0.85
148,0.86
149,0.885
150,0.85
151,0.88
152,0.845
153,0.86
154,0.85
155,0.845
156,0.85
157,0.865
158,0.865
159,0.835
160,0.85
161,0.835
162,0.83
163,0.85
164,0.865
165,0.865
166,0.855
167,0.84
168,0.845
169,0.86
170,0.82
171,0.895
172,0.85
173,0.875
174,0.85
175,0.245
176,0.285
177,0.275
178,0.315
179,0.305
180,0.31
181,0.46
182,0.425
183,0.47
184,0.58
185,0.63
186,0.675
187,0.695
188,0.78
189,0.86
190,0.855
191,0.89
192,0.91
193,0.895
194,0.935
195,0.95
196,0.91
197,0.935
198,0.95
199,0.915
200,0.93
201,0.93
202,0.94
203,0.92
204,0.935
205,0.95
206,0.9
207,0.92
208,0.965
209,0.96
210,0.925
211,0.935
212,0.945
213,0.92
214,0.925
215,0.95
216,0.9
217,0.935
218,0.91
219,0.95
220,0.945
221,0.92
222,0.915
223,0.96
224,0.94
225,0.935
226,0.945
227,0.91
228,0.92
229,0.935
230,0.965
231,0.955
232,0.915
233,0.935
234,0.92
235,0.935
236,0.95
237,0.9
238,0.895
239,0.92
240,0.945
241,0.93
242,0.94
243,0.93
244,0.925
245,0.935
246,0.9
247,0.925
248,0.93
249,0.925
250,0.945
251,0.895
252,0.955
253,0.96
254,0.935
255,0.95
256,0.91
257,0.925
258,0.92
259,0.935
260,0.945
261,0.925
262,0.93
263,0.93
264,0.925
265,0.95
266,0.94
267,0.885
268,0.955
269,0.93
270,0.92
271,0.92
272,0.915
273,0.93
274,0.935
275,0.9
276,0.96
277,0.94
278,0.94
279,0.965
280,0.89
281,0.945
282,0.935
283,0.945
284,0.95
285,0.93
286,0.895
287,0.915
288,0.94
289,0.92
290,0.94
291,0.895
292,0.915
293,0.955
294,0.93
295,0.915
296,0.89
297,0.905
298,0.93
299,0.905
300,0.97
301,0.92
302,0.965
303,0.95
304,0.95
305,0.9
306,0.97
307,0.925
308,0.93
309,0.915
310,0.95
311,0.95
312,0.945
313,0.91
314,0.935
315,0.92
316,0.935
317,0.95
318,0.925
319,0.935
320,0.925
321,0.95
322,0.935
323,0.94
324,0.97
325,0.915
326,0.925
327,0.95
328,0.945
329,0.95
330,0.92
331,0.94
332,0.94
333,0.92
334,0.93
335,0.935
336,0.94
337,0.94
338,0.905
339,0.925
340,0.955
341,0.94
342,0.935
343,0.93
344,0.915
345,0.9
346,0.945
347,0.935
348,0.95
