chunk,accuracy
0,0.0
1,0.53
2,0.62
3,0.77
4,0.755
5,0.76
6,0.765
7,0.85
8,0.755
9,0.77
10,0.81
11,0.78
12,0.855
13,0.82
14,0.835
15,0.8
16,0.77
17,0.8
18,0.71
19,0.88
20,0.85
21,0.845
22,0.855
23,0.85
24,0.8
25,0.83
26,0.8
27,0.87
28,0.82
29,0.785
30,0.78
31,0.855
32,0.68
33,0.85
34,0.805
35,0.835
36,0.83
37,0.845
38,0.685
39,0.85
40,0.825
41,0.79
42,0.865
43,0.855
44,0.78
45,0.82
46,0.795
47,0.865
48,0.745
49,0.84
50,0.85
51,0.82
52,0.8
53,0.785
54,0.78
55,0.91
56,0.845
57,0.875
58,0.815
59,0.855
60,0.8
61,0.835
62,0.785
63,0.85
64,0.875
65,0.86
66,0.855
67,0.81
68,0.86
69,0.775
70,0.89
71,0.775
72,0.87
73,0.745
74,0.88
75,0.86
76,0.87
77,0.83
78,0.895
79,0.855
80,0.85
81,0.845
82,0.88
83,0.66
84,0.88
85,0.915
86,0.835
87,0.635
88,0.875
89,0.85
90,0.82
91,0.92
92,0.85
93,0.865
94,0.88
95,0.835
96,0.875
97,0.85
98,0.815
99,0.795
100,0.725
101,0.785
102,0.84
103,0.825
104,0.845
105,0.755
106,0.82
107,0.845
108,0.83
109,0.84
110,0.805
111,0.84
112,0.815
113,0.84
114,0.845
115,0.87
116,0.815
117,0.86
118,0.805
119,0.85
120,0.785
121,0.875
122,0.88
123,0.885
124,0.825
125,0.82
126,0.745
127,0.765
128,0.865
129,0.86
130,0.805
131,0.85
132,0.855
133,0.895
134,0.895
135,0.845
136,0.705
137,0.855
138,0.81
139,0.85
140,0.9
141,0.87
142,0.775
143,0.83
144,0.745
145,0.695
146,0.825
147,0.85
148,0.775
149,0.84
150,0.9
151,0.89
152,0.835
153,0.89
154,0.75
155,0.875
156,0.855
157,0.875
158,0.885
159,0.84
160,0.795
161,0.87
162,0.845
163,0.855
164,0.885
165,0.87
166,0.89
167,0.815
168,0.765
169,0.81
170,0.86
171,0.89
172,0.775
173,0.84
174,0.73
175,0.355
176,0.665
177,0.805
178,0.755
179,0.88
180,0.81
181,0.84
182,0.925
183,0.91
184,0.875
185,0.93
186,0.925
187,0.665
188,0.93
189,0.905
190,0.945
191,0.895
192,0.93
193,0.895
194,0.93
195,0.925
196,0.93
197,0.935
198,0.89
199,0.925
200,0.9
201,0.905
202,0.845
203,0.905
204,0.935
205,0.905
206,0.835
207,0.89
208,0.885
209,0.94
210,0.93
211,0.91
212,0.94
213,0.77
214,0.915
215,0.92
216,0.845
217,0.875
218,0.89
219,0.78
220,0.885
221,0.93
222,0.92
223,0.92
224,0.875
225,0.945
226,0.96
227,0.945
228,0.855
229,0.9
230,0.94
231,0.905
232,0.875
233,0.94
234,0.935
235,0.87
236,0.91
237,0.925
238,0.9
239,0.955
240,0.94
241,0.945
242,0.935
243,0.955
244,0.945
245,0.955
246,0.935
247,0.85
248,0.885
249,0.925
250,0.945
251,0.945
252,0.935
253,0.92
254,0.95
255,0.955
256,0.94
257,0.92
258,0.915
259,0.955
260,0.93
261,0.89
262,0.825
263,0.745
264,0.91
265,0.91
266,0.935
267,0.96
268,0.915
269,0.95
270,0.95
271,0.945
272,0.93
273,0.91
274,0.895
275,0.975
276,0.94
277,0.935
278,0.94
279,0.95
280,0.8
281,0.965
282,0.94
283,0.96
284,0.945
285,0.85
286,0.955
287,0.945
288,0.89
289,0.925
290,0.945
291,0.98
292,0.965
293,0.91
294,0.945
295,0.95
296,0.915
297,0.91
298,0.935
299,0.92
300,0.935
301,0.93
302,0.955
303,0.925
304,0.895
305,0.635
306,0.965
307,0.935
308,0.96
309,0.965
310,0.945
311,0.955
312,0.98
313,0.795
314,0.87
315,0.975
316,0.935
317,0.86
318,0.865
319,0.94
320,0.965
321,0.955
322,0.95
323,0.98
324,0.95
325,0.975
326,0.96
327,0.955
328,0.965
329,0.695
330,0.93
331,0.95
332,0.95
333,0.97
334,0.925
335,0.96
336,0.935
337,0.925
338,0.935
339,0.94
340,0.96
341,0.955
342,0.96
343,0.97
344,0.955
345,0.955
346,0.95
347,0.945
348,0.935
