chunk,accuracy
0,0.0
1,0.73
2,0.875
3,0.79
4,0.9
5,0.93
6,0.88
7,0.91
8,0.925
9,0.915
10,0.83
11,0.955
12,0.945
13,0.895
14,0.865
15,0.915
16,0.95
17,0.925
18,0.915
19,0.895
20,0.935
21,0.945
22,0.92
23,0.925
24,0.93
25,0.95
26,0.895
27,0.925
28,0.93
29,0.925
30,0.955
31,0.94
32,0.925
33,0.87
34,0.975
35,0.95
36,0.935
37,0.9
38,0.93
39,0.91
40,0.935
41,0.935
42,0.94
43,0.945
44,0.93
45,0.945
46,0.925
47,0.905
48,0.91
49,0.945
50,0.935
51,0.94
52,0.935
53,0.925
54,0.95
55,0.92
56,0.975
57,0.94
58,0.91
59,0.925
60,0.925
61,0.915
62,0.92
63,0.935
64,0.94
65,0.955
66,0.935
67,0.94
68,0.93
69,0.92
70,0.925
71,0.945
72,0.95
73,0.92
74,0.925
75,0.95
76,0.94
77,0.93
78,0.95
79,0.955
80,0.96
81,0.9
82,0.95
83,0.925
84,0.945
85,0.955
86,0.935
87,0.915
88,0.925
89,0.925
90,0.94
91,0.95
92,0.955
93,0.95
94,0.94
95,0.945
96,0.92
97,0.91
98,0.96
99,0.905
100,0.895
101,0.96
102,0.975
103,0.91
104,0.92
105,0.955
106,0.925
107,0.945
108,0.94
109,0.955
110,0.94
111,0.93
112,0.95
113,0.945
114,0.945
115,0.92
116,0.935
117,0.92
118,0.9
119,0.955
120,0.915
121,0.92
122,0.975
123,0.965
124,0.89
125,0.93
126,0.925
127,0.9
128,0.935
129,0.92
130,0.965
131,0.935
132,0.92
133,0.945
134,0.925
135,0.94
136,0.93
137,0.93
138,0.94
139,0.935
140,0.915
141,0.935
142,0.915
143,0.93
144,0.92
145,0.975
146,0.925
147,0.965
148,0.955
149,0.94
150,0.955
151,0.95
152,0.94
153,0.965
154,0.93
155,0.915
156,0.94
157,0.945
158,0.935
159,0.915
160,0.935
161,0.91
162,0.93
163,0.92
164,0.925
165,0.96
166,0.97
167,0.95
168,0.93
169,0.935
170,0.925
171,0.925
172,0.95
173,0.925
174,0.935
175,0.26
176,0.28
177,0.315
178,0.285
179,0.35
180,0.335
181,0.37
182,0.345
183,0.38
184,0.415
185,0.565
186,0.61
187,0.595
188,0.675
189,0.695
190,0.795
191,0.86
192,0.89
193,0.805
194,0.865
195,0.815
196,0.875
197,0.865
198,0.82
199,0.87
200,0.785
201,0.89
202,0.84
203,0.86
204,0.87
205,0.87
206,0.84
207,0.825
208,0.86
209,0.845
210,0.82
211,0.865
212,0.87
213,0.82
214,0.86
215,0.83
216,0.865
217,0.825
218,0.835
219,0.865
220,0.815
221,0.85
222,0.845
223,0.875
224,0.885
225,0.795
226,0.845
227,0.835
228,0.885
229,0.87
230,0.825
231,0.855
232,0.85
233,0.845
234,0.87
235,0.9
236,0.835
237,0.84
238,0.86
239,0.86
240,0.815
241,0.815
242,0.85
243,0.84
244,0.83
245,0.82
246,0.86
247,0.84
248,0.815
249,0.885
250,0.845
251,0.85
252,0.835
253,0.825
254,0.845
255,0.84
256,0.83
257,0.87
258,0.85
259,0.845
260,0.84
261,0.83
262,0.85
263,0.875
264,0.86
265,0.9
266,0.88
267,0.835
268,0.845
269,0.865
270,0.845
271,0.845
272,0.855
273,0.86
274,0.795
275,0.845
276,0.825
277,0.83
278,0.885
279,0.85
280,0.84
281,0.865
282,0.835
283,0.855
284,0.83
285,0.85
286,0.85
287,0.885
288,0.865
289,0.845
290,0.865
291,0.83
292,0.865
293,0.845
294,0.84
295,0.855
296,0.865
297,0.83
298,0.835
299,0.87
300,0.87
301,0.84
302,0.865
303,0.905
304,0.835
305,0.89
306,0.875
307,0.855
308,0.815
309,0.855
310,0.84
311,0.875
312,0.88
313,0.86
314,0.87
315,0.895
316,0.86
317,0.865
318,0.825
319,0.83
320,0.855
321,0.86
322,0.805
323,0.82
324,0.855
325,0.885
326,0.82
327,0.84
328,0.84
329,0.835
330,0.845
331,0.87
332,0.845
333,0.845
334,0.85
335,0.8
336,0.88
337,0.835
338,0.875
339,0.88
340,0.86
341,0.86
342,0.905
343,0.875
344,0.87
345,0.795
346,0.835
347,0.895
348,0.835
