chunk,accuracy
0,0.0
1,0.695
2,0.775
3,0.925
4,0.905
5,0.92
6,0.905
7,0.935
8,0.885
9,0.875
10,0.93
11,0.905
12,0.925
13,0.93
14,0.915
15,0.915
16,0.935
17,0.92
18,0.94
19,0.955
20,0.93
21,0.9
22,0.935
23,0.94
24,0.92
25,0.935
26,0.935
27,0.93
28,0.945
29,0.94
30,0.92
31,0.93
32,0.935
33,0.935
34,0.93
35,0.93
36,0.93
37,0.9
38,0.96
39,0.95
40,0.935
41,0.94
42,0.895
43,0.92
44,0.935
45,0.935
46,0.92
47,0.93
48,0.935
49,0.945
50,0.935
51,0.95
52,0.88
53,0.95
54,0.92
55,0.965
56,0.93
57,0.935
58,0.895
59,0.895
60,0.92
61,0.93
62,0.925
63,0.955
64,0.91
65,0.945
66,0.9
67,0.93
68,0.94
69,0.93
70,0.94
71,0.94
72,0.935
73,0.95
74,0.94
75,0.92
76,0.88
77,0.95
78,0.96
79,0.915
80,0.925
81,0.965
82,0.935
83,0.915
84,0.935
85,0.945
86,0.915
87,0.93
88,0.91
89,0.915
90,0.91
91,0.915
92,0.925
93,0.945
94,0.94
95,0.93
96,0.9
97,0.94
98,0.925
99,0.9
100,0.945
101,0.93
102,0.965
103,0.915
104,0.935
105,0.935
106,0.935
107,0.93
108,0.935
109,0.95
110,0.955
111,0.95
112,0.915
113,0.91
114,0.925
115,0.96
116,0.915
117,0.93
118,0.95
119,0.92
120,0.905
121,0.935
122,0.915
123,0.95
124,0.935
125,0.945
126,0.955
127,0.955
128,0.915
129,0.885
130,0.925
131,0.95
132,0.95
133,0.945
134,0.96
135,0.885
136,0.93
137,0.965
138,0.935
139,0.94
140,0.925
141,0.93
142,0.925
143,0.92
144,0.955
145,0.925
146,0.93
147,0.945
148,0.93
149,0.925
150,0.945
151,0.945
152,0.925
153,0.94
154,0.925
155,0.925
156,0.92
157,0.93
158,0.935
159,0.94
160,0.95
161,0.93
162,0.905
163,0.935
164,0.935
165,0.915
166,0.93
167,0.905
168,0.935
169,0.945
170,0.925
171,0.935
172,0.92
173,0.95
174,0.915
175,0.245
176,0.28
177,0.265
178,0.26
179,0.295
180,0.29
181,0.37
182,0.355
183,0.42
184,0.46
185,0.535
186,0.57
187,0.605
188,0.72
189,0.705
190,0.79
191,0.75
192,0.77
193,0.805
194,0.825
195,0.855
196,0.89
197,0.87
198,0.85
199,0.805
200,0.9
201,0.875
202,0.88
203,0.86
204,0.835
205,0.84
206,0.83
207,0.865
208,0.865
209,0.87
210,0.805
211,0.83
212,0.825
213,0.88
214,0.895
215,0.845
216,0.85
217,0.81
218,0.89
219,0.85
220,0.84
221,0.845
222,0.83
223,0.865
224,0.855
225,0.865
226,0.805
227,0.825
228,0.885
229,0.835
230,0.8
231,0.85
232,0.875
233,0.85
234,0.825
235,0.885
236,0.845
237,0.805
238,0.82
239,0.855
240,0.88
241,0.835
242,0.835
243,0.825
244,0.905
245,0.875
246,0.83
247,0.91
248,0.86
249,0.875
250,0.825
251,0.835
252,0.845
253,0.89
254,0.865
255,0.845
256,0.82
257,0.835
258,0.825
259,0.865
260,0.875
261,0.81
262,0.85
263,0.85
264,0.88
265,0.87
266,0.845
267,0.82
268,0.865
269,0.855
270,0.855
271,0.785
272,0.785
273,0.84
274,0.845
275,0.82
276,0.835
277,0.865
278,0.895
279,0.84
280,0.86
281,0.84
282,0.885
283,0.8
284,0.85
285,0.88
286,0.87
287,0.885
288,0.815
289,0.835
290,0.87
291,0.885
292,0.87
293,0.825
294,0.86
295,0.85
296,0.81
297,0.825
298,0.845
299,0.87
300,0.83
301,0.795
302,0.86
303,0.89
304,0.87
305,0.825
306,0.85
307,0.835
308,0.88
309,0.84
310,0.86
311,0.895
312,0.855
313,0.815
314,0.89
315,0.885
316,0.835
317,0.9
318,0.845
319,0.83
320,0.855
321,0.865
322,0.865
323,0.915
324,0.895
325,0.83
326,0.8
327,0.805
328,0.87
329,0.83
330,0.85
331,0.855
332,0.88
333,0.8
334,0.865
335,0.85
336,0.865
337,0.845
338,0.875
339,0.84
340,0.845
341,0.855
342,0.855
343,0.875
344,0.815
345,0.82
346,0.785
347,0.865
348,0.83
