chunk,accuracy
0,0.0
1,0.12
2,0.25
3,0.43
4,0.53
5,0.645
6,0.66
7,0.75
8,0.81
9,0.78
10,0.72
11,0.855
12,0.82
13,0.865
14,0.82
15,0.82
16,0.88
17,0.895
18,0.82
19,0.875
20,0.9
21,0.8
22,0.94
23,0.74
24,0.93
25,0.9
26,0.92
27,0.915
28,0.905
29,0.84
30,0.75
31,0.8
32,0.84
33,0.825
34,0.87
35,0.89
36,0.87
37,0.86
38,0.59
39,0.88
40,0.83
41,0.845
42,0.9
43,0.86
44,0.91
45,0.915
46,0.85
47,0.88
48,0.855
49,0.89
50,0.885
51,0.895
52,0.89
53,0.92
54,0.76
55,0.815
56,0.9
57,0.95
58,0.91
59,0.925
60,0.905
61,0.63
62,0.84
63,0.855
64,0.895
65,0.84
66,0.925
67,0.86
68,0.905
69,0.88
70,0.915
71,0.875
72,0.935
73,0.91
74,0.93
75,0.95
76,0.935
77,0.89
78,0.925
79,0.955
80,0.95
81,0.92
82,0.895
83,0.705
84,0.9
85,0.89
86,0.91
87,0.775
88,0.9
89,0.85
90,0.9
91,0.855
92,0.925
93,0.89
94,0.905
95,0.885
96,0.64
97,0.905
98,0.93
99,0.85
100,0.95
101,0.905
102,0.925
103,0.825
104,0.78
105,0.94
106,0.795
107,0.88
108,0.76
109,0.795
110,0.945
111,0.9
112,0.925
113,0.92
114,0.925
115,0.8
116,0.965
117,0.93
118,0.93
119,0.96
120,0.915
121,0.93
122,0.955
123,0.805
124,0.93
125,0.93
126,0.91
127,0.93
128,0.875
129,0.87
130,0.89
131,0.92
132,0.795
133,0.945
134,0.935
135,0.925
136,0.95
137,0.9
138,0.895
139,0.955
140,0.86
141,0.925
142,0.91
143,0.97
144,0.96
145,0.93
146,0.935
147,0.895
148,0.955
149,0.94
150,0.83
151,0.94
152,0.935
153,0.955
154,0.935
155,0.93
156,0.925
157,0.885
158,0.91
159,0.915
160,0.935
161,0.975
162,0.925
163,0.905
164,0.925
165,0.965
166,0.95
167,0.955
168,0.945
169,0.94
170,0.96
171,0.935
172,0.96
173,0.935
174,0.975
175,0.97
176,0.94
177,0.955
178,0.96
179,0.98
180,0.975
181,0.955
182,0.965
183,0.945
184,0.95
185,0.975
186,0.97
187,0.95
188,0.895
189,0.89
190,0.945
191,0.955
192,0.95
193,0.95
194,0.895
195,0.955
196,0.93
197,0.965
198,0.935
199,0.91
200,0.955
201,0.975
202,0.92
203,0.965
204,0.94
205,0.96
206,0.925
207,0.97
208,0.965
209,0.96
210,0.96
211,0.945
212,0.945
213,0.965
214,0.945
215,0.955
216,0.975
217,0.77
218,0.975
219,0.985
220,0.975
221,0.945
222,0.965
223,0.965
224,0.95
225,0.965
226,0.95
227,0.925
228,0.88
229,0.94
230,0.955
231,0.885
232,0.94
233,0.94
234,0.945
235,0.95
236,0.965
237,0.975
238,0.955
239,0.97
240,0.98
241,0.96
242,0.97
243,0.965
244,0.72
245,0.98
246,0.99
247,0.98
248,0.96
249,0.975
250,0.965
251,0.97
252,0.975
253,0.925
254,0.98
255,0.97
256,0.965
257,0.95
258,0.97
259,0.97
260,0.95
261,0.945
262,0.98
263,0.97
264,0.985
265,0.91
266,0.96
267,0.975
268,0.985
269,0.99
270,0.96
271,0.985
272,0.97
273,0.935
274,0.865
275,0.97
276,0.95
277,0.97
278,0.95
279,0.975
280,0.95
281,0.975
282,0.95
283,0.98
284,0.98
285,0.98
286,0.94
287,0.965
288,0.935
289,0.995
290,0.96
291,0.935
292,0.975
293,0.97
294,0.97
295,0.96
296,0.955
297,0.985
298,0.97
299,0.945
300,0.96
301,0.985
302,0.975
303,0.975
304,0.98
305,0.975
306,0.97
307,0.955
308,0.915
309,0.965
310,0.975
311,0.96
312,0.98
313,0.97
