chunk,accuracy
0,0.0
1,0.135
2,0.39
3,0.5
4,0.495
5,0.45
6,0.615
7,0.685
8,0.62
9,0.775
10,0.805
11,0.795
12,0.8
13,0.845
14,0.805
15,0.815
16,0.855
17,0.68
18,0.875
19,0.865
20,0.86
21,0.8
22,0.83
23,0.78
24,0.81
25,0.84
26,0.78
27,0.725
28,0.845
29,0.785
30,0.8
31,0.785
32,0.825
33,0.785
34,0.86
35,0.75
36,0.825
37,0.77
38,0.82
39,0.81
40,0.81
41,0.8
42,0.76
43,0.775
44,0.81
45,0.84
46,0.845
47,0.79
48,0.76
49,0.785
50,0.815
51,0.775
52,0.8
53,0.785
54,0.77
55,0.78
56,0.805
57,0.75
58,0.825
59,0.77
60,0.815
61,0.815
62,0.755
63,0.74
64,0.82
65,0.845
66,0.835
67,0.765
68,0.81
69,0.785
70,0.78
71,0.775
72,0.81
73,0.835
74,0.785
75,0.825
76,0.815
77,0.755
78,0.835
79,0.81
80,0.835
81,0.795
82,0.76
83,0.775
84,0.785
85,0.84
86,0.8
87,0.79
88,0.775
89,0.87
90,0.81
91,0.81
92,0.815
93,0.785
94,0.78
95,0.81
96,0.785
97,0.785
98,0.79
99,0.78
100,0.76
101,0.805
102,0.735
103,0.81
104,0.8
105,0.86
106,0.825
107,0.77
108,0.785
109,0.755
110,0.83
111,0.8
112,0.785
113,0.78
114,0.78
115,0.74
116,0.805
117,0.795
118,0.79
119,0.835
120,0.77
121,0.795
122,0.775
123,0.79
124,0.82
125,0.715
126,0.785
127,0.81
128,0.79
129,0.77
130,0.775
131,0.785
132,0.775
133,0.785
134,0.8
135,0.825
136,0.8
137,0.75
138,0.755
139,0.82
140,0.77
141,0.82
142,0.835
143,0.825
144,0.8
145,0.825
146,0.77
147,0.805
148,0.82
149,0.745
150,0.865
151,0.755
152,0.77
153,0.84
154,0.82
155,0.745
156,0.81
157,0.795
158,0.855
159,0.845
160,0.845
161,0.84
162,0.82
163,0.875
164,0.85
165,0.86
166,0.9
167,0.885
168,0.9
169,0.855
170,0.88
171,0.915
172,0.875
173,0.855
174,0.895
175,0.88
176,0.88
177,0.92
178,0.94
179,0.94
180,0.95
181,0.93
182,0.915
183,0.89
184,0.905
185,0.91
186,0.91
187,0.9
188,0.87
189,0.89
190,0.9
191,0.915
192,0.935
193,0.895
194,0.87
195,0.875
196,0.89
197,0.93
198,0.915
199,0.865
200,0.89
201,0.915
202,0.88
203,0.93
204,0.91
205,0.865
206,0.89
207,0.895
208,0.91
209,0.905
210,0.92
211,0.895
212,0.895
213,0.895
214,0.905
215,0.875
216,0.91
217,0.905
218,0.91
219,0.93
220,0.9
221,0.9
222,0.915
223,0.925
224,0.885
225,0.92
226,0.9
227,0.92
228,0.88
229,0.935
230,0.905
231,0.96
232,0.875
233,0.91
234,0.9
235,0.9
236,0.91
237,0.91
238,0.895
239,0.895
240,0.915
241,0.935
242,0.895
243,0.895
244,0.905
245,0.94
246,0.88
247,0.905
248,0.915
249,0.905
250,0.885
251,0.895
252,0.895
253,0.895
254,0.89
255,0.935
256,0.895
257,0.885
258,0.91
259,0.89
260,0.91
261,0.91
262,0.935
263,0.905
264,0.92
265,0.91
266,0.905
267,0.945
268,0.915
269,0.94
270,0.885
271,0.94
272,0.915
273,0.885
274,0.925
275,0.905
276,0.895
277,0.935
278,0.92
279,0.905
280,0.89
281,0.875
282,0.91
283,0.935
284,0.875
285,0.905
286,0.925
287,0.9
288,0.875
289,0.94
290,0.885
291,0.905
292,0.935
293,0.92
294,0.895
295,0.88
296,0.91
297,0.91
298,0.915
299,0.935
300,0.925
301,0.955
302,0.91
303,0.895
304,0.92
305,0.895
306,0.89
307,0.935
308,0.9
309,0.92
310,0.9
311,0.89
312,0.91
313,0.915
