chunk,accuracy
0,0.0
1,0.135
2,0.47
3,0.64
4,0.745
5,0.695
6,0.79
7,0.865
8,0.785
9,0.875
10,0.875
11,0.865
12,0.905
13,0.915
14,0.885
15,0.96
16,0.885
17,0.92
18,0.915
19,0.91
20,0.86
21,0.915
22,0.96
23,0.87
24,0.905
25,0.94
26,0.935
27,0.945
28,0.905
29,0.96
30,0.92
31,0.905
32,0.805
33,0.93
34,0.96
35,0.935
36,0.745
37,0.91
38,0.78
39,0.94
40,0.905
41,0.89
42,0.935
43,0.81
44,0.96
45,0.965
46,0.95
47,0.955
48,0.92
49,0.975
50,0.925
51,0.925
52,0.94
53,0.97
54,0.94
55,0.945
56,0.95
57,0.955
58,0.935
59,0.975
60,0.87
61,0.945
62,0.92
63,0.725
64,0.945
65,0.945
66,0.955
67,0.955
68,0.855
69,0.87
70,0.94
71,0.945
72,0.875
73,0.945
74,0.965
75,0.965
76,0.865
77,0.945
78,0.935
79,0.895
80,0.965
81,0.965
82,0.845
83,0.965
84,0.94
85,0.98
86,0.93
87,0.955
88,0.92
89,0.895
90,0.94
91,0.94
92,0.94
93,0.97
94,0.97
95,0.96
96,0.94
97,0.97
98,0.84
99,0.97
100,0.935
101,0.945
102,0.915
103,0.95
104,0.955
105,0.97
106,0.95
107,0.895
108,0.84
109,0.945
110,0.945
111,0.97
112,0.955
113,0.935
114,0.955
115,0.96
116,0.96
117,0.975
118,0.94
119,0.975
120,0.915
121,0.915
122,0.97
123,0.94
124,0.965
125,0.945
126,0.965
127,0.955
128,0.975
129,0.97
130,0.945
131,0.98
132,0.96
133,0.98
134,0.82
135,0.96
136,0.96
137,0.94
138,0.89
139,0.965
140,0.92
141,0.895
142,0.98
143,0.96
144,0.97
145,0.86
146,0.965
147,0.965
148,0.97
149,0.945
150,0.96
151,0.95
152,0.95
153,0.96
154,0.97
155,0.95
156,0.94
157,0.935
158,0.79
159,0.9
160,0.915
161,0.725
162,0.9
163,0.73
164,0.65
165,0.925
166,0.92
167,0.895
168,0.835
169,0.835
170,0.9
171,0.885
172,0.87
173,0.91
174,0.955
175,0.935
176,0.92
177,0.715
178,0.795
179,0.62
180,0.755
181,0.93
182,0.9
183,0.945
184,0.905
185,0.815
186,0.93
187,0.945
188,0.9
189,0.92
190,0.91
191,0.7
192,0.865
193,0.91
194,0.78
195,0.825
196,0.895
197,0.925
198,0.945
199,0.825
200,0.765
201,0.935
202,0.84
203,0.88
204,0.95
205,0.955
206,0.78
207,0.945
208,0.955
209,0.905
210,0.95
211,0.91
212,0.855
213,0.93
214,0.84
215,0.905
216,0.92
217,0.895
218,0.965
219,0.94
220,0.885
221,0.955
222,0.85
223,0.905
224,0.95
225,0.93
226,0.945
227,0.945
228,0.945
229,0.96
230,0.955
231,0.985
232,0.95
233,0.935
234,0.875
235,0.915
236,0.96
237,0.91
238,0.865
239,0.93
240,0.875
241,0.93
242,0.935
243,0.955
244,0.84
245,0.96
246,0.965
247,0.97
248,0.94
249,0.91
250,0.975
251,0.875
252,0.95
253,0.91
254,0.955
255,0.915
256,0.94
257,0.925
258,0.945
259,0.91
260,0.95
261,0.945
262,0.96
263,0.93
264,0.95
265,0.94
266,0.935
267,0.965
268,0.96
269,0.97
270,0.95
271,0.885
272,0.875
273,0.935
274,0.86
275,0.95
276,0.935
277,0.935
278,0.945
279,0.95
280,0.935
281,0.835
282,0.935
283,0.965
284,0.945
285,0.925
286,0.84
287,0.935
288,0.87
289,0.97
290,0.96
291,0.915
292,0.795
293,0.945
294,0.94
295,0.92
296,0.915
297,0.955
298,0.96
299,0.95
300,0.965
301,0.96
302,0.95
303,0.91
304,0.94
305,0.93
306,0.85
307,0.935
308,0.8
309,0.965
310,0.92
311,0.915
312,0.965
313,0.77
