model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,0.0,42,2.8159219914540103,208950480.6624204,45,20.239494563620344,10.149224948574801
Unlearning,0.0,42,0.08236159021805996,196904214.92993632,2,38.941277325332194,-0.3412094584940572
Sliding,0.0,65,2.841782556631703,208929459.3121019,8,19.79166666666667,10.291639157863846
Unlearning,0.0,65,0.08165821972285296,196920912.0,1,47.81182815289872,-1.949313121743278
Sliding,0.0,88,2.846962633693982,208929459.3121019,8,18.073084825359576,10.208807235104219
Unlearning,0.0,88,0.08195322225683006,196920912.0,1,31.74149270803546,0.2923487989705384
Sliding,0.5,42,2.8687669142256165,208929459.3121019,5,0.020942408376960674,-16.048272251308905
Unlearning,0.5,42,0.08169732712488029,196920912.0,1,9.085333128881397,-13.18580847964424
Sliding,0.5,65,2.885010641069703,208929459.3121019,5,5.6800067119724975,-16.470656095310005
Unlearning,0.5,65,0.08192352497813761,196920912.0,1,7.574261186659566,-11.291119045810225
Sliding,0.5,88,2.893663570354544,208929459.3121019,8,3.9956487176268816,-15.946194719886199
Unlearning,0.5,88,0.08109902652502535,196920912.0,1,15.926754369336923,-11.192705766387377
