chunk,accuracy
0,0.0
1,0.14
2,0.42
3,0.63
4,0.715
5,0.72
6,0.765
7,0.845
8,0.815
9,0.8
10,0.865
11,0.82
12,0.9
13,0.94
14,0.865
15,0.915
16,0.905
17,0.9
18,0.89
19,0.875
20,0.925
21,0.885
22,0.965
23,0.935
24,0.915
25,0.91
26,0.895
27,0.915
28,0.925
29,0.935
30,0.93
31,0.89
32,0.92
33,0.875
34,0.925
35,0.89
36,0.9
37,0.885
38,0.94
39,0.895
40,0.845
41,0.885
42,0.91
43,0.875
44,0.915
45,0.935
46,0.92
47,0.945
48,0.9
49,0.935
50,0.87
51,0.905
52,0.87
53,0.93
54,0.905
55,0.9
56,0.9
57,0.935
58,0.895
59,0.9
60,0.925
61,0.935
62,0.91
63,0.89
64,0.91
65,0.905
66,0.925
67,0.895
68,0.885
69,0.92
70,0.915
71,0.925
72,0.93
73,0.89
74,0.925
75,0.9
76,0.93
77,0.905
78,0.885
79,0.955
80,0.905
81,0.9
82,0.875
83,0.885
84,0.89
85,0.94
86,0.905
87,0.91
88,0.865
89,0.915
90,0.915
91,0.92
92,0.94
93,0.96
94,0.91
95,0.925
96,0.89
97,0.925
98,0.91
99,0.91
100,0.91
101,0.895
102,0.885
103,0.895
104,0.93
105,0.915
106,0.905
107,0.89
108,0.9
109,0.9
110,0.91
111,0.905
112,0.875
113,0.9
114,0.895
115,0.92
116,0.935
117,0.92
118,0.895
119,0.935
120,0.875
121,0.925
122,0.915
123,0.91
124,0.915
125,0.885
126,0.89
127,0.93
128,0.885
129,0.865
130,0.87
131,0.94
132,0.895
133,0.905
134,0.93
135,0.94
136,0.91
137,0.86
138,0.86
139,0.915
140,0.89
141,0.895
142,0.885
143,0.935
144,0.925
145,0.905
146,0.865
147,0.925
148,0.905
149,0.905
150,0.925
151,0.845
152,0.91
153,0.92
154,0.915
155,0.855
156,0.815
157,0.83
158,0.795
159,0.795
160,0.78
161,0.765
162,0.765
163,0.76
164,0.725
165,0.785
166,0.855
167,0.8
168,0.775
169,0.83
170,0.81
171,0.775
172,0.79
173,0.84
174,0.785
175,0.755
176,0.82
177,0.83
178,0.765
179,0.82
180,0.82
181,0.795
182,0.8
183,0.82
184,0.785
185,0.82
186,0.815
187,0.76
188,0.795
189,0.77
190,0.82
191,0.82
192,0.765
193,0.725
194,0.78
195,0.795
196,0.79
197,0.78
198,0.8
199,0.81
200,0.8
201,0.815
202,0.795
203,0.835
204,0.78
205,0.775
206,0.795
207,0.775
208,0.81
209,0.785
210,0.765
211,0.79
212,0.745
213,0.74
214,0.805
215,0.77
216,0.785
217,0.79
218,0.83
219,0.845
220,0.795
221,0.76
222,0.8
223,0.795
224,0.775
225,0.77
226,0.84
227,0.8
228,0.78
229,0.77
230,0.775
231,0.83
232,0.78
233,0.8
234,0.795
235,0.785
236,0.795
237,0.765
238,0.81
239,0.815
240,0.795
241,0.74
242,0.825
243,0.81
244,0.745
245,0.795
246,0.795
247,0.765
248,0.805
249,0.85
250,0.76
251,0.785
252,0.77
253,0.79
254,0.8
255,0.82
256,0.78
257,0.79
258,0.765
259,0.785
260,0.8
261,0.8
262,0.82
263,0.825
264,0.825
265,0.79
266,0.81
267,0.79
268,0.835
269,0.805
270,0.75
271,0.83
272,0.815
273,0.795
274,0.825
275,0.845
276,0.765
277,0.815
278,0.83
279,0.8
280,0.795
281,0.765
282,0.75
283,0.845
284,0.77
285,0.765
286,0.765
287,0.79
288,0.775
289,0.815
290,0.745
291,0.865
292,0.83
293,0.795
294,0.81
295,0.79
296,0.81
297,0.77
298,0.79
299,0.805
300,0.79
301,0.79
302,0.815
303,0.795
304,0.835
305,0.815
306,0.795
307,0.775
308,0.755
309,0.77
310,0.795
311,0.73
312,0.775
313,0.75
