chunk,accuracy
0,0.0
1,0.13
2,0.44
3,0.655
4,0.72
5,0.675
6,0.77
7,0.775
8,0.83
9,0.855
10,0.925
11,0.895
12,0.915
13,0.95
14,0.94
15,0.905
16,0.93
17,0.955
18,0.95
19,0.94
20,0.815
21,0.8
22,0.88
23,0.93
24,0.935
25,0.94
26,0.89
27,0.955
28,0.835
29,0.905
30,0.94
31,0.955
32,0.92
33,0.955
34,0.96
35,0.935
36,0.95
37,0.955
38,0.95
39,0.95
40,0.815
41,0.9
42,0.94
43,0.94
44,0.925
45,0.83
46,0.915
47,0.905
48,0.895
49,0.86
50,0.975
51,0.915
52,0.94
53,0.905
54,0.905
55,0.915
56,0.935
57,0.925
58,0.95
59,0.935
60,0.96
61,0.95
62,0.855
63,0.95
64,0.935
65,0.94
66,0.955
67,0.95
68,0.915
69,0.975
70,0.95
71,0.92
72,0.935
73,0.965
74,0.96
75,0.955
76,0.975
77,0.95
78,0.94
79,0.985
80,0.955
81,0.94
82,0.85
83,0.945
84,0.945
85,0.915
86,0.94
87,0.87
88,0.75
89,0.93
90,0.96
91,0.94
92,0.935
93,0.895
94,0.96
95,0.96
96,0.95
97,0.825
98,0.94
99,0.87
100,0.885
101,0.97
102,0.865
103,0.945
104,0.88
105,0.975
106,0.98
107,0.935
108,0.945
109,0.945
110,0.97
111,0.915
112,0.925
113,0.91
114,0.975
115,0.95
116,0.985
117,0.99
118,0.905
119,0.95
120,0.93
121,0.96
122,0.93
123,0.95
124,0.94
125,0.965
126,0.925
127,0.9
128,0.965
129,0.94
130,0.895
131,0.96
132,0.97
133,0.965
134,0.965
135,0.915
136,0.985
137,0.96
138,0.96
139,0.975
140,0.96
141,0.97
142,0.96
143,0.91
144,0.895
145,0.885
146,0.97
147,0.98
148,0.98
149,0.935
150,0.955
151,0.94
152,0.98
153,0.975
154,0.89
155,0.83
156,0.875
157,0.82
158,0.93
159,0.96
160,0.95
161,0.94
162,0.715
163,0.955
164,0.77
165,0.94
166,0.945
167,0.905
168,0.795
169,0.915
170,0.92
171,0.735
172,0.91
173,0.895
174,0.935
175,0.91
176,0.86
177,0.92
178,0.925
179,0.92
180,0.91
181,0.95
182,0.935
183,0.725
184,0.945
185,0.9
186,0.935
187,0.955
188,0.89
189,0.82
190,0.915
191,0.905
192,0.94
193,0.905
194,0.915
195,0.935
196,0.905
197,0.96
198,0.915
199,0.925
200,0.94
201,0.93
202,0.91
203,0.905
204,0.93
205,0.935
206,0.9
207,0.94
208,0.66
209,0.745
210,0.925
211,0.95
212,0.89
213,0.92
214,0.93
215,0.94
216,0.965
217,0.955
218,0.935
219,0.945
220,0.885
221,0.905
222,0.86
223,0.895
224,0.885
225,0.975
226,0.955
227,0.955
228,0.955
229,0.955
230,0.945
231,0.905
232,0.91
233,0.95
234,0.945
235,0.925
236,0.91
237,0.97
238,0.895
239,0.95
240,0.98
241,0.93
242,0.84
243,0.885
244,0.94
245,0.94
246,0.875
247,0.945
248,0.935
249,0.95
250,0.965
251,0.965
252,0.935
253,0.935
254,0.945
255,0.945
256,0.96
257,0.91
258,0.915
259,0.935
260,0.915
261,0.87
262,0.875
263,0.97
264,0.915
265,0.91
266,0.945
267,0.945
268,0.945
269,0.93
270,0.95
271,0.96
272,0.895
273,0.95
274,0.95
275,0.92
276,0.84
277,0.895
278,0.995
279,0.795
280,0.935
281,0.96
282,0.955
283,0.97
284,0.93
285,0.72
286,0.91
287,0.91
288,0.905
289,0.86
290,0.925
291,0.915
292,0.945
293,0.94
294,0.915
295,0.925
296,0.96
297,0.955
298,0.935
299,0.945
300,0.93
301,0.945
302,0.955
303,0.945
304,0.955
305,0.96
306,0.79
307,0.945
308,0.555
309,0.885
310,0.9
311,0.945
312,0.925
313,0.95
