chunk,accuracy
0,0.0
1,0.135
2,0.415
3,0.7
4,0.78
5,0.755
6,0.76
7,0.815
8,0.885
9,0.855
10,0.81
11,0.895
12,0.925
13,0.885
14,0.865
15,0.925
16,0.945
17,0.835
18,0.905
19,0.895
20,0.93
21,0.955
22,0.87
23,0.93
24,0.89
25,0.88
26,0.935
27,0.915
28,0.865
29,0.92
30,0.925
31,0.87
32,0.9
33,0.945
34,0.895
35,0.875
36,0.9
37,0.89
38,0.935
39,0.905
40,0.94
41,0.91
42,0.87
43,0.91
44,0.94
45,0.87
46,0.905
47,0.885
48,0.94
49,0.91
50,0.9
51,0.905
52,0.93
53,0.89
54,0.895
55,0.915
56,0.905
57,0.91
58,0.94
59,0.92
60,0.895
61,0.925
62,0.91
63,0.895
64,0.91
65,0.91
66,0.91
67,0.88
68,0.895
69,0.89
70,0.895
71,0.925
72,0.905
73,0.91
74,0.895
75,0.895
76,0.94
77,0.94
78,0.91
79,0.91
80,0.915
81,0.9
82,0.875
83,0.925
84,0.915
85,0.9
86,0.895
87,0.9
88,0.91
89,0.9
90,0.925
91,0.87
92,0.91
93,0.905
94,0.87
95,0.9
96,0.925
97,0.9
98,0.895
99,0.905
100,0.9
101,0.895
102,0.94
103,0.92
104,0.915
105,0.885
106,0.945
107,0.86
108,0.95
109,0.905
110,0.87
111,0.9
112,0.895
113,0.89
114,0.885
115,0.9
116,0.925
117,0.925
118,0.9
119,0.87
120,0.91
121,0.89
122,0.92
123,0.92
124,0.9
125,0.89
126,0.915
127,0.88
128,0.88
129,0.9
130,0.905
131,0.89
132,0.91
133,0.88
134,0.935
135,0.905
136,0.865
137,0.895
138,0.91
139,0.875
140,0.945
141,0.915
142,0.89
143,0.88
144,0.95
145,0.915
146,0.9
147,0.915
148,0.915
149,0.945
150,0.875
151,0.915
152,0.93
153,0.89
154,0.845
155,0.86
156,0.835
157,0.78
158,0.765
159,0.74
160,0.78
161,0.79
162,0.765
163,0.77
164,0.77
165,0.815
166,0.785
167,0.845
168,0.76
169,0.77
170,0.83
171,0.785
172,0.75
173,0.85
174,0.825
175,0.835
176,0.815
177,0.82
178,0.78
179,0.825
180,0.79
181,0.83
182,0.795
183,0.725
184,0.76
185,0.87
186,0.755
187,0.775
188,0.805
189,0.765
190,0.785
191,0.81
192,0.815
193,0.815
194,0.8
195,0.77
196,0.795
197,0.79
198,0.765
199,0.815
200,0.82
201,0.83
202,0.805
203,0.81
204,0.82
205,0.79
206,0.855
207,0.87
208,0.79
209,0.78
210,0.77
211,0.83
212,0.84
213,0.795
214,0.765
215,0.8
216,0.825
217,0.775
218,0.74
219,0.75
220,0.795
221,0.815
222,0.855
223,0.805
224,0.815
225,0.77
226,0.735
227,0.765
228,0.775
229,0.8
230,0.775
231,0.785
232,0.77
233,0.835
234,0.775
235,0.79
236,0.775
237,0.785
238,0.8
239,0.74
240,0.78
241,0.76
242,0.82
243,0.865
244,0.785
245,0.775
246,0.79
247,0.785
248,0.79
249,0.805
250,0.755
251,0.775
252,0.775
253,0.79
254,0.82
255,0.8
256,0.815
257,0.805
258,0.805
259,0.825
260,0.71
261,0.835
262,0.85
263,0.805
264,0.72
265,0.81
266,0.82
267,0.815
268,0.79
269,0.83
270,0.78
271,0.8
272,0.815
273,0.78
274,0.795
275,0.79
276,0.81
277,0.8
278,0.775
279,0.83
280,0.81
281,0.83
282,0.805
283,0.825
284,0.79
285,0.755
286,0.775
287,0.8
288,0.75
289,0.76
290,0.81
291,0.775
292,0.79
293,0.745
294,0.76
295,0.74
296,0.825
297,0.755
298,0.78
299,0.815
300,0.84
301,0.755
302,0.77
303,0.78
304,0.82
305,0.79
306,0.775
307,0.78
308,0.775
309,0.765
310,0.775
311,0.79
312,0.815
313,0.81
