chunk,accuracy
0,0.0
1,0.105
2,0.375
3,0.47
4,0.515
5,0.64
6,0.75
7,0.67
8,0.75
9,0.795
10,0.84
11,0.835
12,0.83
13,0.815
14,0.845
15,0.83
16,0.88
17,0.91
18,0.89
19,0.82
20,0.87
21,0.805
22,0.78
23,0.845
24,0.785
25,0.795
26,0.79
27,0.86
28,0.805
29,0.785
30,0.805
31,0.78
32,0.77
33,0.815
34,0.78
35,0.725
36,0.79
37,0.82
38,0.8
39,0.8
40,0.79
41,0.735
42,0.81
43,0.79
44,0.835
45,0.805
46,0.77
47,0.76
48,0.775
49,0.725
50,0.82
51,0.765
52,0.76
53,0.74
54,0.835
55,0.745
56,0.78
57,0.795
58,0.775
59,0.835
60,0.8
61,0.735
62,0.75
63,0.77
64,0.765
65,0.785
66,0.82
67,0.835
68,0.77
69,0.82
70,0.765
71,0.785
72,0.76
73,0.82
74,0.77
75,0.845
76,0.805
77,0.805
78,0.8
79,0.795
80,0.815
81,0.775
82,0.725
83,0.825
84,0.77
85,0.765
86,0.805
87,0.81
88,0.835
89,0.81
90,0.775
91,0.795
92,0.79
93,0.755
94,0.71
95,0.795
96,0.795
97,0.795
98,0.775
99,0.805
100,0.755
101,0.775
102,0.76
103,0.715
104,0.745
105,0.83
106,0.79
107,0.8
108,0.8
109,0.765
110,0.8
111,0.79
112,0.735
113,0.84
114,0.755
115,0.795
116,0.765
117,0.835
118,0.77
119,0.78
120,0.81
121,0.815
122,0.805
123,0.75
124,0.825
125,0.82
126,0.785
127,0.84
128,0.775
129,0.785
130,0.725
131,0.8
132,0.795
133,0.79
134,0.81
135,0.795
136,0.81
137,0.79
138,0.82
139,0.775
140,0.765
141,0.79
142,0.795
143,0.785
144,0.775
145,0.74
146,0.8
147,0.82
148,0.77
149,0.75
150,0.79
151,0.82
152,0.85
153,0.865
154,0.835
155,0.775
156,0.83
157,0.775
158,0.825
159,0.87
160,0.87
161,0.875
162,0.855
163,0.92
164,0.88
165,0.84
166,0.86
167,0.88
168,0.87
169,0.89
170,0.885
171,0.915
172,0.85
173,0.92
174,0.875
175,0.885
176,0.935
177,0.905
178,0.915
179,0.92
180,0.895
181,0.915
182,0.88
183,0.91
184,0.92
185,0.915
186,0.915
187,0.915
188,0.93
189,0.94
190,0.87
191,0.89
192,0.905
193,0.925
194,0.92
195,0.91
196,0.9
197,0.935
198,0.88
199,0.885
200,0.91
201,0.925
202,0.91
203,0.875
204,0.875
205,0.905
206,0.92
207,0.92
208,0.87
209,0.895
210,0.86
211,0.875
212,0.935
213,0.875
214,0.87
215,0.915
216,0.9
217,0.93
218,0.915
219,0.905
220,0.875
221,0.91
222,0.91
223,0.845
224,0.895
225,0.905
226,0.875
227,0.89
228,0.88
229,0.885
230,0.89
231,0.93
232,0.92
233,0.895
234,0.93
235,0.895
236,0.92
237,0.93
238,0.915
239,0.915
240,0.925
241,0.905
242,0.925
243,0.925
244,0.94
245,0.905
246,0.905
247,0.89
248,0.915
249,0.925
250,0.895
251,0.905
252,0.885
253,0.92
254,0.88
255,0.875
256,0.875
257,0.91
258,0.92
259,0.905
260,0.885
261,0.9
262,0.855
263,0.92
264,0.91
265,0.935
266,0.9
267,0.92
268,0.88
269,0.9
270,0.95
271,0.9
272,0.92
273,0.925
274,0.91
275,0.91
276,0.92
277,0.935
278,0.925
279,0.905
280,0.925
281,0.905
282,0.92
283,0.885
284,0.88
285,0.91
286,0.935
287,0.89
288,0.91
289,0.875
290,0.92
291,0.875
292,0.885
293,0.915
294,0.915
295,0.94
296,0.925
297,0.905
298,0.895
299,0.93
300,0.9
301,0.885
302,0.91
303,0.91
304,0.895
305,0.955
306,0.9
307,0.88
308,0.895
309,0.895
310,0.885
311,0.9
312,0.91
313,0.93
