chunk,accuracy
0,0.0
1,0.105
2,0.215
3,0.375
4,0.495
5,0.595
6,0.545
7,0.74
8,0.655
9,0.75
10,0.73
11,0.74
12,0.615
13,0.84
14,0.795
15,0.84
16,0.88
17,0.825
18,0.815
19,0.825
20,0.88
21,0.805
22,0.745
23,0.75
24,0.71
25,0.815
26,0.845
27,0.755
28,0.805
29,0.8
30,0.815
31,0.795
32,0.73
33,0.815
34,0.83
35,0.815
36,0.805
37,0.825
38,0.825
39,0.83
40,0.81
41,0.845
42,0.81
43,0.82
44,0.83
45,0.735
46,0.785
47,0.8
48,0.82
49,0.79
50,0.835
51,0.765
52,0.795
53,0.745
54,0.825
55,0.78
56,0.83
57,0.88
58,0.85
59,0.8
60,0.875
61,0.79
62,0.83
63,0.795
64,0.81
65,0.775
66,0.775
67,0.745
68,0.73
69,0.785
70,0.805
71,0.825
72,0.835
73,0.84
74,0.8
75,0.795
76,0.815
77,0.85
78,0.77
79,0.81
80,0.775
81,0.765
82,0.75
83,0.785
84,0.82
85,0.815
86,0.78
87,0.81
88,0.74
89,0.785
90,0.845
91,0.745
92,0.77
93,0.78
94,0.78
95,0.8
96,0.765
97,0.78
98,0.755
99,0.785
100,0.81
101,0.805
102,0.775
103,0.825
104,0.77
105,0.75
106,0.82
107,0.795
108,0.805
109,0.805
110,0.805
111,0.82
112,0.8
113,0.78
114,0.805
115,0.815
116,0.795
117,0.84
118,0.805
119,0.77
120,0.825
121,0.835
122,0.77
123,0.83
124,0.84
125,0.735
126,0.845
127,0.795
128,0.81
129,0.785
130,0.76
131,0.755
132,0.82
133,0.75
134,0.815
135,0.78
136,0.765
137,0.79
138,0.78
139,0.765
140,0.785
141,0.77
142,0.775
143,0.815
144,0.82
145,0.79
146,0.785
147,0.815
148,0.81
149,0.81
150,0.765
151,0.815
152,0.805
153,0.775
154,0.73
155,0.73
156,0.815
157,0.825
158,0.855
159,0.805
160,0.84
161,0.87
162,0.87
163,0.84
164,0.895
165,0.94
166,0.875
167,0.89
168,0.9
169,0.855
170,0.895
171,0.88
172,0.83
173,0.925
174,0.935
175,0.91
176,0.86
177,0.92
178,0.91
179,0.93
180,0.935
181,0.915
182,0.905
183,0.875
184,0.895
185,0.92
186,0.915
187,0.93
188,0.915
189,0.89
190,0.905
191,0.935
192,0.89
193,0.895
194,0.915
195,0.895
196,0.9
197,0.885
198,0.92
199,0.89
200,0.895
201,0.9
202,0.875
203,0.95
204,0.925
205,0.92
206,0.93
207,0.935
208,0.93
209,0.92
210,0.925
211,0.93
212,0.92
213,0.905
214,0.915
215,0.945
216,0.905
217,0.92
218,0.895
219,0.92
220,0.93
221,0.91
222,0.9
223,0.87
224,0.93
225,0.93
226,0.865
227,0.885
228,0.92
229,0.895
230,0.9
231,0.915
232,0.895
233,0.915
234,0.9
235,0.92
236,0.885
237,0.935
238,0.895
239,0.875
240,0.905
241,0.915
242,0.93
243,0.93
244,0.895
245,0.94
246,0.88
247,0.915
248,0.905
249,0.9
250,0.93
251,0.945
252,0.9
253,0.915
254,0.9
255,0.925
256,0.915
257,0.925
258,0.915
259,0.92
260,0.865
261,0.925
262,0.91
263,0.88
264,0.875
265,0.875
266,0.915
267,0.91
268,0.88
269,0.905
270,0.86
271,0.89
272,0.905
273,0.915
274,0.91
275,0.91
276,0.915
277,0.91
278,0.915
279,0.905
280,0.925
281,0.925
282,0.93
283,0.925
284,0.88
285,0.88
286,0.915
287,0.885
288,0.915
289,0.945
290,0.905
291,0.9
292,0.865
293,0.91
294,0.915
295,0.905
296,0.935
297,0.905
298,0.895
299,0.9
300,0.925
301,0.935
302,0.885
303,0.885
304,0.915
305,0.915
306,0.87
307,0.915
308,0.935
309,0.87
310,0.905
311,0.935
312,0.91
313,0.905
