chunk,accuracy
0,0.0
1,0.17
2,0.4
3,0.445
4,0.71
5,0.585
6,0.815
7,0.715
8,0.815
9,0.895
10,0.805
11,0.93
12,0.89
13,0.825
14,0.9
15,0.93
16,0.94
17,0.925
18,0.79
19,0.835
20,0.895
21,0.95
22,0.925
23,0.815
24,0.79
25,0.88
26,0.915
27,0.95
28,0.92
29,0.895
30,0.705
31,0.92
32,0.93
33,0.91
34,0.965
35,0.935
36,0.555
37,0.925
38,0.935
39,0.945
40,0.98
41,0.975
42,0.945
43,0.645
44,0.94
45,0.89
46,0.945
47,0.95
48,0.83
49,0.87
50,0.94
51,0.93
52,0.935
53,0.92
54,0.935
55,0.745
56,0.945
57,0.965
58,0.96
59,0.51
60,0.975
61,0.95
62,0.965
63,0.95
64,0.945
65,0.83
66,0.965
67,0.94
68,0.935
69,0.935
70,0.76
71,0.96
72,0.94
73,0.72
74,0.94
75,0.975
76,0.98
77,0.955
78,0.925
79,0.94
80,0.97
81,0.955
82,0.915
83,0.81
84,0.945
85,0.95
86,0.945
87,0.95
88,0.96
89,0.935
90,0.975
91,0.95
92,0.9
93,0.96
94,0.97
95,0.94
96,0.86
97,0.94
98,0.84
99,0.96
100,0.96
101,0.96
102,0.94
103,0.68
104,0.96
105,0.95
106,0.95
107,0.945
108,0.78
109,0.88
110,0.92
111,0.96
112,0.94
113,0.95
114,0.93
115,0.975
116,0.955
117,0.98
118,0.98
119,0.935
120,0.965
121,0.915
122,0.85
123,0.89
124,0.985
125,0.945
126,0.975
127,0.955
128,0.96
129,0.91
130,0.925
131,0.91
132,0.9
133,0.945
134,0.965
135,0.955
136,0.675
137,0.915
138,0.94
139,0.935
140,0.97
141,0.925
142,0.945
143,0.935
144,0.95
145,0.955
146,0.955
147,0.99
148,0.965
149,0.97
150,0.96
151,0.97
152,0.97
153,0.96
154,0.705
155,0.665
156,0.905
157,0.945
158,0.88
159,0.93
160,0.87
161,0.92
162,0.965
163,0.705
164,0.835
165,0.885
166,0.895
167,0.815
168,0.925
169,0.9
170,0.875
171,0.925
172,0.71
173,0.945
174,0.865
175,0.87
176,0.865
177,0.93
178,0.945
179,0.955
180,0.89
181,0.975
182,0.855
183,0.9
184,0.855
185,0.935
186,0.95
187,0.85
188,0.935
189,0.86
190,0.895
191,0.935
192,0.945
193,0.93
194,0.9
195,0.91
196,0.915
197,0.92
198,0.915
199,0.82
200,0.95
201,0.935
202,0.945
203,0.925
204,0.915
205,0.465
206,0.915
207,0.93
208,0.96
209,0.9
210,0.93
211,0.945
212,0.955
213,0.825
214,0.915
215,0.935
216,0.955
217,0.95
218,0.875
219,0.945
220,0.85
221,0.95
222,0.885
223,0.77
224,0.945
225,0.905
226,0.94
227,0.9
228,0.95
229,0.945
230,0.915
231,0.735
232,0.95
233,0.945
234,0.925
235,0.94
236,0.845
237,0.955
238,0.935
239,0.755
240,0.88
241,0.82
242,0.955
243,0.945
244,0.97
245,0.965
246,0.87
247,0.96
248,0.97
249,0.95
250,0.93
251,0.965
252,0.965
253,0.945
254,0.94
255,0.965
256,0.96
257,0.93
258,0.965
259,0.97
260,0.925
261,0.92
262,0.965
263,0.93
264,0.88
265,0.945
266,0.96
267,0.94
268,0.9
269,0.97
270,0.92
271,0.915
272,0.885
273,0.93
274,0.86
275,0.965
276,0.925
277,0.905
278,0.94
279,0.965
280,0.915
281,0.975
282,0.84
283,0.915
284,0.965
285,0.905
286,0.885
287,0.97
288,0.94
289,0.935
290,0.965
291,0.945
292,0.9
293,0.93
294,0.94
295,0.955
296,0.955
297,0.945
298,0.825
299,0.675
300,0.965
301,0.98
302,0.905
303,0.94
304,0.95
305,0.935
306,0.95
307,0.935
308,0.795
309,0.955
310,0.92
311,0.87
312,0.925
313,0.94
