chunk,accuracy
0,0.0
1,0.06
2,0.285
3,0.27
4,0.435
5,0.505
6,0.47
7,0.715
8,0.725
9,0.87
10,0.765
11,0.815
12,0.615
13,0.78
14,0.855
15,0.875
16,0.84
17,0.87
18,0.785
19,0.89
20,0.845
21,0.885
22,0.78
23,0.785
24,0.905
25,0.925
26,0.93
27,0.92
28,0.915
29,0.895
30,0.92
31,0.865
32,0.73
33,0.59
34,0.91
35,0.85
36,0.795
37,0.9
38,0.92
39,0.87
40,0.905
41,0.895
42,0.94
43,0.855
44,0.82
45,0.865
46,0.73
47,0.925
48,0.88
49,0.89
50,0.94
51,0.9
52,0.845
53,0.8
54,0.95
55,0.89
56,0.5
57,0.885
58,0.675
59,0.75
60,0.94
61,0.875
62,0.87
63,0.89
64,0.9
65,0.775
66,0.92
67,0.755
68,0.905
69,0.92
70,0.77
71,0.92
72,0.895
73,0.93
74,0.935
75,0.935
76,0.91
77,0.925
78,0.925
79,0.875
80,0.94
81,0.885
82,0.795
83,0.855
84,0.91
85,0.875
86,0.83
87,0.87
88,0.85
89,0.86
90,0.84
91,0.95
92,0.91
93,0.755
94,0.925
95,0.92
96,0.92
97,0.705
98,0.92
99,0.94
100,0.915
101,0.935
102,0.92
103,0.895
104,0.81
105,0.85
106,0.795
107,0.89
108,0.95
109,0.89
110,0.92
111,0.895
112,0.775
113,0.91
114,0.95
115,0.965
116,0.955
117,0.965
118,0.915
119,0.805
120,0.94
121,0.92
122,0.915
123,0.905
124,0.92
125,0.75
126,0.915
127,0.945
128,0.88
129,0.935
130,0.825
131,0.86
132,0.93
133,0.885
134,0.85
135,0.93
136,0.945
137,0.795
138,0.935
139,0.935
140,0.91
141,0.94
142,0.955
143,0.9
144,0.925
145,0.94
146,0.87
147,0.965
148,0.96
149,0.905
150,0.87
151,0.925
152,0.965
153,0.955
154,0.92
155,0.92
156,0.93
157,0.77
158,0.92
159,0.94
160,0.955
161,0.96
162,0.955
163,0.955
164,0.955
165,0.96
166,0.965
167,0.965
168,0.95
169,0.98
170,0.955
171,0.98
172,0.955
173,0.975
174,0.945
175,0.95
176,0.95
177,0.985
178,0.97
179,0.96
180,0.97
181,0.95
182,0.955
183,0.945
184,0.965
185,0.97
186,0.915
187,0.965
188,0.9
189,0.945
190,0.925
191,0.96
192,0.975
193,0.98
194,0.98
195,0.97
196,0.965
197,0.985
198,0.97
199,0.95
200,0.98
201,0.965
202,0.995
203,0.95
204,0.985
205,0.975
206,0.975
207,0.965
208,0.96
209,0.93
210,0.96
211,0.975
212,0.885
213,0.955
214,0.965
215,0.98
216,0.98
217,0.905
218,0.975
219,0.985
220,0.96
221,0.985
222,0.96
223,0.965
224,0.955
225,0.98
226,0.98
227,0.985
228,0.975
229,0.975
230,0.985
231,0.905
232,0.89
233,0.955
234,0.955
235,0.95
236,0.945
237,0.97
238,0.985
239,0.97
240,0.975
241,0.975
242,0.965
243,0.975
244,0.975
245,0.975
246,0.97
247,0.96
248,0.96
249,0.965
250,0.97
251,0.965
252,0.96
253,0.975
254,0.965
255,0.98
256,0.97
257,0.97
258,0.98
259,0.98
260,0.895
261,0.965
262,0.955
263,0.98
264,0.97
265,0.955
266,0.96
267,0.99
268,0.985
269,0.965
270,0.99
271,0.985
272,0.98
273,0.915
274,0.965
275,0.965
276,0.975
277,0.965
278,0.945
279,0.96
280,0.78
281,0.94
282,0.975
283,0.98
284,0.965
285,0.865
286,0.865
287,0.96
288,0.935
289,0.94
290,0.965
291,0.945
292,0.95
293,0.96
294,0.965
295,0.97
296,0.97
297,0.975
298,0.97
299,0.96
300,0.96
301,0.965
302,0.955
303,0.98
304,0.975
305,0.97
306,0.985
307,0.98
308,0.99
309,0.96
310,0.97
311,1.0
312,0.97
313,0.97
