chunk,accuracy
0,0.0
1,0.09
2,0.29
3,0.61
4,0.665
5,0.74
6,0.735
7,0.855
8,0.875
9,0.9
10,0.89
11,0.87
12,0.795
13,0.85
14,0.91
15,0.9
16,0.9
17,0.92
18,0.93
19,0.89
20,0.905
21,0.9
22,0.91
23,0.9
24,0.92
25,0.94
26,0.91
27,0.91
28,0.9
29,0.91
30,0.93
31,0.915
32,0.915
33,0.93
34,0.935
35,0.875
36,0.905
37,0.94
38,0.9
39,0.915
40,0.9
41,0.87
42,0.895
43,0.905
44,0.905
45,0.925
46,0.93
47,0.895
48,0.89
49,0.885
50,0.955
51,0.91
52,0.885
53,0.9
54,0.935
55,0.87
56,0.905
57,0.905
58,0.905
59,0.89
60,0.93
61,0.9
62,0.875
63,0.925
64,0.91
65,0.88
66,0.935
67,0.915
68,0.875
69,0.88
70,0.905
71,0.895
72,0.915
73,0.91
74,0.905
75,0.89
76,0.91
77,0.9
78,0.91
79,0.93
80,0.92
81,0.875
82,0.88
83,0.92
84,0.9
85,0.865
86,0.9
87,0.92
88,0.96
89,0.91
90,0.92
91,0.92
92,0.9
93,0.87
94,0.86
95,0.895
96,0.835
97,0.885
98,0.915
99,0.92
100,0.895
101,0.85
102,0.89
103,0.88
104,0.895
105,0.925
106,0.915
107,0.9
108,0.9
109,0.915
110,0.925
111,0.93
112,0.91
113,0.92
114,0.93
115,0.92
116,0.915
117,0.945
118,0.905
119,0.88
120,0.905
121,0.915
122,0.92
123,0.915
124,0.91
125,0.925
126,0.905
127,0.895
128,0.895
129,0.89
130,0.87
131,0.93
132,0.88
133,0.89
134,0.93
135,0.915
136,0.915
137,0.925
138,0.91
139,0.905
140,0.875
141,0.9
142,0.93
143,0.9
144,0.94
145,0.935
146,0.935
147,0.91
148,0.91
149,0.88
150,0.905
151,0.925
152,0.935
153,0.945
154,0.93
155,0.875
156,0.88
157,0.765
158,0.75
159,0.705
160,0.75
161,0.81
162,0.725
163,0.78
164,0.8
165,0.81
166,0.79
167,0.82
168,0.76
169,0.745
170,0.795
171,0.76
172,0.78
173,0.795
174,0.805
175,0.75
176,0.83
177,0.805
178,0.845
179,0.815
180,0.79
181,0.755
182,0.81
183,0.785
184,0.79
185,0.79
186,0.805
187,0.775
188,0.82
189,0.82
190,0.795
191,0.83
192,0.77
193,0.805
194,0.82
195,0.8
196,0.805
197,0.81
198,0.83
199,0.775
200,0.785
201,0.81
202,0.86
203,0.77
204,0.78
205,0.8
206,0.795
207,0.785
208,0.795
209,0.775
210,0.745
211,0.82
212,0.845
213,0.85
214,0.795
215,0.825
216,0.81
217,0.765
218,0.815
219,0.8
220,0.785
221,0.785
222,0.79
223,0.77
224,0.815
225,0.77
226,0.8
227,0.735
228,0.795
229,0.825
230,0.825
231,0.795
232,0.75
233,0.745
234,0.82
235,0.78
236,0.73
237,0.795
238,0.81
239,0.775
240,0.825
241,0.76
242,0.785
243,0.785
244,0.805
245,0.78
246,0.755
247,0.825
248,0.805
249,0.815
250,0.795
251,0.78
252,0.82
253,0.825
254,0.825
255,0.72
256,0.82
257,0.75
258,0.77
259,0.79
260,0.82
261,0.805
262,0.78
263,0.83
264,0.77
265,0.785
266,0.755
267,0.795
268,0.825
269,0.79
270,0.825
271,0.79
272,0.77
273,0.815
274,0.8
275,0.79
276,0.815
277,0.81
278,0.815
279,0.79
280,0.755
281,0.85
282,0.78
283,0.76
284,0.755
285,0.85
286,0.82
287,0.73
288,0.765
289,0.775
290,0.785
291,0.79
292,0.77
293,0.76
294,0.78
295,0.795
296,0.79
297,0.775
298,0.755
299,0.82
300,0.81
301,0.78
302,0.825
303,0.77
304,0.815
305,0.835
306,0.815
307,0.855
308,0.765
309,0.76
310,0.81
311,0.775
312,0.795
313,0.815
