chunk,accuracy
0,0.0
1,0.11
2,0.335
3,0.365
4,0.48
5,0.6
6,0.72
7,0.765
8,0.81
9,0.595
10,0.8
11,0.765
12,0.805
13,0.72
14,0.835
15,0.845
16,0.895
17,0.865
18,0.835
19,0.87
20,0.93
21,0.9
22,0.87
23,0.485
24,0.915
25,0.685
26,0.765
27,0.865
28,0.885
29,0.88
30,0.9
31,0.785
32,0.795
33,0.9
34,0.905
35,0.915
36,0.805
37,0.91
38,0.72
39,0.795
40,0.87
41,0.925
42,0.68
43,0.845
44,0.95
45,0.915
46,0.89
47,0.835
48,0.95
49,0.935
50,0.91
51,0.9
52,0.905
53,0.895
54,0.85
55,0.875
56,0.925
57,0.955
58,0.815
59,0.935
60,0.935
61,0.935
62,0.91
63,0.81
64,0.84
65,0.845
66,0.905
67,0.8
68,0.895
69,0.84
70,0.865
71,0.93
72,0.83
73,0.905
74,0.785
75,0.925
76,0.945
77,0.955
78,0.865
79,0.9
80,0.89
81,0.855
82,0.915
83,0.935
84,0.915
85,0.905
86,0.935
87,0.905
88,0.805
89,0.89
90,0.92
91,0.835
92,0.865
93,0.905
94,0.795
95,0.795
96,0.895
97,0.89
98,0.885
99,0.86
100,0.93
101,0.925
102,0.765
103,0.865
104,0.905
105,0.91
106,0.925
107,0.88
108,0.87
109,0.91
110,0.915
111,0.92
112,0.935
113,0.905
114,0.82
115,0.855
116,0.88
117,0.885
118,0.94
119,0.895
120,0.91
121,0.93
122,0.86
123,0.92
124,0.88
125,0.89
126,0.94
127,0.895
128,0.885
129,0.945
130,0.925
131,0.905
132,0.94
133,0.93
134,0.955
135,0.95
136,0.915
137,0.895
138,0.79
139,0.935
140,0.935
141,0.915
142,0.9
143,0.92
144,0.96
145,0.94
146,0.91
147,0.99
148,0.93
149,0.945
150,0.935
151,0.895
152,0.92
153,0.905
154,0.92
155,0.79
156,0.91
157,0.94
158,0.93
159,0.96
160,0.965
161,0.95
162,0.96
163,0.945
164,0.94
165,0.985
166,0.945
167,0.955
168,0.99
169,0.955
170,0.98
171,0.935
172,0.95
173,0.95
174,0.98
175,0.96
176,0.93
177,0.955
178,0.955
179,0.825
180,0.98
181,0.975
182,0.955
183,0.96
184,0.98
185,0.97
186,0.945
187,0.965
188,0.955
189,0.94
190,0.97
191,0.97
192,0.975
193,0.97
194,0.95
195,0.935
196,0.955
197,0.85
198,0.95
199,0.95
200,0.925
201,0.965
202,0.96
203,0.97
204,0.97
205,0.965
206,0.985
207,0.98
208,0.975
209,0.93
210,0.99
211,0.975
212,0.995
213,0.965
214,0.945
215,0.875
216,0.94
217,0.925
218,0.985
219,0.97
220,0.95
221,0.98
222,0.97
223,0.94
224,0.865
225,0.965
226,0.95
227,0.955
228,0.96
229,0.98
230,0.925
231,0.98
232,0.875
233,0.97
234,0.985
235,0.905
236,0.955
237,0.87
238,0.97
239,0.88
240,0.91
241,0.975
242,0.945
243,0.98
244,0.965
245,0.935
246,0.945
247,0.885
248,0.985
249,0.92
250,0.955
251,0.99
252,0.975
253,0.97
254,0.95
255,0.965
256,0.965
257,0.96
258,0.98
259,0.985
260,0.945
261,0.86
262,0.97
263,0.96
264,0.95
265,0.955
266,0.97
267,0.975
268,0.95
269,0.895
270,0.94
271,0.955
272,0.93
273,0.95
274,0.985
275,0.96
276,0.985
277,0.96
278,0.945
279,0.95
280,0.935
281,0.965
282,0.935
283,0.97
284,0.975
285,0.955
286,0.91
287,0.955
288,0.965
289,0.975
290,0.905
291,0.975
292,0.915
293,0.95
294,0.96
295,0.98
296,0.97
297,0.98
298,0.965
299,0.86
300,0.965
301,0.89
302,0.97
303,0.97
304,0.97
305,0.97
306,0.97
307,0.965
308,0.965
309,0.97
310,0.955
311,0.97
312,0.985
313,0.975
