chunk,accuracy
0,0.0
1,0.115
2,0.175
3,0.125
4,0.235
5,0.24
6,0.26
7,0.235
8,0.25
9,0.24
10,0.265
11,0.275
12,0.28
13,0.31
14,0.3
15,0.245
16,0.24
17,0.3
18,0.3
19,0.25
20,0.265
21,0.31
22,0.32
23,0.295
24,0.265
25,0.31
26,0.325
27,0.25
28,0.295
29,0.305
30,0.25
31,0.31
32,0.285
33,0.305
34,0.31
35,0.305
36,0.345
37,0.315
38,0.365
39,0.35
40,0.36
41,0.345
42,0.275
43,0.325
44,0.27
45,0.31
46,0.32
47,0.32
48,0.345
49,0.305
50,0.34
51,0.295
52,0.26
53,0.275
54,0.35
55,0.275
56,0.325
57,0.36
58,0.35
59,0.365
60,0.285
61,0.325
62,0.38
63,0.315
64,0.33
65,0.35
66,0.3
67,0.365
68,0.305
69,0.315
70,0.315
71,0.33
72,0.335
73,0.3
74,0.295
75,0.27
76,0.42
77,0.31
78,0.35
79,0.265
80,0.28
81,0.215
82,0.315
83,0.3
84,0.32
85,0.33
86,0.285
87,0.32
88,0.285
89,0.345
90,0.31
91,0.3
92,0.31
93,0.34
94,0.295
95,0.34
96,0.295
97,0.275
98,0.35
99,0.28
100,0.27
101,0.4
102,0.34
103,0.3
104,0.28
105,0.305
106,0.33
107,0.275
108,0.315
109,0.365
110,0.355
111,0.315
112,0.22
113,0.295
114,0.345
115,0.33
116,0.285
117,0.33
118,0.29
119,0.32
120,0.27
121,0.35
122,0.325
123,0.25
124,0.27
125,0.34
126,0.33
127,0.29
128,0.315
129,0.32
130,0.32
131,0.315
132,0.35
133,0.265
134,0.27
135,0.27
136,0.37
137,0.315
138,0.315
139,0.325
140,0.31
141,0.285
142,0.295
143,0.32
144,0.315
145,0.325
146,0.305
147,0.33
148,0.305
149,0.335
150,0.29
151,0.315
152,0.34
153,0.26
154,0.245
155,0.365
156,0.375
157,0.32
158,0.355
159,0.29
160,0.29
161,0.33
162,0.295
163,0.26
164,0.295
165,0.305
166,0.265
167,0.32
168,0.315
169,0.365
170,0.35
171,0.355
172,0.33
173,0.335
174,0.285
175,0.285
176,0.29
177,0.3
178,0.325
179,0.285
180,0.28
181,0.3
182,0.295
183,0.29
184,0.285
185,0.3
186,0.32
187,0.335
188,0.31
189,0.285
190,0.335
191,0.27
192,0.28
193,0.295
194,0.3
195,0.26
196,0.29
197,0.295
198,0.285
199,0.34
200,0.255
201,0.33
202,0.345
203,0.32
204,0.285
205,0.285
206,0.38
207,0.275
208,0.315
209,0.28
210,0.32
211,0.285
212,0.305
213,0.3
214,0.345
215,0.32
216,0.295
217,0.265
218,0.245
219,0.305
220,0.29
221,0.3
222,0.3
223,0.37
224,0.315
225,0.325
226,0.305
227,0.275
228,0.325
229,0.31
230,0.325
231,0.305
232,0.34
233,0.37
234,0.32
235,0.345
236,0.255
237,0.345
238,0.32
239,0.345
240,0.315
241,0.335
242,0.325
243,0.325
244,0.335
245,0.3
246,0.295
247,0.29
248,0.345
249,0.27
250,0.38
251,0.295
252,0.26
253,0.325
254,0.255
255,0.325
256,0.32
257,0.32
258,0.35
259,0.285
260,0.295
261,0.245
262,0.305
263,0.325
264,0.315
265,0.3
266,0.26
267,0.315
268,0.295
269,0.335
270,0.34
271,0.34
272,0.35
273,0.345
274,0.345
275,0.29
276,0.4
277,0.28
278,0.32
279,0.255
280,0.27
281,0.35
282,0.31
283,0.22
284,0.365
285,0.315
286,0.335
287,0.365
288,0.325
289,0.295
290,0.37
291,0.32
292,0.325
293,0.35
294,0.36
295,0.305
296,0.295
297,0.265
298,0.385
