chunk,accuracy
0,0.0
1,0.105
2,0.305
3,0.48
4,0.33
5,0.51
6,0.705
7,0.615
8,0.675
9,0.685
10,0.835
11,0.82
12,0.795
13,0.86
14,0.855
15,0.845
16,0.885
17,0.88
18,0.855
19,0.83
20,0.845
21,0.805
22,0.845
23,0.805
24,0.845
25,0.82
26,0.94
27,0.87
28,0.835
29,0.87
30,0.905
31,0.85
32,0.865
33,0.94
34,0.93
35,0.92
36,0.885
37,0.9
38,0.885
39,0.93
40,0.885
41,0.95
42,0.875
43,0.545
44,0.865
45,0.88
46,0.735
47,0.835
48,0.85
49,0.92
50,0.925
51,0.82
52,0.875
53,0.78
54,0.61
55,0.815
56,0.9
57,0.825
58,0.92
59,0.915
60,0.935
61,0.895
62,0.725
63,0.885
64,0.875
65,0.91
66,0.905
67,0.91
68,0.85
69,0.835
70,0.895
71,0.865
72,0.815
73,0.89
74,0.835
75,0.895
76,0.89
77,0.94
78,0.93
79,0.91
80,0.935
81,0.82
82,0.86
83,0.735
84,0.88
85,0.92
86,0.86
87,0.93
88,0.91
89,0.955
90,0.92
91,0.83
92,0.9
93,0.725
94,0.89
95,0.89
96,0.93
97,0.835
98,0.91
99,0.91
100,0.91
101,0.855
102,0.925
103,0.865
104,0.95
105,0.885
106,0.855
107,0.86
108,0.615
109,0.92
110,0.9
111,0.915
112,0.94
113,0.925
114,0.86
115,0.945
116,0.92
117,0.935
118,0.85
119,0.9
120,0.885
121,0.92
122,0.91
123,0.97
124,0.935
125,0.91
126,0.785
127,0.89
128,0.885
129,0.885
130,0.885
131,0.925
132,0.94
133,0.925
134,0.925
135,0.93
136,0.85
137,0.89
138,0.935
139,0.94
140,0.895
141,0.93
142,0.94
143,0.91
144,0.905
145,0.95
146,0.82
147,0.85
148,0.91
149,0.88
150,0.945
151,0.88
152,0.92
153,0.905
154,0.92
155,0.895
156,0.95
157,0.93
158,0.845
159,0.91
160,0.97
161,0.95
162,0.965
163,0.91
164,0.925
165,0.97
166,0.9
167,0.925
168,0.99
169,0.945
170,0.965
171,0.925
172,0.945
173,0.955
174,0.955
175,0.955
176,0.95
177,0.96
178,0.945
179,0.985
180,0.985
181,0.99
182,0.95
183,0.84
184,0.98
185,0.985
186,0.98
187,0.935
188,0.96
189,0.96
190,0.97
191,0.975
192,0.97
193,0.84
194,0.965
195,0.945
196,0.955
197,0.95
198,0.94
199,0.915
200,0.94
201,0.965
202,0.95
203,0.965
204,0.985
205,0.975
206,0.99
207,0.985
208,0.97
209,0.96
210,0.965
211,0.985
212,0.97
213,0.945
214,0.965
215,0.975
216,0.945
217,0.965
218,1.0
219,0.96
220,0.975
221,0.995
222,0.955
223,0.91
224,0.98
225,0.925
226,0.875
227,0.97
228,0.965
229,0.965
230,0.985
231,0.97
232,0.96
233,0.97
234,0.955
235,0.975
236,0.945
237,0.965
238,0.97
239,0.955
240,0.93
241,0.93
242,0.945
243,0.975
244,0.98
245,0.98
246,0.955
247,0.995
248,0.99
249,0.965
250,0.98
251,0.95
252,0.96
253,0.96
254,0.97
255,0.97
256,0.945
257,0.935
258,0.905
259,0.97
260,0.935
261,0.895
262,0.975
263,0.97
264,0.93
265,0.98
266,0.99
267,0.97
268,0.925
269,0.975
270,0.975
271,0.955
272,0.95
273,0.965
274,0.985
275,0.985
276,0.97
277,0.945
278,0.965
279,0.975
280,0.98
281,0.99
282,0.965
283,0.975
284,0.98
285,0.965
286,0.975
287,0.96
288,0.97
289,0.965
290,0.955
291,0.985
292,0.95
293,0.96
294,0.945
295,0.97
296,0.985
297,0.975
298,0.965
299,0.815
300,0.95
301,0.985
302,0.955
303,0.97
304,0.975
305,0.955
306,0.935
307,0.94
308,0.98
309,0.955
310,0.915
311,0.96
312,0.975
313,0.965
