chunk,accuracy
0,0.0
1,0.1
2,0.165
3,0.46
4,0.53
5,0.525
6,0.46
7,0.57
8,0.605
9,0.6
10,0.745
11,0.745
12,0.775
13,0.76
14,0.745
15,0.8
16,0.795
17,0.83
18,0.88
19,0.815
20,0.805
21,0.775
22,0.86
23,0.8
24,0.845
25,0.77
26,0.81
27,0.825
28,0.845
29,0.735
30,0.805
31,0.75
32,0.81
33,0.79
34,0.79
35,0.82
36,0.795
37,0.745
38,0.83
39,0.825
40,0.73
41,0.805
42,0.765
43,0.725
44,0.81
45,0.755
46,0.815
47,0.795
48,0.815
49,0.825
50,0.82
51,0.81
52,0.75
53,0.795
54,0.81
55,0.78
56,0.81
57,0.785
58,0.8
59,0.775
60,0.79
61,0.81
62,0.795
63,0.785
64,0.815
65,0.83
66,0.85
67,0.76
68,0.785
69,0.815
70,0.785
71,0.815
72,0.875
73,0.83
74,0.785
75,0.81
76,0.81
77,0.82
78,0.775
79,0.83
80,0.805
81,0.805
82,0.765
83,0.79
84,0.79
85,0.83
86,0.815
87,0.815
88,0.785
89,0.795
90,0.79
91,0.82
92,0.845
93,0.765
94,0.81
95,0.83
96,0.815
97,0.77
98,0.8
99,0.8
100,0.82
101,0.78
102,0.765
103,0.825
104,0.76
105,0.805
106,0.76
107,0.775
108,0.77
109,0.74
110,0.785
111,0.82
112,0.755
113,0.85
114,0.765
115,0.81
116,0.85
117,0.825
118,0.775
119,0.775
120,0.745
121,0.81
122,0.815
123,0.82
124,0.705
125,0.765
126,0.775
127,0.82
128,0.77
129,0.73
130,0.795
131,0.795
132,0.765
133,0.78
134,0.805
135,0.835
136,0.83
137,0.775
138,0.76
139,0.81
140,0.73
141,0.79
142,0.8
143,0.795
144,0.79
145,0.76
146,0.735
147,0.875
148,0.825
149,0.775
150,0.815
151,0.79
152,0.795
153,0.825
154,0.825
155,0.79
156,0.795
157,0.765
158,0.635
159,0.845
160,0.84
161,0.885
162,0.85
163,0.87
164,0.865
165,0.865
166,0.885
167,0.85
168,0.87
169,0.89
170,0.9
171,0.89
172,0.855
173,0.89
174,0.92
175,0.89
176,0.895
177,0.89
178,0.925
179,0.93
180,0.95
181,0.915
182,0.885
183,0.915
184,0.875
185,0.915
186,0.915
187,0.9
188,0.88
189,0.88
190,0.875
191,0.895
192,0.91
193,0.85
194,0.9
195,0.885
196,0.87
197,0.92
198,0.88
199,0.91
200,0.905
201,0.915
202,0.89
203,0.94
204,0.9
205,0.91
206,0.895
207,0.94
208,0.915
209,0.895
210,0.94
211,0.905
212,0.865
213,0.89
214,0.9
215,0.87
216,0.93
217,0.935
218,0.91
219,0.96
220,0.93
221,0.91
222,0.925
223,0.925
224,0.925
225,0.89
226,0.92
227,0.895
228,0.91
229,0.935
230,0.91
231,0.925
232,0.87
233,0.925
234,0.9
235,0.87
236,0.915
237,0.915
238,0.935
239,0.91
240,0.925
241,0.91
242,0.895
243,0.91
244,0.9
245,0.925
246,0.935
247,0.905
248,0.9
249,0.925
250,0.935
251,0.88
252,0.885
253,0.92
254,0.9
255,0.935
256,0.925
257,0.885
258,0.93
259,0.925
260,0.895
261,0.89
262,0.965
263,0.905
264,0.93
265,0.91
266,0.915
267,0.925
268,0.95
269,0.93
270,0.895
271,0.935
272,0.925
273,0.945
274,0.92
275,0.885
276,0.905
277,0.925
278,0.94
279,0.91
280,0.895
281,0.885
282,0.9
283,0.945
284,0.9
285,0.9
286,0.935
287,0.89
288,0.91
289,0.945
290,0.87
291,0.92
292,0.94
293,0.93
294,0.915
295,0.87
296,0.905
297,0.91
298,0.93
299,0.91
300,0.91
301,0.93
302,0.91
303,0.935
304,0.92
305,0.89
306,0.89
307,0.905
308,0.895
309,0.905
310,0.905
311,0.905
312,0.89
313,0.905
