chunk,accuracy
0,0.0
1,0.08
2,0.455
3,0.665
4,0.68
5,0.82
6,0.795
7,0.82
8,0.85
9,0.9
10,0.92
11,0.885
12,0.885
13,0.925
14,0.91
15,0.93
16,0.93
17,0.925
18,0.935
19,0.925
20,0.905
21,0.905
22,0.94
23,0.92
24,0.895
25,0.905
26,0.91
27,0.92
28,0.935
29,0.89
30,0.91
31,0.935
32,0.9
33,0.915
34,0.9
35,0.85
36,0.9
37,0.935
38,0.905
39,0.905
40,0.89
41,0.91
42,0.94
43,0.93
44,0.92
45,0.895
46,0.915
47,0.88
48,0.92
49,0.865
50,0.92
51,0.885
52,0.88
53,0.88
54,0.925
55,0.845
56,0.885
57,0.92
58,0.9
59,0.905
60,0.935
61,0.895
62,0.895
63,0.905
64,0.875
65,0.915
66,0.86
67,0.89
68,0.88
69,0.91
70,0.93
71,0.875
72,0.93
73,0.91
74,0.915
75,0.915
76,0.935
77,0.91
78,0.91
79,0.91
80,0.905
81,0.895
82,0.885
83,0.91
84,0.91
85,0.855
86,0.92
87,0.89
88,0.93
89,0.9
90,0.91
91,0.92
92,0.9
93,0.88
94,0.915
95,0.925
96,0.89
97,0.895
98,0.885
99,0.875
100,0.885
101,0.93
102,0.89
103,0.88
104,0.91
105,0.92
106,0.93
107,0.925
108,0.915
109,0.915
110,0.92
111,0.905
112,0.92
113,0.91
114,0.915
115,0.9
116,0.935
117,0.945
118,0.905
119,0.865
120,0.915
121,0.935
122,0.91
123,0.91
124,0.895
125,0.925
126,0.88
127,0.905
128,0.89
129,0.885
130,0.86
131,0.94
132,0.885
133,0.9
134,0.935
135,0.905
136,0.925
137,0.905
138,0.91
139,0.925
140,0.925
141,0.91
142,0.9
143,0.91
144,0.915
145,0.915
146,0.905
147,0.93
148,0.89
149,0.91
150,0.895
151,0.92
152,0.935
153,0.91
154,0.925
155,0.935
156,0.88
157,0.875
158,0.625
159,0.66
160,0.75
161,0.775
162,0.765
163,0.765
164,0.78
165,0.755
166,0.77
167,0.79
168,0.77
169,0.79
170,0.84
171,0.805
172,0.795
173,0.805
174,0.78
175,0.795
176,0.86
177,0.75
178,0.8
179,0.82
180,0.775
181,0.77
182,0.795
183,0.8
184,0.865
185,0.77
186,0.825
187,0.765
188,0.78
189,0.78
190,0.82
191,0.76
192,0.805
193,0.805
194,0.82
195,0.78
196,0.825
197,0.86
198,0.78
199,0.82
200,0.785
201,0.785
202,0.81
203,0.785
204,0.78
205,0.8
206,0.795
207,0.795
208,0.72
209,0.76
210,0.795
211,0.805
212,0.83
213,0.79
214,0.795
215,0.81
216,0.805
217,0.82
218,0.785
219,0.765
220,0.765
221,0.805
222,0.79
223,0.725
224,0.85
225,0.8
226,0.805
227,0.76
228,0.8
229,0.755
230,0.775
231,0.785
232,0.78
233,0.795
234,0.79
235,0.78
236,0.8
237,0.83
238,0.785
239,0.78
240,0.835
241,0.785
242,0.795
243,0.805
244,0.815
245,0.785
246,0.765
247,0.79
248,0.77
249,0.8
250,0.775
251,0.795
252,0.805
253,0.82
254,0.8
255,0.79
256,0.8
257,0.76
258,0.835
259,0.82
260,0.775
261,0.815
262,0.745
263,0.83
264,0.745
265,0.81
266,0.77
267,0.825
268,0.81
269,0.795
270,0.84
271,0.765
272,0.785
273,0.775
274,0.79
275,0.845
276,0.815
277,0.82
278,0.85
279,0.83
280,0.805
281,0.815
282,0.82
283,0.745
284,0.745
285,0.76
286,0.84
287,0.785
288,0.815
289,0.76
290,0.795
291,0.765
292,0.77
293,0.85
294,0.77
295,0.8
296,0.835
297,0.795
298,0.775
299,0.815
300,0.795
301,0.78
302,0.865
303,0.8
304,0.83
305,0.87
306,0.78
307,0.805
308,0.81
309,0.77
310,0.785
311,0.81
312,0.84
313,0.795
