chunk,accuracy
0,0.0
1,0.135
2,0.46
3,0.7
4,0.745
5,0.805
6,0.795
7,0.795
8,0.865
9,0.87
10,0.87
11,0.875
12,0.935
13,0.925
14,0.91
15,0.935
16,0.935
17,0.91
18,0.89
19,0.925
20,0.945
21,0.945
22,0.88
23,0.92
24,0.86
25,0.89
26,0.955
27,0.9
28,0.895
29,0.915
30,0.925
31,0.885
32,0.91
33,0.955
34,0.915
35,0.91
36,0.925
37,0.9
38,0.915
39,0.895
40,0.915
41,0.91
42,0.88
43,0.92
44,0.925
45,0.87
46,0.885
47,0.905
48,0.89
49,0.93
50,0.895
51,0.905
52,0.905
53,0.88
54,0.9
55,0.93
56,0.915
57,0.925
58,0.915
59,0.895
60,0.91
61,0.905
62,0.905
63,0.895
64,0.86
65,0.895
66,0.89
67,0.88
68,0.87
69,0.935
70,0.895
71,0.93
72,0.915
73,0.895
74,0.88
75,0.93
76,0.935
77,0.91
78,0.89
79,0.895
80,0.915
81,0.885
82,0.875
83,0.92
84,0.92
85,0.935
86,0.895
87,0.88
88,0.885
89,0.885
90,0.915
91,0.905
92,0.9
93,0.87
94,0.885
95,0.865
96,0.88
97,0.915
98,0.89
99,0.9
100,0.9
101,0.915
102,0.92
103,0.94
104,0.88
105,0.91
106,0.925
107,0.885
108,0.925
109,0.915
110,0.9
111,0.865
112,0.935
113,0.885
114,0.905
115,0.925
116,0.89
117,0.92
118,0.915
119,0.87
120,0.91
121,0.95
122,0.9
123,0.935
124,0.93
125,0.89
126,0.895
127,0.88
128,0.9
129,0.92
130,0.92
131,0.9
132,0.915
133,0.885
134,0.915
135,0.9
136,0.885
137,0.94
138,0.91
139,0.85
140,0.945
141,0.94
142,0.905
143,0.9
144,0.93
145,0.91
146,0.905
147,0.93
148,0.88
149,0.91
150,0.91
151,0.93
152,0.94
153,0.89
154,0.875
155,0.915
156,0.93
157,0.91
158,0.665
159,0.725
160,0.735
161,0.745
162,0.855
163,0.77
164,0.81
165,0.81
166,0.8
167,0.8
168,0.83
169,0.795
170,0.85
171,0.78
172,0.77
173,0.755
174,0.81
175,0.8
176,0.745
177,0.855
178,0.76
179,0.83
180,0.8
181,0.785
182,0.785
183,0.74
184,0.79
185,0.84
186,0.82
187,0.79
188,0.8
189,0.735
190,0.775
191,0.8
192,0.815
193,0.785
194,0.815
195,0.8
196,0.79
197,0.73
198,0.805
199,0.74
200,0.765
201,0.785
202,0.81
203,0.765
204,0.765
205,0.765
206,0.825
207,0.835
208,0.8
209,0.815
210,0.825
211,0.81
212,0.79
213,0.79
214,0.795
215,0.765
216,0.82
217,0.83
218,0.795
219,0.795
220,0.795
221,0.795
222,0.765
223,0.82
224,0.82
225,0.755
226,0.785
227,0.805
228,0.77
229,0.77
230,0.84
231,0.8
232,0.775
233,0.83
234,0.765
235,0.855
236,0.735
237,0.81
238,0.745
239,0.76
240,0.81
241,0.8
242,0.8
243,0.77
244,0.78
245,0.78
246,0.76
247,0.805
248,0.76
249,0.795
250,0.79
251,0.81
252,0.75
253,0.755
254,0.765
255,0.845
256,0.785
257,0.79
258,0.795
259,0.845
260,0.765
261,0.795
262,0.785
263,0.815
264,0.765
265,0.785
266,0.805
267,0.785
268,0.81
269,0.77
270,0.775
271,0.745
272,0.79
273,0.8
274,0.815
275,0.825
276,0.8
277,0.765
278,0.785
279,0.82
280,0.8
281,0.76
282,0.82
283,0.765
284,0.795
285,0.705
286,0.805
287,0.81
288,0.795
289,0.775
290,0.815
291,0.795
292,0.755
293,0.76
294,0.73
295,0.77
296,0.81
297,0.78
298,0.78
299,0.755
300,0.815
301,0.805
302,0.8
303,0.775
304,0.79
305,0.835
306,0.79
307,0.775
308,0.745
309,0.8
310,0.8
311,0.795
312,0.8
313,0.81
