chunk,accuracy
0,0.0
1,0.12
2,0.155
3,0.26
4,0.17
5,0.245
6,0.135
7,0.15
8,0.23
9,0.21
10,0.295
11,0.27
12,0.24
13,0.185
14,0.305
15,0.24
16,0.26
17,0.27
18,0.19
19,0.295
20,0.295
21,0.345
22,0.255
23,0.285
24,0.27
25,0.25
26,0.29
27,0.355
28,0.315
29,0.345
30,0.34
31,0.365
32,0.285
33,0.3
34,0.29
35,0.195
36,0.285
37,0.315
38,0.295
39,0.325
40,0.275
41,0.245
42,0.31
43,0.385
44,0.335
45,0.305
46,0.285
47,0.34
48,0.285
49,0.26
50,0.325
51,0.295
52,0.28
53,0.3
54,0.33
55,0.31
56,0.32
57,0.28
58,0.305
59,0.285
60,0.3
61,0.285
62,0.335
63,0.22
64,0.265
65,0.345
66,0.335
67,0.25
68,0.325
69,0.33
70,0.305
71,0.325
72,0.35
73,0.29
74,0.35
75,0.37
76,0.305
77,0.29
78,0.315
79,0.365
80,0.34
81,0.31
82,0.32
83,0.3
84,0.295
85,0.31
86,0.33
87,0.305
88,0.31
89,0.255
90,0.3
91,0.34
92,0.325
93,0.31
94,0.335
95,0.295
96,0.32
97,0.295
98,0.29
99,0.335
100,0.35
101,0.3
102,0.345
103,0.26
104,0.26
105,0.325
106,0.315
107,0.325
108,0.35
109,0.265
110,0.285
111,0.315
112,0.315
113,0.26
114,0.305
115,0.345
116,0.27
117,0.285
118,0.3
119,0.345
120,0.325
121,0.305
122,0.36
123,0.3
124,0.34
125,0.325
126,0.275
127,0.315
128,0.305
129,0.275
130,0.335
131,0.27
132,0.305
133,0.315
134,0.295
135,0.315
136,0.37
137,0.245
138,0.365
139,0.27
140,0.365
141,0.29
142,0.32
143,0.3
144,0.32
145,0.31
146,0.235
147,0.385
148,0.315
149,0.345
150,0.315
151,0.305
152,0.295
153,0.33
154,0.26
155,0.325
156,0.285
157,0.365
158,0.3
159,0.27
160,0.28
161,0.38
162,0.25
163,0.325
164,0.32
165,0.325
166,0.355
167,0.36
168,0.305
169,0.36
170,0.275
171,0.28
172,0.37
173,0.33
174,0.285
175,0.35
176,0.345
177,0.275
178,0.315
179,0.365
180,0.285
181,0.32
182,0.275
183,0.265
184,0.275
185,0.325
186,0.32
187,0.315
188,0.32
189,0.315
190,0.32
191,0.34
192,0.32
193,0.3
194,0.265
195,0.295
196,0.26
197,0.3
198,0.355
199,0.31
200,0.31
201,0.26
202,0.335
203,0.34
204,0.355
205,0.335
206,0.325
207,0.32
208,0.37
209,0.315
210,0.305
211,0.265
212,0.345
213,0.35
214,0.34
215,0.295
216,0.325
217,0.315
218,0.3
219,0.305
220,0.31
221,0.36
222,0.4
223,0.3
224,0.34
225,0.255
226,0.3
227,0.295
228,0.23
229,0.335
230,0.31
231,0.27
232,0.295
233,0.335
234,0.325
235,0.355
236,0.325
237,0.315
238,0.335
239,0.32
240,0.345
241,0.33
242,0.33
243,0.285
244,0.31
245,0.315
246,0.355
247,0.3
248,0.29
249,0.35
250,0.325
251,0.315
252,0.35
253,0.35
254,0.39
255,0.29
256,0.345
257,0.32
258,0.26
259,0.275
260,0.29
261,0.27
262,0.325
263,0.325
264,0.32
265,0.22
266,0.355
267,0.295
268,0.285
269,0.275
270,0.345
271,0.315
272,0.29
273,0.34
274,0.3
275,0.3
276,0.23
277,0.365
278,0.34
279,0.285
280,0.315
281,0.325
282,0.325
283,0.245
284,0.33
285,0.255
286,0.33
287,0.31
288,0.29
289,0.3
290,0.275
291,0.345
292,0.28
293,0.365
294,0.27
295,0.31
296,0.34
297,0.32
298,0.33
