chunk,accuracy
0,0.0
1,0.085
2,0.28
3,0.245
4,0.505
5,0.6
6,0.6
7,0.645
8,0.77
9,0.845
10,0.85
11,0.8
12,0.855
13,0.855
14,0.88
15,0.855
16,0.84
17,0.845
18,0.89
19,0.83
20,0.885
21,0.85
22,0.885
23,0.855
24,0.92
25,0.855
26,0.9
27,0.75
28,0.88
29,0.905
30,0.87
31,0.86
32,0.58
33,0.915
34,0.865
35,0.82
36,0.905
37,0.91
38,0.73
39,0.925
40,0.9
41,0.775
42,0.905
43,0.875
44,0.905
45,0.85
46,0.735
47,0.905
48,0.91
49,0.89
50,0.89
51,0.895
52,0.91
53,0.945
54,0.905
55,0.78
56,0.875
57,0.925
58,0.87
59,0.96
60,0.95
61,0.935
62,0.89
63,0.86
64,0.735
65,0.92
66,0.93
67,0.89
68,0.885
69,0.765
70,0.9
71,0.905
72,0.935
73,0.895
74,0.91
75,0.92
76,0.85
77,0.89
78,0.91
79,0.95
80,0.89
81,0.85
82,0.82
83,0.91
84,0.85
85,0.865
86,0.775
87,0.935
88,0.93
89,0.92
90,0.815
91,0.92
92,0.835
93,0.915
94,0.88
95,0.7
96,0.89
97,0.805
98,0.855
99,0.765
100,0.925
101,0.905
102,0.875
103,0.815
104,0.915
105,0.94
106,0.935
107,0.855
108,0.92
109,0.895
110,0.92
111,0.875
112,0.915
113,0.905
114,0.81
115,0.95
116,0.91
117,0.96
118,0.92
119,0.9
120,0.955
121,0.925
122,0.925
123,0.87
124,0.915
125,0.955
126,0.92
127,0.915
128,0.9
129,0.915
130,0.87
131,0.92
132,0.895
133,0.875
134,0.875
135,0.94
136,0.675
137,0.92
138,0.915
139,0.92
140,0.87
141,0.905
142,0.945
143,0.955
144,0.92
145,0.95
146,0.94
147,0.85
148,0.925
149,0.87
150,0.93
151,0.935
152,0.96
153,0.96
154,0.865
155,0.87
156,0.92
157,0.9
158,0.765
159,0.89
160,0.95
161,0.955
162,0.95
163,0.895
164,0.95
165,0.945
166,0.95
167,0.965
168,0.945
169,0.935
170,0.925
171,0.965
172,0.965
173,0.95
174,0.95
175,0.93
176,0.96
177,0.99
178,0.96
179,0.95
180,0.975
181,0.965
182,0.94
183,0.925
184,0.945
185,0.94
186,0.925
187,0.97
188,0.95
189,0.965
190,0.93
191,0.96
192,0.955
193,0.955
194,0.98
195,0.97
196,0.955
197,0.985
198,0.97
199,0.94
200,0.935
201,0.96
202,0.975
203,0.97
204,0.97
205,0.975
206,0.98
207,0.965
208,0.975
209,0.98
210,0.925
211,0.965
212,0.95
213,0.95
214,0.97
215,0.955
216,0.98
217,0.985
218,0.98
219,0.975
220,0.965
221,0.975
222,0.96
223,0.965
224,0.97
225,0.895
226,0.97
227,0.91
228,0.88
229,0.97
230,0.965
231,0.955
232,0.955
233,0.96
234,0.96
235,0.935
236,0.97
237,0.975
238,0.93
239,0.965
240,0.97
241,0.87
242,0.955
243,0.98
244,0.965
245,0.97
246,0.975
247,0.95
248,0.96
249,0.87
250,0.97
251,0.98
252,0.97
253,0.96
254,0.965
255,0.965
256,0.98
257,0.955
258,0.955
259,0.975
260,0.91
261,0.945
262,0.955
263,0.98
264,0.96
265,0.975
266,0.935
267,0.98
268,0.975
269,0.965
270,0.985
271,0.97
272,0.945
273,0.97
274,0.97
275,0.975
276,0.98
277,0.935
278,0.99
279,0.96
280,0.9
281,0.975
282,0.955
283,0.975
284,0.94
285,0.875
286,0.99
287,0.945
288,0.93
289,0.955
290,0.955
291,0.95
292,0.975
293,0.975
294,0.98
295,0.975
296,0.975
297,0.97
298,0.955
299,0.975
300,0.955
301,0.93
302,0.965
303,0.99
304,0.97
305,0.935
306,0.98
307,0.975
308,0.97
309,0.98
310,0.975
311,0.91
312,0.97
313,0.97
