chunk,accuracy
0,0.0
1,0.14
2,0.12
3,0.16
4,0.135
5,0.23
6,0.2
7,0.245
8,0.15
9,0.25
10,0.275
11,0.215
12,0.265
13,0.18
14,0.295
15,0.175
16,0.31
17,0.195
18,0.285
19,0.26
20,0.33
21,0.235
22,0.305
23,0.2
24,0.345
25,0.305
26,0.235
27,0.255
28,0.15
29,0.29
30,0.315
31,0.24
32,0.375
33,0.29
34,0.32
35,0.365
36,0.25
37,0.385
38,0.275
39,0.35
40,0.405
41,0.335
42,0.285
43,0.285
44,0.355
45,0.285
46,0.295
47,0.285
48,0.345
49,0.3
50,0.355
51,0.375
52,0.285
53,0.355
54,0.33
55,0.305
56,0.375
57,0.355
58,0.355
59,0.195
60,0.3
61,0.37
62,0.34
63,0.32
64,0.365
65,0.415
66,0.295
67,0.32
68,0.395
69,0.415
70,0.365
71,0.305
72,0.33
73,0.365
74,0.305
75,0.13
76,0.31
77,0.41
78,0.355
79,0.36
80,0.36
81,0.345
82,0.38
83,0.355
84,0.31
85,0.42
86,0.26
87,0.345
88,0.375
89,0.345
90,0.285
91,0.295
92,0.39
93,0.295
94,0.365
95,0.375
96,0.385
97,0.385
98,0.34
99,0.365
100,0.33
101,0.31
102,0.285
103,0.375
104,0.355
105,0.395
106,0.435
107,0.34
108,0.365
109,0.365
110,0.46
111,0.385
112,0.345
113,0.36
114,0.395
115,0.375
116,0.335
117,0.395
118,0.365
119,0.4
120,0.315
121,0.35
122,0.44
123,0.475
124,0.365
125,0.31
126,0.265
127,0.375
128,0.31
129,0.365
130,0.415
131,0.32
132,0.355
133,0.39
134,0.315
135,0.32
136,0.34
137,0.35
138,0.19
139,0.305
140,0.32
141,0.4
142,0.36
143,0.355
144,0.31
145,0.41
146,0.395
147,0.39
148,0.345
149,0.36
150,0.355
151,0.43
152,0.375
153,0.265
154,0.28
155,0.41
156,0.395
157,0.45
158,0.365
159,0.4
160,0.405
161,0.355
162,0.42
163,0.385
164,0.33
165,0.36
166,0.345
167,0.315
168,0.42
169,0.33
170,0.385
171,0.365
172,0.415
173,0.415
174,0.405
175,0.375
176,0.405
177,0.34
178,0.35
179,0.445
180,0.35
181,0.385
182,0.375
183,0.34
184,0.38
185,0.385
186,0.37
187,0.435
188,0.37
189,0.38
190,0.38
191,0.285
192,0.425
193,0.32
194,0.41
195,0.4
196,0.435
197,0.335
198,0.305
199,0.355
200,0.425
201,0.34
202,0.41
203,0.39
204,0.295
205,0.345
206,0.335
207,0.335
208,0.41
209,0.325
210,0.345
211,0.325
212,0.435
213,0.295
214,0.39
215,0.45
216,0.36
217,0.455
218,0.39
219,0.345
220,0.355
221,0.515
222,0.425
223,0.405
224,0.345
225,0.375
226,0.45
227,0.365
228,0.37
229,0.445
230,0.395
231,0.33
232,0.315
233,0.405
234,0.395
235,0.46
236,0.38
237,0.36
238,0.39
239,0.465
240,0.37
241,0.305
242,0.31
243,0.375
244,0.44
245,0.415
246,0.4
247,0.455
248,0.45
249,0.37
250,0.415
251,0.425
252,0.375
253,0.43
254,0.365
255,0.415
256,0.4
257,0.405
258,0.33
259,0.39
260,0.395
261,0.42
262,0.425
263,0.395
264,0.435
265,0.39
266,0.42
267,0.425
268,0.355
269,0.365
270,0.465
271,0.415
272,0.415
273,0.36
274,0.345
275,0.325
276,0.425
277,0.375
278,0.295
279,0.445
280,0.425
281,0.43
282,0.415
283,0.475
284,0.34
285,0.36
286,0.385
287,0.38
288,0.36
289,0.44
290,0.4
291,0.375
292,0.445
293,0.375
294,0.395
295,0.415
296,0.34
297,0.27
298,0.29
