chunk,accuracy
0,0.0
1,0.11
2,0.305
3,0.395
4,0.56
5,0.65
6,0.675
7,0.715
8,0.78
9,0.84
10,0.82
11,0.805
12,0.825
13,0.87
14,0.88
15,0.845
16,0.87
17,0.9
18,0.885
19,0.725
20,0.875
21,0.78
22,0.825
23,0.805
24,0.83
25,0.84
26,0.785
27,0.825
28,0.76
29,0.75
30,0.785
31,0.83
32,0.78
33,0.795
34,0.82
35,0.78
36,0.78
37,0.835
38,0.785
39,0.805
40,0.82
41,0.755
42,0.835
43,0.81
44,0.76
45,0.785
46,0.8
47,0.79
48,0.795
49,0.76
50,0.805
51,0.79
52,0.78
53,0.81
54,0.785
55,0.73
56,0.79
57,0.755
58,0.78
59,0.83
60,0.775
61,0.74
62,0.79
63,0.8
64,0.775
65,0.765
66,0.79
67,0.785
68,0.795
69,0.76
70,0.775
71,0.795
72,0.82
73,0.865
74,0.78
75,0.76
76,0.815
77,0.78
78,0.825
79,0.845
80,0.785
81,0.81
82,0.78
83,0.82
84,0.8
85,0.735
86,0.79
87,0.795
88,0.785
89,0.78
90,0.785
91,0.82
92,0.805
93,0.785
94,0.78
95,0.78
96,0.795
97,0.755
98,0.735
99,0.765
100,0.74
101,0.74
102,0.79
103,0.79
104,0.82
105,0.805
106,0.79
107,0.79
108,0.81
109,0.77
110,0.79
111,0.815
112,0.83
113,0.77
114,0.78
115,0.83
116,0.8
117,0.805
118,0.755
119,0.775
120,0.77
121,0.8
122,0.79
123,0.76
124,0.865
125,0.81
126,0.765
127,0.795
128,0.75
129,0.76
130,0.77
131,0.845
132,0.83
133,0.75
134,0.78
135,0.795
136,0.79
137,0.78
138,0.78
139,0.725
140,0.8
141,0.795
142,0.805
143,0.8
144,0.77
145,0.785
146,0.77
147,0.845
148,0.845
149,0.815
150,0.815
151,0.825
152,0.79
153,0.82
154,0.855
155,0.79
156,0.78
157,0.74
158,0.625
159,0.85
160,0.86
161,0.88
162,0.84
163,0.895
164,0.845
165,0.875
166,0.855
167,0.89
168,0.865
169,0.83
170,0.895
171,0.89
172,0.85
173,0.93
174,0.91
175,0.875
176,0.915
177,0.92
178,0.935
179,0.92
180,0.925
181,0.935
182,0.915
183,0.905
184,0.93
185,0.925
186,0.92
187,0.9
188,0.905
189,0.915
190,0.87
191,0.945
192,0.9
193,0.915
194,0.93
195,0.92
196,0.885
197,0.94
198,0.895
199,0.915
200,0.9
201,0.915
202,0.925
203,0.89
204,0.925
205,0.915
206,0.91
207,0.94
208,0.91
209,0.91
210,0.895
211,0.91
212,0.9
213,0.91
214,0.925
215,0.91
216,0.88
217,0.935
218,0.9
219,0.94
220,0.89
221,0.935
222,0.9
223,0.89
224,0.89
225,0.925
226,0.93
227,0.925
228,0.885
229,0.915
230,0.905
231,0.915
232,0.935
233,0.885
234,0.915
235,0.865
236,0.9
237,0.885
238,0.925
239,0.885
240,0.925
241,0.905
242,0.905
243,0.93
244,0.895
245,0.91
246,0.9
247,0.935
248,0.925
249,0.92
250,0.925
251,0.925
252,0.93
253,0.93
254,0.9
255,0.91
256,0.885
257,0.895
258,0.92
259,0.935
260,0.88
261,0.895
262,0.885
263,0.92
264,0.89
265,0.925
266,0.88
267,0.93
268,0.89
269,0.915
270,0.945
271,0.935
272,0.915
273,0.94
274,0.91
275,0.915
276,0.93
277,0.9
278,0.955
279,0.905
280,0.93
281,0.92
282,0.92
283,0.87
284,0.865
285,0.905
286,0.915
287,0.88
288,0.91
289,0.85
290,0.91
291,0.89
292,0.93
293,0.92
294,0.93
295,0.925
296,0.93
297,0.925
298,0.92
299,0.905
300,0.865
301,0.91
302,0.91
303,0.92
304,0.935
305,0.935
306,0.91
307,0.905
308,0.88
309,0.885
310,0.9
311,0.915
312,0.91
313,0.945
