chunk,accuracy
0,0.0
1,0.125
2,0.435
3,0.615
4,0.53
5,0.705
6,0.755
7,0.7
8,0.61
9,0.89
10,0.88
11,0.865
12,0.9
13,0.815
14,0.865
15,0.94
16,0.92
17,0.915
18,0.915
19,0.9
20,0.935
21,0.925
22,0.905
23,0.915
24,0.88
25,0.84
26,0.69
27,0.895
28,0.955
29,0.965
30,0.93
31,0.895
32,0.905
33,0.91
34,0.925
35,0.94
36,0.945
37,0.86
38,0.91
39,0.93
40,0.92
41,0.83
42,0.8
43,0.935
44,0.94
45,0.935
46,0.955
47,0.9
48,0.915
49,0.98
50,0.94
51,0.895
52,0.91
53,0.785
54,0.94
55,0.875
56,0.895
57,0.88
58,0.915
59,0.95
60,0.925
61,0.805
62,0.935
63,0.865
64,0.945
65,0.84
66,0.88
67,0.955
68,0.87
69,0.845
70,0.93
71,0.895
72,0.965
73,0.94
74,0.985
75,0.9
76,0.95
77,0.94
78,0.955
79,0.965
80,0.975
81,0.885
82,0.95
83,0.92
84,0.945
85,0.91
86,0.92
87,0.91
88,0.93
89,0.76
90,0.93
91,0.88
92,0.96
93,0.98
94,0.97
95,0.96
96,0.88
97,0.905
98,0.955
99,0.955
100,0.97
101,0.97
102,0.945
103,0.965
104,0.97
105,0.96
106,0.945
107,0.96
108,0.955
109,0.98
110,0.96
111,0.945
112,0.955
113,0.96
114,0.91
115,0.87
116,0.985
117,0.965
118,0.97
119,0.96
120,0.905
121,0.97
122,0.965
123,0.94
124,0.76
125,0.94
126,0.97
127,0.95
128,0.96
129,0.93
130,0.935
131,0.965
132,0.95
133,0.97
134,0.975
135,0.975
136,0.96
137,0.91
138,0.785
139,0.835
140,0.94
141,0.98
142,0.91
143,0.97
144,0.975
145,0.975
146,0.935
147,0.975
148,0.98
149,0.975
150,0.98
151,0.97
152,0.96
153,0.81
154,0.96
155,0.905
156,0.84
157,0.89
158,0.88
159,0.96
160,0.85
161,0.78
162,0.9
163,0.935
164,0.805
165,0.92
166,0.94
167,0.95
168,0.8
169,0.95
170,0.94
171,0.895
172,0.91
173,0.72
174,0.905
175,0.925
176,0.93
177,0.905
178,0.955
179,0.8
180,0.945
181,0.885
182,0.74
183,0.925
184,0.93
185,0.96
186,0.94
187,0.94
188,0.8
189,0.87
190,0.915
191,0.84
192,0.935
193,0.94
194,0.88
195,0.88
196,0.92
197,0.81
198,0.93
199,0.895
200,0.91
201,0.92
202,0.895
203,0.96
204,0.915
205,0.85
206,0.935
207,0.93
208,0.94
209,0.945
210,0.895
211,0.95
212,0.925
213,0.89
214,0.89
215,0.905
216,0.935
217,0.835
218,0.88
219,0.97
220,0.96
221,0.945
222,0.975
223,0.955
224,0.945
225,0.93
226,0.905
227,0.895
228,0.935
229,0.925
230,0.93
231,0.92
232,0.945
233,0.925
234,0.825
235,0.86
236,0.935
237,0.93
238,0.935
239,0.855
240,0.955
241,0.935
242,0.9
243,0.96
244,0.955
245,0.955
246,0.96
247,0.925
248,0.85
249,0.695
250,0.875
251,0.945
252,0.87
253,0.92
254,0.945
255,0.93
256,0.93
257,0.835
258,0.945
259,0.925
260,0.94
261,0.945
262,0.97
263,0.93
264,0.88
265,0.955
266,0.915
267,0.95
268,0.98
269,0.955
270,0.95
271,0.94
272,0.91
273,0.88
274,0.955
275,0.96
276,0.885
277,0.955
278,0.935
279,0.945
280,0.895
281,0.885
282,0.9
283,0.9
284,0.71
285,0.895
286,0.95
287,0.91
288,0.88
289,0.955
290,0.945
291,0.965
292,0.955
293,0.91
294,0.945
295,0.94
296,0.91
297,0.945
298,0.965
299,0.935
300,0.93
301,0.915
302,0.95
303,0.89
304,0.98
305,0.95
306,0.965
307,0.92
308,0.96
309,0.895
310,0.97
311,0.915
312,0.965
313,0.965
