chunk,accuracy
0,0.0
1,0.115
2,0.35
3,0.3
4,0.465
5,0.455
6,0.6
7,0.72
8,0.7
9,0.65
10,0.765
11,0.855
12,0.835
13,0.85
14,0.8
15,0.805
16,0.81
17,0.87
18,0.755
19,0.86
20,0.88
21,0.82
22,0.915
23,0.9
24,0.625
25,0.795
26,0.89
27,0.785
28,0.735
29,0.915
30,0.87
31,0.775
32,0.82
33,0.875
34,0.91
35,0.88
36,0.795
37,0.78
38,0.83
39,0.86
40,0.8
41,0.79
42,0.87
43,0.79
44,0.86
45,0.875
46,0.875
47,0.915
48,0.92
49,0.945
50,0.915
51,0.82
52,0.855
53,0.855
54,0.88
55,0.775
56,0.915
57,0.895
58,0.73
59,0.81
60,0.86
61,0.85
62,0.915
63,0.885
64,0.835
65,0.845
66,0.82
67,0.775
68,0.91
69,0.85
70,0.92
71,0.91
72,0.825
73,0.875
74,0.9
75,0.935
76,0.925
77,0.83
78,0.895
79,0.905
80,0.945
81,0.94
82,0.905
83,0.85
84,0.915
85,0.965
86,0.835
87,0.855
88,0.895
89,0.93
90,0.88
91,0.895
92,0.94
93,0.95
94,0.92
95,0.805
96,0.91
97,0.85
98,0.91
99,0.865
100,0.93
101,0.93
102,0.835
103,0.93
104,0.715
105,0.93
106,0.855
107,0.82
108,0.725
109,0.88
110,0.92
111,0.935
112,0.845
113,0.945
114,0.885
115,0.885
116,0.92
117,0.89
118,0.865
119,0.945
120,0.875
121,0.86
122,0.905
123,0.935
124,0.86
125,0.915
126,0.925
127,0.935
128,0.94
129,0.925
130,0.88
131,0.78
132,0.905
133,0.93
134,0.76
135,0.81
136,0.905
137,0.9
138,0.855
139,0.945
140,0.925
141,0.88
142,0.915
143,0.93
144,0.93
145,0.945
146,0.915
147,0.935
148,0.88
149,0.95
150,0.94
151,0.825
152,0.9
153,0.895
154,0.93
155,0.935
156,0.89
157,0.9
158,0.865
159,0.8
160,0.905
161,0.95
162,0.92
163,0.96
164,0.91
165,0.97
166,0.965
167,0.965
168,0.965
169,0.945
170,0.93
171,0.855
172,0.945
173,0.915
174,0.95
175,0.95
176,0.925
177,0.945
178,0.97
179,0.95
180,0.97
181,0.95
182,0.94
183,0.935
184,0.94
185,0.97
186,0.955
187,0.95
188,0.93
189,0.925
190,0.955
191,0.955
192,0.96
193,0.86
194,0.96
195,0.94
196,0.95
197,0.97
198,0.95
199,0.77
200,0.9
201,0.97
202,0.895
203,0.98
204,0.945
205,0.95
206,0.945
207,0.875
208,0.96
209,0.92
210,0.96
211,0.94
212,0.96
213,0.945
214,0.965
215,0.95
216,0.98
217,0.94
218,0.96
219,0.985
220,0.98
221,0.965
222,0.99
223,0.96
224,0.98
225,0.975
226,0.97
227,0.96
228,0.945
229,0.945
230,0.97
231,0.975
232,0.955
233,0.935
234,0.965
235,0.965
236,0.97
237,0.96
238,0.925
239,0.94
240,0.94
241,0.965
242,0.945
243,0.94
244,0.95
245,0.99
246,0.98
247,0.965
248,0.965
249,0.88
250,0.965
251,0.965
252,0.97
253,0.85
254,0.93
255,0.9
256,0.96
257,0.94
258,0.975
259,0.965
260,0.99
261,0.955
262,0.955
263,0.975
264,0.935
265,0.965
266,0.96
267,0.98
268,0.98
269,0.985
270,0.96
271,0.97
272,0.97
273,0.97
274,0.97
275,0.97
276,0.945
277,0.98
278,0.965
279,0.97
280,0.935
281,0.97
282,0.955
283,0.97
284,0.96
285,0.985
286,0.97
287,0.925
288,0.93
289,0.98
290,0.965
291,0.985
292,0.975
293,0.955
294,0.955
295,0.935
296,0.865
297,0.97
298,0.82
299,0.95
300,0.925
301,0.99
302,0.97
303,0.96
304,0.96
305,0.985
306,0.975
307,0.965
308,0.975
309,0.965
310,0.97
311,0.935
312,0.98
313,0.975
