chunk,accuracy
0,0.0
1,0.09
2,0.165
3,0.165
4,0.205
5,0.18
6,0.27
7,0.21
8,0.17
9,0.255
10,0.26
11,0.235
12,0.16
13,0.25
14,0.215
15,0.21
16,0.24
17,0.295
18,0.2
19,0.315
20,0.31
21,0.315
22,0.295
23,0.32
24,0.285
25,0.335
26,0.325
27,0.3
28,0.23
29,0.29
30,0.335
31,0.315
32,0.23
33,0.275
34,0.225
35,0.31
36,0.405
37,0.305
38,0.34
39,0.32
40,0.41
41,0.315
42,0.26
43,0.31
44,0.265
45,0.315
46,0.325
47,0.225
48,0.24
49,0.375
50,0.27
51,0.37
52,0.365
53,0.315
54,0.405
55,0.26
56,0.285
57,0.41
58,0.38
59,0.43
60,0.29
61,0.37
62,0.405
63,0.3
64,0.27
65,0.385
66,0.345
67,0.31
68,0.315
69,0.41
70,0.3
71,0.345
72,0.365
73,0.4
74,0.34
75,0.365
76,0.3
77,0.345
78,0.36
79,0.355
80,0.325
81,0.355
82,0.37
83,0.32
84,0.38
85,0.355
86,0.315
87,0.365
88,0.385
89,0.385
90,0.44
91,0.385
92,0.39
93,0.33
94,0.32
95,0.395
96,0.24
97,0.37
98,0.475
99,0.335
100,0.285
101,0.445
102,0.365
103,0.32
104,0.355
105,0.285
106,0.38
107,0.32
108,0.345
109,0.365
110,0.46
111,0.345
112,0.3
113,0.31
114,0.415
115,0.355
116,0.315
117,0.4
118,0.32
119,0.395
120,0.385
121,0.435
122,0.39
123,0.355
124,0.32
125,0.36
126,0.435
127,0.44
128,0.385
129,0.45
130,0.26
131,0.43
132,0.43
133,0.34
134,0.37
135,0.335
136,0.405
137,0.345
138,0.335
139,0.375
140,0.51
141,0.225
142,0.435
143,0.37
144,0.31
145,0.295
146,0.35
147,0.255
148,0.29
149,0.38
150,0.41
151,0.195
152,0.4
153,0.36
154,0.445
155,0.35
156,0.375
157,0.435
158,0.3
159,0.385
160,0.4
161,0.355
162,0.34
163,0.43
164,0.355
165,0.35
166,0.37
167,0.4
168,0.335
169,0.44
170,0.435
171,0.395
172,0.45
173,0.415
174,0.355
175,0.415
176,0.35
177,0.42
178,0.325
179,0.355
180,0.245
181,0.38
182,0.415
183,0.33
184,0.215
185,0.37
186,0.315
187,0.385
188,0.355
189,0.38
190,0.42
191,0.41
192,0.39
193,0.295
194,0.375
195,0.32
196,0.42
197,0.39
198,0.39
199,0.36
200,0.42
201,0.425
202,0.43
203,0.47
204,0.33
205,0.29
206,0.465
207,0.325
208,0.365
209,0.41
210,0.43
211,0.45
212,0.465
213,0.46
214,0.375
215,0.36
216,0.445
217,0.45
218,0.36
219,0.39
220,0.405
221,0.445
222,0.31
223,0.415
224,0.45
225,0.47
226,0.46
227,0.39
228,0.41
229,0.395
230,0.345
231,0.455
232,0.33
233,0.34
234,0.365
235,0.415
236,0.415
237,0.385
238,0.415
239,0.435
240,0.365
241,0.405
242,0.415
243,0.37
244,0.4
245,0.385
246,0.4
247,0.43
248,0.455
249,0.425
250,0.4
251,0.43
252,0.355
253,0.33
254,0.515
255,0.415
256,0.4
257,0.41
258,0.42
259,0.39
260,0.43
261,0.41
262,0.395
263,0.4
264,0.365
265,0.385
266,0.375
267,0.48
268,0.4
269,0.32
270,0.45
271,0.455
272,0.44
273,0.465
274,0.5
275,0.365
276,0.435
277,0.39
278,0.385
279,0.365
280,0.39
281,0.28
282,0.415
283,0.405
284,0.5
285,0.455
286,0.45
287,0.42
288,0.445
289,0.46
290,0.375
291,0.44
292,0.405
293,0.48
294,0.41
295,0.335
296,0.33
297,0.41
298,0.32
