chunk,accuracy
0,0.0
1,0.17
2,0.375
3,0.44
4,0.535
5,0.575
6,0.71
7,0.73
8,0.745
9,0.44
10,0.77
11,0.845
12,0.795
13,0.81
14,0.765
15,0.885
16,0.83
17,0.805
18,0.745
19,0.785
20,0.91
21,0.825
22,0.81
23,0.78
24,0.805
25,0.82
26,0.84
27,0.775
28,0.77
29,0.84
30,0.815
31,0.805
32,0.815
33,0.8
34,0.82
35,0.805
36,0.775
37,0.82
38,0.795
39,0.755
40,0.835
41,0.8
42,0.83
43,0.85
44,0.835
45,0.81
46,0.78
47,0.775
48,0.825
49,0.81
50,0.845
51,0.78
52,0.78
53,0.77
54,0.785
55,0.795
56,0.805
57,0.825
58,0.795
59,0.765
60,0.825
61,0.805
62,0.78
63,0.78
64,0.815
65,0.855
66,0.785
67,0.78
68,0.735
69,0.775
70,0.775
71,0.78
72,0.815
73,0.79
74,0.725
75,0.78
76,0.845
77,0.82
78,0.825
79,0.8
80,0.78
81,0.775
82,0.785
83,0.84
84,0.79
85,0.815
86,0.81
87,0.795
88,0.78
89,0.825
90,0.785
91,0.79
92,0.75
93,0.805
94,0.77
95,0.82
96,0.835
97,0.755
98,0.77
99,0.815
100,0.815
101,0.765
102,0.835
103,0.835
104,0.8
105,0.76
106,0.81
107,0.78
108,0.83
109,0.83
110,0.775
111,0.81
112,0.78
113,0.76
114,0.73
115,0.75
116,0.765
117,0.725
118,0.805
119,0.78
120,0.765
121,0.815
122,0.76
123,0.825
124,0.805
125,0.765
126,0.81
127,0.76
128,0.825
129,0.835
130,0.77
131,0.755
132,0.865
133,0.765
134,0.83
135,0.785
136,0.735
137,0.79
138,0.78
139,0.765
140,0.8
141,0.775
142,0.77
143,0.815
144,0.835
145,0.825
146,0.805
147,0.805
148,0.755
149,0.81
150,0.785
151,0.83
152,0.795
153,0.8
154,0.755
155,0.825
156,0.795
157,0.75
158,0.53
159,0.81
160,0.86
161,0.855
162,0.88
163,0.865
164,0.885
165,0.91
166,0.85
167,0.89
168,0.86
169,0.855
170,0.9
171,0.845
172,0.87
173,0.905
174,0.935
175,0.915
176,0.85
177,0.92
178,0.895
179,0.91
180,0.945
181,0.93
182,0.885
183,0.87
184,0.905
185,0.91
186,0.915
187,0.915
188,0.915
189,0.89
190,0.9
191,0.905
192,0.92
193,0.91
194,0.915
195,0.875
196,0.9
197,0.88
198,0.915
199,0.91
200,0.89
201,0.905
202,0.89
203,0.95
204,0.925
205,0.895
206,0.9
207,0.95
208,0.95
209,0.91
210,0.9
211,0.925
212,0.905
213,0.895
214,0.915
215,0.905
216,0.91
217,0.93
218,0.91
219,0.86
220,0.905
221,0.895
222,0.925
223,0.89
224,0.91
225,0.91
226,0.89
227,0.915
228,0.915
229,0.91
230,0.935
231,0.9
232,0.895
233,0.895
234,0.895
235,0.915
236,0.86
237,0.935
238,0.905
239,0.905
240,0.91
241,0.92
242,0.915
243,0.92
244,0.915
245,0.91
246,0.87
247,0.925
248,0.94
249,0.9
250,0.895
251,0.905
252,0.905
253,0.89
254,0.875
255,0.92
256,0.905
257,0.92
258,0.885
259,0.91
260,0.905
261,0.905
262,0.91
263,0.885
264,0.885
265,0.895
266,0.92
267,0.915
268,0.89
269,0.895
270,0.885
271,0.905
272,0.89
273,0.91
274,0.9
275,0.91
276,0.89
277,0.91
278,0.91
279,0.92
280,0.88
281,0.915
282,0.91
283,0.92
284,0.9
285,0.865
286,0.9
287,0.885
288,0.93
289,0.905
290,0.895
291,0.895
292,0.885
293,0.895
294,0.9
295,0.91
296,0.92
297,0.905
298,0.87
299,0.865
300,0.93
301,0.89
302,0.885
303,0.905
304,0.915
305,0.895
306,0.9
307,0.875
308,0.9
309,0.875
310,0.875
311,0.9
312,0.895
313,0.945
