chunk,accuracy
0,0.0
1,0.13
2,0.365
3,0.61
4,0.68
5,0.77
6,0.73
7,0.78
8,0.835
9,0.745
10,0.89
11,0.855
12,0.83
13,0.94
14,0.895
15,0.93
16,0.925
17,0.95
18,0.925
19,0.93
20,0.93
21,0.655
22,0.88
23,0.965
24,0.955
25,0.965
26,0.92
27,0.74
28,0.94
29,0.96
30,0.885
31,0.91
32,0.945
33,0.93
34,0.97
35,0.91
36,0.925
37,0.93
38,0.875
39,0.965
40,0.935
41,0.925
42,0.95
43,0.845
44,0.89
45,0.955
46,0.965
47,0.87
48,0.89
49,0.94
50,0.895
51,0.895
52,0.83
53,0.975
54,0.985
55,0.925
56,0.74
57,0.93
58,0.92
59,0.96
60,0.825
61,0.835
62,0.93
63,0.955
64,0.925
65,0.69
66,0.895
67,0.98
68,0.915
69,0.965
70,0.955
71,0.96
72,0.93
73,0.955
74,0.965
75,0.97
76,0.95
77,0.965
78,0.955
79,0.895
80,0.925
81,0.865
82,0.96
83,0.95
84,0.955
85,0.935
86,0.765
87,0.875
88,0.975
89,0.915
90,0.95
91,0.92
92,0.945
93,0.945
94,0.87
95,0.965
96,0.9
97,0.785
98,0.935
99,0.945
100,0.955
101,0.99
102,0.91
103,0.93
104,0.955
105,0.94
106,0.98
107,0.96
108,0.97
109,0.965
110,0.94
111,0.965
112,0.92
113,0.91
114,0.95
115,0.965
116,0.83
117,0.98
118,0.955
119,0.9
120,0.955
121,0.89
122,0.965
123,0.955
124,0.96
125,0.95
126,0.915
127,0.96
128,0.96
129,0.94
130,0.935
131,0.96
132,0.945
133,0.96
134,0.965
135,0.945
136,0.855
137,0.985
138,0.97
139,0.955
140,0.96
141,0.985
142,0.96
143,0.945
144,0.945
145,0.98
146,0.97
147,0.985
148,0.895
149,0.935
150,0.94
151,0.905
152,0.85
153,0.98
154,0.96
155,0.97
156,0.975
157,0.945
158,0.735
159,0.905
160,0.88
161,0.705
162,0.93
163,0.905
164,0.95
165,0.95
166,0.89
167,0.925
168,0.86
169,0.895
170,0.905
171,0.94
172,0.91
173,0.905
174,0.865
175,0.84
176,0.915
177,0.965
178,0.94
179,0.905
180,0.895
181,0.95
182,0.945
183,0.84
184,0.86
185,0.94
186,0.945
187,0.575
188,0.95
189,0.96
190,0.89
191,0.9
192,0.955
193,0.955
194,0.95
195,0.86
196,0.965
197,0.95
198,0.91
199,0.89
200,0.9
201,0.945
202,0.92
203,0.87
204,0.925
205,0.7
206,0.95
207,0.895
208,0.82
209,0.97
210,0.93
211,0.93
212,0.955
213,0.935
214,0.925
215,0.775
216,0.97
217,0.905
218,0.935
219,0.97
220,0.94
221,0.805
222,0.91
223,0.93
224,0.935
225,0.905
226,0.915
227,0.95
228,0.955
229,0.865
230,0.91
231,0.95
232,0.885
233,0.85
234,0.935
235,0.955
236,0.845
237,0.95
238,0.875
239,0.955
240,0.965
241,0.94
242,0.905
243,0.95
244,0.89
245,0.97
246,0.93
247,0.945
248,0.94
249,0.885
250,0.925
251,0.965
252,0.95
253,0.94
254,0.93
255,0.935
256,0.94
257,0.935
258,0.93
259,0.955
260,0.9
261,0.945
262,0.92
263,0.955
264,0.94
265,0.96
266,0.635
267,0.94
268,0.66
269,0.87
270,0.965
271,0.955
272,0.95
273,0.955
274,0.95
275,0.95
276,0.955
277,0.94
278,0.975
279,0.945
280,0.955
281,0.89
282,0.945
283,0.945
284,0.93
285,0.845
286,0.805
287,0.945
288,0.945
289,0.93
290,0.945
291,0.93
292,0.92
293,0.97
294,0.89
295,0.865
296,0.945
297,0.96
298,0.93
299,0.935
300,0.885
301,0.92
302,0.915
303,0.97
304,0.905
305,0.965
306,0.94
307,0.94
308,0.755
309,0.89
310,0.865
311,0.965
312,0.87
313,0.97
