chunk,accuracy
0,0.0
1,0.105
2,0.2
3,0.11
4,0.11
5,0.18
6,0.195
7,0.245
8,0.215
9,0.265
10,0.255
11,0.27
12,0.17
13,0.235
14,0.285
15,0.29
16,0.255
17,0.305
18,0.23
19,0.275
20,0.33
21,0.26
22,0.29
23,0.195
24,0.205
25,0.28
26,0.25
27,0.29
28,0.41
29,0.32
30,0.24
31,0.405
32,0.365
33,0.325
34,0.295
35,0.265
36,0.325
37,0.295
38,0.405
39,0.34
40,0.34
41,0.285
42,0.4
43,0.37
44,0.345
45,0.325
46,0.32
47,0.315
48,0.37
49,0.3
50,0.325
51,0.32
52,0.295
53,0.295
54,0.245
55,0.305
56,0.315
57,0.355
58,0.345
59,0.375
60,0.32
61,0.215
62,0.405
63,0.285
64,0.39
65,0.415
66,0.33
67,0.375
68,0.36
69,0.285
70,0.32
71,0.385
72,0.355
73,0.32
74,0.4
75,0.37
76,0.395
77,0.36
78,0.405
79,0.33
80,0.35
81,0.245
82,0.32
83,0.37
84,0.33
85,0.375
86,0.39
87,0.31
88,0.365
89,0.145
90,0.335
91,0.285
92,0.41
93,0.415
94,0.36
95,0.405
96,0.43
97,0.37
98,0.345
99,0.34
100,0.37
101,0.415
102,0.51
103,0.42
104,0.39
105,0.395
106,0.295
107,0.425
108,0.44
109,0.29
110,0.34
111,0.39
112,0.33
113,0.365
114,0.38
115,0.37
116,0.4
117,0.325
118,0.375
119,0.365
120,0.425
121,0.465
122,0.36
123,0.395
124,0.32
125,0.415
126,0.385
127,0.335
128,0.37
129,0.435
130,0.415
131,0.46
132,0.425
133,0.225
134,0.405
135,0.195
136,0.44
137,0.37
138,0.335
139,0.345
140,0.4
141,0.375
142,0.3
143,0.445
144,0.43
145,0.335
146,0.41
147,0.48
148,0.34
149,0.41
150,0.4
151,0.41
152,0.44
153,0.33
154,0.34
155,0.41
156,0.41
157,0.345
158,0.44
159,0.27
160,0.32
161,0.405
162,0.37
163,0.4
164,0.35
165,0.295
166,0.415
167,0.47
168,0.325
169,0.465
170,0.345
171,0.41
172,0.38
173,0.225
174,0.36
175,0.43
176,0.365
177,0.35
178,0.315
179,0.435
180,0.32
181,0.395
182,0.365
183,0.37
184,0.4
185,0.355
186,0.39
187,0.37
188,0.41
189,0.305
190,0.39
191,0.41
192,0.365
193,0.39
194,0.43
195,0.405
196,0.285
197,0.445
198,0.24
199,0.37
200,0.425
201,0.445
202,0.45
203,0.46
204,0.37
205,0.395
206,0.425
207,0.43
208,0.47
209,0.405
210,0.375
211,0.435
212,0.47
213,0.48
214,0.375
215,0.48
216,0.29
217,0.4
218,0.48
219,0.415
220,0.32
221,0.41
222,0.485
223,0.395
224,0.27
225,0.405
226,0.375
227,0.45
228,0.4
229,0.465
230,0.34
231,0.4
232,0.335
233,0.445
234,0.365
235,0.4
236,0.42
237,0.495
238,0.415
239,0.44
240,0.33
241,0.42
242,0.48
243,0.46
244,0.42
245,0.37
246,0.485
247,0.49
248,0.435
249,0.465
250,0.355
251,0.44
252,0.3
253,0.375
254,0.38
255,0.445
256,0.4
257,0.45
258,0.325
259,0.39
260,0.38
261,0.395
262,0.41
263,0.47
264,0.46
265,0.26
266,0.395
267,0.515
268,0.405
269,0.405
270,0.38
271,0.37
272,0.37
273,0.425
274,0.44
275,0.425
276,0.385
277,0.45
278,0.48
279,0.465
280,0.41
281,0.44
282,0.42
283,0.37
284,0.455
285,0.375
286,0.3
287,0.415
288,0.44
289,0.465
290,0.36
291,0.51
292,0.4
293,0.465
294,0.375
295,0.46
296,0.445
297,0.34
298,0.405
