model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,0.0,42,2.8087713672901105,208950480.6624204,12,29.603988808379377,10.563885501111999
Unlearning,0.0,42,0.08029997832094361,196904214.92993632,1,36.300451594693754,-1.0196161445103369
Sliding,0.0,65,2.8022725568657183,208929459.3121019,4,25.07983208352769,11.025797423845589
Unlearning,0.0,65,0.0803692236996499,196920912.0,1,46.25185289757889,-0.656455142231946
Sliding,0.0,88,2.8042504110085855,208929459.3121019,10,29.757686388202867,10.719782383048766
Unlearning,0.0,88,0.08040127357776472,196920912.0,1,22.553055575271486,-1.8099226346795432
Sliding,0.5,42,2.814921750006367,208929459.3121019,2,19.58285526962794,-16.345681035895748
Unlearning,0.5,42,0.08042187257788506,196920912.0,2,10.576278758096946,-11.674484401757105
Sliding,0.5,65,2.8033214637914754,208929459.3121019,2,31.758723910280064,-15.541066961905921
Unlearning,0.5,65,0.0803544150330245,196920912.0,1,4.135605918711389,-12.560404570144199
Sliding,0.5,88,2.809034017230544,208929459.3121019,3,17.569969820993016,-17.264045640580445
Unlearning,0.5,88,0.08040823587542696,196920912.0,1,8.81731784582894,-12.400060340926204
