chunk,accuracy
0,0.0
1,0.085
2,0.175
3,0.19
4,0.225
5,0.27
6,0.265
7,0.275
8,0.21
9,0.31
10,0.305
11,0.245
12,0.165
13,0.225
14,0.3
15,0.315
16,0.33
17,0.305
18,0.305
19,0.285
20,0.34
21,0.295
22,0.35
23,0.345
24,0.335
25,0.32
26,0.305
27,0.335
28,0.325
29,0.315
30,0.37
31,0.26
32,0.36
33,0.33
34,0.315
35,0.315
36,0.31
37,0.385
38,0.375
39,0.315
40,0.31
41,0.33
42,0.335
43,0.305
44,0.25
45,0.335
46,0.3
47,0.35
48,0.36
49,0.29
50,0.315
51,0.33
52,0.295
53,0.325
54,0.33
55,0.315
56,0.275
57,0.275
58,0.32
59,0.34
60,0.335
61,0.36
62,0.285
63,0.345
64,0.34
65,0.33
66,0.335
67,0.315
68,0.3
69,0.375
70,0.36
71,0.325
72,0.285
73,0.32
74,0.36
75,0.29
76,0.295
77,0.37
78,0.305
79,0.285
80,0.275
81,0.335
82,0.32
83,0.275
84,0.255
85,0.315
86,0.315
87,0.27
88,0.295
89,0.27
90,0.305
91,0.255
92,0.33
93,0.295
94,0.265
95,0.31
96,0.28
97,0.32
98,0.255
99,0.285
100,0.37
101,0.345
102,0.32
103,0.36
104,0.33
105,0.325
106,0.35
107,0.31
108,0.305
109,0.36
110,0.335
111,0.325
112,0.34
113,0.265
114,0.28
115,0.305
116,0.315
117,0.25
118,0.32
119,0.3
120,0.34
121,0.33
122,0.33
123,0.375
124,0.33
125,0.32
126,0.34
127,0.32
128,0.3
129,0.28
130,0.355
131,0.285
132,0.295
133,0.34
134,0.31
135,0.305
136,0.39
137,0.23
138,0.355
139,0.285
140,0.335
141,0.285
142,0.28
143,0.335
144,0.335
145,0.355
146,0.34
147,0.32
148,0.26
149,0.345
150,0.315
151,0.325
152,0.285
153,0.305
154,0.255
155,0.305
156,0.28
157,0.34
158,0.335
159,0.32
160,0.37
161,0.27
162,0.335
163,0.27
164,0.295
165,0.31
166,0.355
167,0.32
168,0.295
169,0.29
170,0.33
171,0.27
172,0.385
173,0.335
174,0.31
175,0.32
176,0.34
177,0.345
178,0.275
179,0.295
180,0.325
181,0.315
182,0.31
183,0.26
184,0.3
185,0.325
186,0.315
187,0.305
188,0.255
189,0.265
190,0.375
191,0.285
192,0.345
193,0.31
194,0.33
195,0.28
196,0.39
197,0.25
198,0.345
199,0.29
200,0.31
201,0.31
202,0.265
203,0.29
204,0.3
205,0.295
206,0.27
207,0.335
208,0.34
209,0.295
210,0.285
211,0.265
212,0.385
213,0.305
214,0.355
215,0.39
216,0.31
217,0.285
218,0.405
219,0.275
220,0.32
221,0.32
222,0.295
223,0.265
224,0.255
225,0.255
226,0.3
227,0.27
228,0.315
229,0.275
230,0.365
231,0.305
232,0.32
233,0.32
234,0.3
235,0.355
236,0.33
237,0.265
238,0.325
239,0.355
240,0.305
241,0.285
242,0.315
243,0.34
244,0.27
245,0.305
246,0.305
247,0.275
248,0.25
249,0.35
250,0.355
251,0.32
252,0.35
253,0.335
254,0.255
255,0.345
256,0.29
257,0.295
258,0.335
259,0.295
260,0.325
261,0.315
262,0.285
263,0.375
264,0.28
265,0.335
266,0.315
267,0.39
268,0.34
269,0.29
270,0.355
271,0.375
272,0.29
273,0.305
274,0.32
275,0.3
276,0.35
277,0.28
278,0.28
279,0.315
280,0.245
281,0.325
282,0.27
283,0.325
284,0.325
285,0.325
286,0.32
287,0.335
288,0.325
289,0.35
290,0.285
291,0.27
292,0.28
293,0.355
294,0.305
295,0.315
296,0.28
297,0.28
298,0.34
