chunk,accuracy
0,0.0
1,0.11
2,0.38
3,0.62
4,0.68
5,0.66
6,0.625
7,0.81
8,0.825
9,0.895
10,0.78
11,0.9
12,0.915
13,0.895
14,0.905
15,0.925
16,0.935
17,0.8
18,0.91
19,0.915
20,0.97
21,0.98
22,0.9
23,0.96
24,0.935
25,0.925
26,0.965
27,0.87
28,0.905
29,0.955
30,0.95
31,0.92
32,0.95
33,0.97
34,0.955
35,0.915
36,0.815
37,0.935
38,0.835
39,0.925
40,0.925
41,0.985
42,0.89
43,0.565
44,0.86
45,0.945
46,0.935
47,0.94
48,0.955
49,0.95
50,0.945
51,0.95
52,0.95
53,0.825
54,0.83
55,0.84
56,0.93
57,0.965
58,0.905
59,0.925
60,0.97
61,0.965
62,0.935
63,0.955
64,0.93
65,0.945
66,0.895
67,0.96
68,0.96
69,0.945
70,0.89
71,0.955
72,0.915
73,0.945
74,0.92
75,0.945
76,0.97
77,0.935
78,0.965
79,0.96
80,0.975
81,0.945
82,0.79
83,0.965
84,0.84
85,0.985
86,0.945
87,0.955
88,0.94
89,0.815
90,0.96
91,0.935
92,0.955
93,0.955
94,0.955
95,0.955
96,0.835
97,0.92
98,0.945
99,0.915
100,0.905
101,0.89
102,0.915
103,0.965
104,0.975
105,0.905
106,0.95
107,0.955
108,0.955
109,0.85
110,0.955
111,0.965
112,0.96
113,0.955
114,0.835
115,0.97
116,0.955
117,0.97
118,0.96
119,0.95
120,0.9
121,0.91
122,0.91
123,0.96
124,0.945
125,0.955
126,0.88
127,0.965
128,0.92
129,0.94
130,0.955
131,0.855
132,0.925
133,0.94
134,0.92
135,0.95
136,0.96
137,0.84
138,0.95
139,0.95
140,0.845
141,0.955
142,0.94
143,0.95
144,0.96
145,0.97
146,0.97
147,0.975
148,0.975
149,0.965
150,0.95
151,0.925
152,0.96
153,0.97
154,0.815
155,0.93
156,0.965
157,0.935
158,0.725
159,0.66
160,0.915
161,0.91
162,0.83
163,0.81
164,0.875
165,0.94
166,0.915
167,0.715
168,0.935
169,0.62
170,0.86
171,0.93
172,0.915
173,0.83
174,0.93
175,0.935
176,0.915
177,0.9
178,0.935
179,0.895
180,0.97
181,0.96
182,0.925
183,0.93
184,0.845
185,0.775
186,0.93
187,0.81
188,0.925
189,0.96
190,0.91
191,0.96
192,0.945
193,0.755
194,0.62
195,0.81
196,0.935
197,0.955
198,0.915
199,0.92
200,0.865
201,0.945
202,0.98
203,0.915
204,0.835
205,0.945
206,0.97
207,0.96
208,0.955
209,0.95
210,0.925
211,0.95
212,0.88
213,0.945
214,0.905
215,0.9
216,0.955
217,0.935
218,0.95
219,0.96
220,0.955
221,0.965
222,0.935
223,0.89
224,0.94
225,0.865
226,0.94
227,0.965
228,0.955
229,0.895
230,0.96
231,0.94
232,0.93
233,0.945
234,0.92
235,0.92
236,0.91
237,0.875
238,0.485
239,0.9
240,0.955
241,0.945
242,0.91
243,0.955
244,0.87
245,0.955
246,0.94
247,0.885
248,0.98
249,0.95
250,0.94
251,0.915
252,0.845
253,0.945
254,0.93
255,0.97
256,0.925
257,0.935
258,0.975
259,0.97
260,0.925
261,0.885
262,0.955
263,0.855
264,0.925
265,0.915
266,0.97
267,0.955
268,0.94
269,0.9
270,0.87
271,0.935
272,0.96
273,0.945
274,0.65
275,0.93
276,0.95
277,0.95
278,0.875
279,0.96
280,0.955
281,0.98
282,0.925
283,0.975
284,0.98
285,0.92
286,0.955
287,0.955
288,0.88
289,0.93
290,0.96
291,0.805
292,0.905
293,0.91
294,0.8
295,0.915
296,0.95
297,0.97
298,0.915
299,0.87
300,0.93
301,0.97
302,0.965
303,0.925
304,0.915
305,0.89
306,0.925
307,0.9
308,0.945
309,0.95
310,0.95
311,0.84
312,0.89
313,0.905
