chunk,accuracy
0,0.0
1,0.12
2,0.49
3,0.635
4,0.795
5,0.74
6,0.825
7,0.88
8,0.87
9,0.895
10,0.9
11,0.935
12,0.71
13,0.895
14,0.86
15,0.725
16,0.925
17,0.92
18,0.95
19,0.92
20,0.925
21,0.885
22,0.945
23,0.925
24,0.91
25,0.91
26,0.895
27,0.92
28,0.925
29,0.925
30,0.905
31,0.905
32,0.905
33,0.89
34,0.935
35,0.89
36,0.9
37,0.86
38,0.945
39,0.91
40,0.885
41,0.915
42,0.885
43,0.88
44,0.91
45,0.925
46,0.945
47,0.92
48,0.92
49,0.94
50,0.88
51,0.895
52,0.87
53,0.905
54,0.89
55,0.925
56,0.895
57,0.9
58,0.93
59,0.93
60,0.94
61,0.905
62,0.9
63,0.89
64,0.905
65,0.945
66,0.945
67,0.92
68,0.88
69,0.915
70,0.905
71,0.9
72,0.91
73,0.9
74,0.93
75,0.91
76,0.925
77,0.915
78,0.895
79,0.915
80,0.925
81,0.91
82,0.89
83,0.9
84,0.93
85,0.955
86,0.885
87,0.93
88,0.895
89,0.94
90,0.92
91,0.94
92,0.93
93,0.935
94,0.925
95,0.925
96,0.905
97,0.92
98,0.925
99,0.92
100,0.91
101,0.915
102,0.88
103,0.9
104,0.91
105,0.935
106,0.89
107,0.895
108,0.905
109,0.94
110,0.925
111,0.905
112,0.915
113,0.88
114,0.91
115,0.91
116,0.94
117,0.925
118,0.91
119,0.915
120,0.895
121,0.94
122,0.95
123,0.92
124,0.875
125,0.855
126,0.925
127,0.915
128,0.9
129,0.92
130,0.91
131,0.925
132,0.89
133,0.895
134,0.89
135,0.915
136,0.92
137,0.86
138,0.855
139,0.905
140,0.89
141,0.905
142,0.91
143,0.93
144,0.885
145,0.9
146,0.89
147,0.895
148,0.94
149,0.92
150,0.925
151,0.895
152,0.875
153,0.925
154,0.92
155,0.905
156,0.91
157,0.92
158,0.625
159,0.705
160,0.79
161,0.705
162,0.82
163,0.805
164,0.695
165,0.795
166,0.82
167,0.785
168,0.83
169,0.81
170,0.86
171,0.835
172,0.785
173,0.815
174,0.77
175,0.775
176,0.785
177,0.795
178,0.8
179,0.795
180,0.81
181,0.76
182,0.77
183,0.81
184,0.73
185,0.855
186,0.815
187,0.71
188,0.755
189,0.78
190,0.835
191,0.76
192,0.815
193,0.785
194,0.755
195,0.805
196,0.825
197,0.815
198,0.825
199,0.805
200,0.805
201,0.81
202,0.78
203,0.825
204,0.78
205,0.785
206,0.795
207,0.79
208,0.83
209,0.78
210,0.855
211,0.77
212,0.725
213,0.78
214,0.815
215,0.78
216,0.82
217,0.82
218,0.765
219,0.84
220,0.83
221,0.75
222,0.82
223,0.77
224,0.78
225,0.825
226,0.755
227,0.82
228,0.78
229,0.81
230,0.775
231,0.8
232,0.78
233,0.805
234,0.795
235,0.785
236,0.81
237,0.775
238,0.805
239,0.84
240,0.81
241,0.825
242,0.775
243,0.775
244,0.775
245,0.83
246,0.78
247,0.74
248,0.815
249,0.82
250,0.775
251,0.75
252,0.775
253,0.8
254,0.785
255,0.835
256,0.79
257,0.775
258,0.785
259,0.74
260,0.765
261,0.78
262,0.86
263,0.78
264,0.795
265,0.785
266,0.765
267,0.825
268,0.83
269,0.82
270,0.81
271,0.845
272,0.79
273,0.815
274,0.8
275,0.805
276,0.805
277,0.805
278,0.8
279,0.84
280,0.775
281,0.75
282,0.8
283,0.83
284,0.77
285,0.75
286,0.815
287,0.745
288,0.795
289,0.825
290,0.82
291,0.82
292,0.785
293,0.765
294,0.775
295,0.765
296,0.87
297,0.79
298,0.8
299,0.8
300,0.83
301,0.815
302,0.82
303,0.825
304,0.735
305,0.835
306,0.79
307,0.81
308,0.735
309,0.805
310,0.79
311,0.79
312,0.81
313,0.81
