chunk,accuracy
0,0.0
1,0.11
2,0.26
3,0.395
4,0.53
5,0.68
6,0.65
7,0.715
8,0.765
9,0.765
10,0.82
11,0.82
12,0.83
13,0.86
14,0.81
15,0.795
16,0.845
17,0.825
18,0.88
19,0.85
20,0.895
21,0.805
22,0.83
23,0.835
24,0.78
25,0.79
26,0.77
27,0.755
28,0.82
29,0.77
30,0.815
31,0.745
32,0.805
33,0.755
34,0.82
35,0.745
36,0.71
37,0.73
38,0.83
39,0.84
40,0.765
41,0.82
42,0.75
43,0.785
44,0.815
45,0.855
46,0.87
47,0.785
48,0.84
49,0.8
50,0.79
51,0.77
52,0.73
53,0.785
54,0.795
55,0.795
56,0.795
57,0.785
58,0.77
59,0.785
60,0.78
61,0.81
62,0.785
63,0.79
64,0.78
65,0.8
66,0.785
67,0.8
68,0.815
69,0.83
70,0.79
71,0.795
72,0.77
73,0.835
74,0.755
75,0.805
76,0.78
77,0.805
78,0.78
79,0.87
80,0.84
81,0.85
82,0.765
83,0.765
84,0.805
85,0.86
86,0.775
87,0.815
88,0.685
89,0.825
90,0.79
91,0.805
92,0.81
93,0.8
94,0.805
95,0.79
96,0.805
97,0.8
98,0.79
99,0.82
100,0.8
101,0.8
102,0.785
103,0.795
104,0.755
105,0.84
106,0.815
107,0.73
108,0.8
109,0.78
110,0.815
111,0.81
112,0.815
113,0.79
114,0.78
115,0.785
116,0.875
117,0.765
118,0.815
119,0.815
120,0.78
121,0.835
122,0.83
123,0.765
124,0.785
125,0.765
126,0.795
127,0.83
128,0.805
129,0.8
130,0.77
131,0.8
132,0.795
133,0.79
134,0.8
135,0.81
136,0.825
137,0.725
138,0.745
139,0.785
140,0.82
141,0.8
142,0.805
143,0.815
144,0.81
145,0.775
146,0.815
147,0.785
148,0.775
149,0.795
150,0.84
151,0.715
152,0.845
153,0.76
154,0.81
155,0.81
156,0.785
157,0.84
158,0.85
159,0.89
160,0.84
161,0.855
162,0.845
163,0.815
164,0.835
165,0.905
166,0.885
167,0.92
168,0.9
169,0.88
170,0.895
171,0.915
172,0.895
173,0.915
174,0.93
175,0.895
176,0.895
177,0.91
178,0.905
179,0.93
180,0.94
181,0.935
182,0.915
183,0.915
184,0.875
185,0.905
186,0.93
187,0.91
188,0.905
189,0.87
190,0.87
191,0.9
192,0.915
193,0.89
194,0.885
195,0.91
196,0.885
197,0.93
198,0.925
199,0.93
200,0.895
201,0.89
202,0.885
203,0.93
204,0.9
205,0.895
206,0.91
207,0.91
208,0.92
209,0.91
210,0.94
211,0.905
212,0.885
213,0.915
214,0.915
215,0.885
216,0.885
217,0.9
218,0.925
219,0.945
220,0.93
221,0.92
222,0.925
223,0.9
224,0.89
225,0.915
226,0.91
227,0.92
228,0.91
229,0.905
230,0.89
231,0.945
232,0.875
233,0.93
234,0.91
235,0.885
236,0.93
237,0.895
238,0.925
239,0.93
240,0.925
241,0.89
242,0.915
243,0.89
244,0.885
245,0.925
246,0.92
247,0.905
248,0.92
249,0.955
250,0.92
251,0.935
252,0.9
253,0.905
254,0.86
255,0.915
256,0.895
257,0.88
258,0.925
259,0.905
260,0.905
261,0.88
262,0.93
263,0.91
264,0.905
265,0.92
266,0.925
267,0.91
268,0.925
269,0.935
270,0.92
271,0.945
272,0.89
273,0.935
274,0.915
275,0.885
276,0.92
277,0.89
278,0.93
279,0.92
280,0.855
281,0.865
282,0.92
283,0.94
284,0.85
285,0.905
286,0.9
287,0.92
288,0.93
289,0.93
290,0.865
291,0.925
292,0.93
293,0.92
294,0.905
295,0.89
296,0.895
297,0.895
298,0.93
299,0.91
300,0.915
301,0.91
302,0.875
303,0.92
304,0.915
305,0.88
306,0.895
307,0.935
308,0.925
309,0.92
310,0.905
311,0.91
312,0.905
313,0.875
