chunk,accuracy
0,0.0
1,0.1
2,0.445
3,0.66
4,0.61
5,0.785
6,0.74
7,0.88
8,0.86
9,0.925
10,0.915
11,0.885
12,0.905
13,0.95
14,0.935
15,0.885
16,0.905
17,0.895
18,0.77
19,0.905
20,0.895
21,0.945
22,0.97
23,0.945
24,0.945
25,0.925
26,0.945
27,0.98
28,0.955
29,0.955
30,0.965
31,0.89
32,0.945
33,0.565
34,0.965
35,0.925
36,0.925
37,0.95
38,0.935
39,0.955
40,0.82
41,0.88
42,0.965
43,0.96
44,0.945
45,0.905
46,0.95
47,0.895
48,0.9
49,0.75
50,0.975
51,0.94
52,0.925
53,0.86
54,0.98
55,0.915
56,0.935
57,0.87
58,0.935
59,0.88
60,0.965
61,0.95
62,0.945
63,0.945
64,0.945
65,0.89
66,0.9
67,0.92
68,0.945
69,0.965
70,0.955
71,0.925
72,0.94
73,0.965
74,0.955
75,0.97
76,0.875
77,0.935
78,0.905
79,0.945
80,0.945
81,0.81
82,0.935
83,0.975
84,0.955
85,0.785
86,0.845
87,0.815
88,0.955
89,0.97
90,0.94
91,0.975
92,0.955
93,0.915
94,0.965
95,0.96
96,0.8
97,0.945
98,0.94
99,0.935
100,0.855
101,0.955
102,0.915
103,0.92
104,0.72
105,0.96
106,0.99
107,0.97
108,0.955
109,0.965
110,0.965
111,0.95
112,0.955
113,0.845
114,0.965
115,0.92
116,0.98
117,0.975
118,0.935
119,0.97
120,0.98
121,0.96
122,0.955
123,0.95
124,0.845
125,0.96
126,0.95
127,0.97
128,0.97
129,0.95
130,0.89
131,0.99
132,0.965
133,0.95
134,0.975
135,0.955
136,0.965
137,0.975
138,0.97
139,0.95
140,0.915
141,0.965
142,0.965
143,0.905
144,0.96
145,0.975
146,0.97
147,0.96
148,0.825
149,0.92
150,0.975
151,0.94
152,0.985
153,0.96
154,0.92
155,0.895
156,0.97
157,0.74
158,0.805
159,0.69
160,0.93
161,0.92
162,0.93
163,0.965
164,0.865
165,0.915
166,0.95
167,0.93
168,0.61
169,0.89
170,0.915
171,0.925
172,0.745
173,0.97
174,0.915
175,0.865
176,0.935
177,0.96
178,0.945
179,0.83
180,0.865
181,0.91
182,0.755
183,0.84
184,0.935
185,0.965
186,0.895
187,0.905
188,0.905
189,0.95
190,0.665
191,0.935
192,0.95
193,0.89
194,0.93
195,0.945
196,0.715
197,0.96
198,0.88
199,0.835
200,0.675
201,0.955
202,0.875
203,0.92
204,0.93
205,0.94
206,0.905
207,0.96
208,0.93
209,0.935
210,0.825
211,0.91
212,0.96
213,0.935
214,0.94
215,0.95
216,0.775
217,0.94
218,0.94
219,0.7
220,0.945
221,0.93
222,0.935
223,0.935
224,0.795
225,0.965
226,0.92
227,0.935
228,0.95
229,0.93
230,0.925
231,0.945
232,0.855
233,0.915
234,0.905
235,0.76
236,0.94
237,0.895
238,0.935
239,0.965
240,0.97
241,0.95
242,0.945
243,0.85
244,0.945
245,0.95
246,0.96
247,0.925
248,0.905
249,0.94
250,0.965
251,0.945
252,0.92
253,0.94
254,0.935
255,0.9
256,0.85
257,0.935
258,0.955
259,0.95
260,0.945
261,0.93
262,0.925
263,0.94
264,0.85
265,0.845
266,0.87
267,0.92
268,0.965
269,0.94
270,1.0
271,0.93
272,0.955
273,0.88
274,0.95
275,0.965
276,0.975
277,0.94
278,0.98
279,0.95
280,0.95
281,0.91
282,0.955
283,0.96
284,0.94
285,0.965
286,0.965
287,0.95
288,0.94
289,0.94
290,0.89
291,0.915
292,0.965
293,0.95
294,0.85
295,0.925
296,0.945
297,0.955
298,0.85
299,0.955
300,0.915
301,0.905
302,0.895
303,0.96
304,0.935
305,0.935
306,0.96
307,0.94
308,0.97
309,0.955
310,0.945
311,0.985
312,0.955
313,0.975
