chunk,accuracy
0,0.0
1,0.125
2,0.22
3,0.39
4,0.305
5,0.46
6,0.68
7,0.63
8,0.515
9,0.655
10,0.785
11,0.56
12,0.68
13,0.76
14,0.81
15,0.83
16,0.87
17,0.895
18,0.84
19,0.79
20,0.82
21,0.875
22,0.87
23,0.885
24,0.865
25,0.91
26,0.95
27,0.875
28,0.795
29,0.83
30,0.92
31,0.895
32,0.895
33,0.86
34,0.93
35,0.755
36,0.905
37,0.88
38,0.805
39,0.85
40,0.935
41,0.76
42,0.835
43,0.89
44,0.935
45,0.91
46,0.805
47,0.79
48,0.92
49,0.945
50,0.885
51,0.89
52,0.785
53,0.82
54,0.885
55,0.93
56,0.675
57,0.86
58,0.93
59,0.93
60,0.97
61,0.915
62,0.92
63,0.925
64,0.79
65,0.895
66,0.85
67,0.885
68,0.805
69,0.92
70,0.915
71,0.93
72,0.94
73,0.905
74,0.89
75,0.85
76,0.915
77,0.965
78,0.925
79,0.87
80,0.945
81,0.93
82,0.845
83,0.91
84,0.885
85,0.93
86,0.865
87,0.865
88,0.925
89,0.95
90,0.94
91,0.855
92,0.89
93,0.735
94,0.875
95,0.915
96,0.93
97,0.9
98,0.89
99,0.94
100,0.925
101,0.9
102,0.905
103,0.945
104,0.92
105,0.93
106,0.945
107,0.91
108,0.95
109,0.875
110,0.91
111,0.935
112,0.96
113,0.825
114,0.89
115,0.885
116,0.865
117,0.96
118,0.955
119,0.92
120,0.945
121,0.935
122,0.945
123,0.89
124,0.945
125,0.915
126,0.955
127,0.93
128,0.95
129,0.755
130,0.965
131,0.895
132,0.945
133,0.89
134,0.945
135,0.895
136,0.93
137,0.95
138,0.93
139,0.915
140,0.94
141,0.875
142,0.89
143,0.82
144,0.92
145,0.93
146,0.935
147,0.835
148,0.7
149,0.915
150,0.95
151,0.905
152,0.94
153,0.945
154,0.86
155,0.96
156,0.87
157,0.94
158,0.96
159,0.94
160,0.955
161,0.965
162,0.96
163,0.97
164,0.945
165,0.985
166,0.965
167,0.975
168,0.99
169,0.935
170,0.985
171,0.92
172,0.92
173,0.77
174,0.96
175,0.955
176,0.95
177,0.925
178,0.965
179,0.985
180,0.97
181,0.97
182,0.875
183,0.955
184,0.955
185,0.98
186,0.935
187,0.95
188,0.955
189,0.975
190,0.97
191,0.815
192,0.965
193,0.955
194,0.96
195,0.945
196,0.955
197,0.95
198,0.955
199,0.96
200,0.955
201,0.895
202,0.96
203,0.98
204,0.98
205,0.96
206,0.985
207,0.995
208,0.99
209,0.98
210,0.935
211,0.995
212,0.99
213,0.965
214,0.93
215,0.97
216,0.945
217,0.96
218,0.99
219,0.98
220,0.99
221,0.975
222,0.95
223,0.95
224,0.955
225,0.89
226,0.895
227,0.93
228,0.95
229,0.95
230,0.985
231,0.97
232,0.965
233,0.965
234,0.97
235,0.95
236,0.845
237,0.97
238,0.98
239,0.96
240,0.97
241,0.98
242,0.965
243,0.97
244,0.99
245,0.985
246,0.81
247,0.975
248,0.99
249,0.96
250,0.955
251,0.98
252,0.975
253,0.97
254,0.95
255,0.975
256,0.97
257,0.965
258,0.965
259,0.985
260,0.945
261,0.985
262,0.98
263,0.975
264,0.94
265,0.985
266,0.975
267,0.975
268,0.94
269,0.91
270,0.96
271,0.945
272,0.955
273,0.95
274,0.99
275,0.98
276,0.94
277,0.98
278,0.96
279,0.915
280,0.99
281,0.98
282,0.95
283,0.94
284,0.975
285,0.935
286,0.985
287,0.97
288,0.905
289,0.975
290,0.93
291,0.955
292,0.945
293,0.95
294,0.955
295,0.965
296,0.975
297,0.97
298,0.97
299,0.975
300,0.97
301,0.98
302,0.97
303,0.955
304,0.915
305,0.885
306,0.965
307,0.935
308,0.96
309,0.975
310,0.965
311,0.945
312,0.86
313,0.965
