chunk,accuracy
0,0.0
1,0.08
2,0.2
3,0.345
4,0.51
5,0.51
6,0.685
7,0.69
8,0.73
9,0.74
10,0.7
11,0.765
12,0.78
13,0.71
14,0.775
15,0.86
16,0.85
17,0.81
18,0.85
19,0.855
20,0.855
21,0.81
22,0.815
23,0.78
24,0.81
25,0.775
26,0.825
27,0.79
28,0.805
29,0.84
30,0.85
31,0.785
32,0.805
33,0.81
34,0.855
35,0.755
36,0.8
37,0.775
38,0.81
39,0.76
40,0.87
41,0.805
42,0.805
43,0.83
44,0.845
45,0.795
46,0.745
47,0.795
48,0.81
49,0.82
50,0.805
51,0.78
52,0.795
53,0.77
54,0.785
55,0.83
56,0.83
57,0.8
58,0.85
59,0.765
60,0.84
61,0.785
62,0.815
63,0.825
64,0.82
65,0.77
66,0.76
67,0.75
68,0.78
69,0.84
70,0.835
71,0.815
72,0.805
73,0.785
74,0.755
75,0.8
76,0.835
77,0.835
78,0.8
79,0.815
80,0.74
81,0.74
82,0.805
83,0.81
84,0.795
85,0.825
86,0.805
87,0.81
88,0.74
89,0.81
90,0.785
91,0.765
92,0.775
93,0.815
94,0.69
95,0.78
96,0.77
97,0.76
98,0.78
99,0.805
100,0.77
101,0.815
102,0.79
103,0.785
104,0.815
105,0.78
106,0.825
107,0.795
108,0.795
109,0.805
110,0.815
111,0.815
112,0.745
113,0.795
114,0.74
115,0.82
116,0.765
117,0.805
118,0.83
119,0.695
120,0.83
121,0.815
122,0.755
123,0.795
124,0.845
125,0.745
126,0.8
127,0.795
128,0.815
129,0.765
130,0.765
131,0.775
132,0.82
133,0.81
134,0.775
135,0.81
136,0.765
137,0.755
138,0.76
139,0.745
140,0.805
141,0.78
142,0.77
143,0.795
144,0.75
145,0.78
146,0.785
147,0.83
148,0.825
149,0.715
150,0.78
151,0.825
152,0.77
153,0.75
154,0.79
155,0.765
156,0.82
157,0.8
158,0.805
159,0.835
160,0.835
161,0.875
162,0.88
163,0.855
164,0.88
165,0.935
166,0.86
167,0.875
168,0.915
169,0.905
170,0.895
171,0.895
172,0.86
173,0.895
174,0.905
175,0.94
176,0.86
177,0.9
178,0.9
179,0.94
180,0.915
181,0.92
182,0.915
183,0.875
184,0.91
185,0.93
186,0.905
187,0.905
188,0.905
189,0.91
190,0.905
191,0.92
192,0.905
193,0.91
194,0.885
195,0.885
196,0.905
197,0.9
198,0.9
199,0.905
200,0.895
201,0.935
202,0.9
203,0.93
204,0.915
205,0.91
206,0.915
207,0.945
208,0.93
209,0.925
210,0.92
211,0.94
212,0.935
213,0.905
214,0.915
215,0.915
216,0.89
217,0.93
218,0.915
219,0.93
220,0.905
221,0.88
222,0.935
223,0.875
224,0.91
225,0.9
226,0.85
227,0.92
228,0.905
229,0.89
230,0.925
231,0.88
232,0.875
233,0.945
234,0.88
235,0.94
236,0.87
237,0.925
238,0.905
239,0.915
240,0.9
241,0.9
242,0.92
243,0.925
244,0.93
245,0.945
246,0.87
247,0.925
248,0.92
249,0.925
250,0.885
251,0.925
252,0.885
253,0.91
254,0.9
255,0.915
256,0.92
257,0.895
258,0.93
259,0.965
260,0.88
261,0.94
262,0.94
263,0.89
264,0.9
265,0.905
266,0.935
267,0.91
268,0.88
269,0.915
270,0.88
271,0.875
272,0.9
273,0.935
274,0.915
275,0.93
276,0.9
277,0.905
278,0.9
279,0.93
280,0.9
281,0.94
282,0.885
283,0.925
284,0.935
285,0.91
286,0.925
287,0.915
288,0.89
289,0.91
290,0.925
291,0.885
292,0.885
293,0.87
294,0.875
295,0.91
296,0.92
297,0.895
298,0.87
299,0.92
300,0.905
301,0.905
302,0.86
303,0.895
304,0.89
305,0.895
306,0.87
307,0.9
308,0.89
309,0.9
310,0.89
311,0.92
312,0.895
313,0.895
