model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,0.0,42,2.838125308702706,208950480.6624204,13,28.626145475372283,10.74957044673539
Unlearning,0.0,42,0.08359494868511702,196894196.6878981,2,32.75759171493768,-0.5090398455327273
Sliding,0.0,65,2.8395110766097877,208929459.3121019,16,36.879890875152554,10.880178045803719
Unlearning,0.0,65,0.08327414421661264,196920912.0,3,41.57885585115631,-0.12867327421318092
Sliding,0.0,88,2.8383455407171017,208929459.3121019,9,26.259366820838267,11.250941163816291
Unlearning,0.0,88,0.08308184648134337,196920912.0,2,40.45721108262808,-0.7058327773290682
Sliding,0.5,42,2.836623105739546,208929459.3121019,3,-2.6607994735976535,-16.462411580852155
Unlearning,0.5,42,0.0839896827571355,196920912.0,1,4.437804338202743,-10.94879740298066
Sliding,0.5,65,2.83092979845668,208929459.3121019,5,-3.604718304050168,-16.996617998845192
Unlearning,0.5,65,0.08281933319766763,196920912.0,1,9.991809991809996,-11.6930980567344
Sliding,0.5,88,2.827732828269256,208929459.3121019,3,-4.662385996482761,-16.232464929859717
Unlearning,0.5,88,0.08296128113570202,196920912.0,1,7.087016877328851,-9.856067801563508
