chunk,accuracy
0,0.0
1,0.115
2,0.43
3,0.275
4,0.41
5,0.72
6,0.675
7,0.7
8,0.78
9,0.84
10,0.835
11,0.84
12,0.755
13,0.885
14,0.93
15,0.8
16,0.87
17,0.86
18,0.89
19,0.785
20,0.885
21,0.875
22,0.91
23,0.89
24,0.93
25,0.9
26,0.875
27,0.895
28,0.91
29,0.925
30,0.935
31,0.94
32,0.9
33,0.685
34,0.86
35,0.6
36,0.805
37,0.94
38,0.825
39,0.885
40,0.81
41,0.89
42,0.75
43,0.895
44,0.89
45,0.91
46,0.89
47,0.895
48,0.92
49,0.7
50,0.8
51,0.915
52,0.93
53,0.935
54,0.945
55,0.845
56,0.95
57,0.915
58,0.895
59,0.745
60,0.905
61,0.845
62,0.855
63,0.915
64,0.885
65,0.92
66,0.885
67,0.865
68,0.815
69,0.93
70,0.92
71,0.845
72,0.855
73,0.755
74,0.95
75,0.915
76,0.825
77,0.92
78,0.83
79,0.855
80,0.92
81,0.895
82,0.91
83,0.94
84,0.89
85,0.895
86,0.82
87,0.93
88,0.885
89,0.945
90,0.92
91,0.96
92,0.915
93,0.87
94,0.915
95,0.92
96,0.93
97,0.92
98,0.945
99,0.945
100,0.94
101,0.935
102,0.91
103,0.745
104,0.93
105,0.925
106,0.96
107,0.92
108,0.95
109,0.405
110,0.905
111,0.945
112,0.91
113,0.94
114,0.95
115,0.88
116,0.935
117,0.965
118,0.93
119,0.94
120,0.92
121,0.945
122,0.925
123,0.915
124,0.88
125,0.88
126,0.935
127,0.96
128,0.92
129,0.93
130,0.935
131,0.97
132,0.93
133,0.93
134,0.935
135,0.905
136,0.96
137,0.955
138,0.845
139,0.87
140,0.895
141,0.95
142,0.95
143,0.85
144,0.925
145,0.94
146,0.885
147,0.695
148,0.84
149,0.905
150,0.79
151,0.94
152,0.975
153,0.965
154,0.845
155,0.935
156,0.94
157,0.9
158,0.915
159,0.96
160,0.96
161,0.965
162,0.965
163,0.965
164,0.96
165,0.96
166,0.955
167,0.98
168,0.965
169,0.97
170,0.955
171,0.975
172,0.97
173,0.985
174,0.945
175,0.925
176,0.965
177,0.99
178,0.97
179,0.98
180,0.97
181,0.97
182,0.965
183,0.87
184,0.97
185,0.965
186,0.965
187,0.96
188,0.975
189,0.96
190,0.96
191,0.965
192,0.91
193,0.975
194,0.975
195,0.965
196,0.95
197,0.995
198,0.95
199,0.93
200,0.975
201,0.975
202,0.97
203,0.94
204,0.975
205,0.96
206,0.875
207,0.915
208,0.955
209,0.975
210,0.945
211,0.985
212,0.975
213,0.96
214,0.94
215,0.985
216,0.96
217,0.98
218,0.97
219,0.9
220,0.965
221,0.94
222,0.955
223,0.93
224,0.95
225,0.965
226,0.975
227,0.97
228,0.955
229,0.95
230,0.98
231,0.94
232,0.855
233,0.955
234,0.955
235,0.845
236,0.965
237,0.97
238,0.995
239,0.96
240,0.97
241,0.955
242,0.975
243,0.975
244,0.96
245,0.965
246,0.965
247,0.96
248,0.945
249,0.97
250,0.965
251,0.99
252,0.98
253,0.975
254,0.97
255,0.975
256,0.975
257,0.97
258,0.98
259,0.965
260,0.93
261,0.965
262,0.94
263,0.84
264,0.955
265,0.97
266,0.94
267,0.91
268,0.955
269,0.975
270,0.98
271,0.995
272,0.96
273,0.97
274,0.965
275,0.965
276,0.975
277,0.975
278,0.945
279,0.955
280,0.97
281,0.98
282,0.99
283,0.975
284,0.825
285,0.905
286,0.96
287,0.92
288,0.935
289,0.965
290,0.97
291,0.94
292,0.935
293,0.945
294,0.97
295,0.965
296,0.965
297,0.985
298,0.975
299,0.975
300,0.955
301,0.95
302,0.965
303,0.98
304,0.975
305,0.995
306,0.975
307,0.955
308,0.985
309,0.96
310,0.96
311,0.96
312,0.965
313,0.985
