chunk,accuracy
0,0.0
1,0.145
2,0.5
3,0.67
4,0.69
5,0.805
6,0.815
7,0.87
8,0.835
9,0.915
10,0.885
11,0.865
12,0.89
13,0.93
14,0.94
15,0.86
16,0.905
17,0.865
18,0.925
19,0.92
20,0.94
21,0.92
22,0.92
23,0.91
24,0.92
25,0.93
26,0.91
27,0.915
28,0.925
29,0.93
30,0.94
31,0.915
32,0.905
33,0.875
34,0.91
35,0.875
36,0.935
37,0.915
38,0.915
39,0.95
40,0.885
41,0.9
42,0.945
43,0.895
44,0.9
45,0.88
46,0.915
47,0.895
48,0.9
49,0.88
50,0.925
51,0.865
52,0.9
53,0.93
54,0.925
55,0.865
56,0.925
57,0.94
58,0.89
59,0.94
60,0.925
61,0.895
62,0.875
63,0.87
64,0.885
65,0.925
66,0.925
67,0.92
68,0.91
69,0.91
70,0.93
71,0.89
72,0.925
73,0.945
74,0.915
75,0.89
76,0.91
77,0.91
78,0.905
79,0.93
80,0.915
81,0.895
82,0.915
83,0.905
84,0.94
85,0.87
86,0.9
87,0.88
88,0.905
89,0.925
90,0.865
91,0.915
92,0.9
93,0.88
94,0.895
95,0.9
96,0.895
97,0.86
98,0.905
99,0.92
100,0.895
101,0.92
102,0.91
103,0.885
104,0.915
105,0.935
106,0.94
107,0.91
108,0.895
109,0.925
110,0.905
111,0.89
112,0.885
113,0.925
114,0.92
115,0.905
116,0.94
117,0.935
118,0.87
119,0.92
120,0.915
121,0.905
122,0.88
123,0.885
124,0.9
125,0.92
126,0.91
127,0.895
128,0.91
129,0.905
130,0.88
131,0.945
132,0.89
133,0.89
134,0.94
135,0.89
136,0.9
137,0.905
138,0.9
139,0.91
140,0.9
141,0.905
142,0.905
143,0.895
144,0.895
145,0.91
146,0.94
147,0.885
148,0.935
149,0.915
150,0.925
151,0.92
152,0.925
153,0.92
154,0.91
155,0.92
156,0.915
157,0.635
158,0.725
159,0.755
160,0.755
161,0.745
162,0.775
163,0.78
164,0.745
165,0.795
166,0.82
167,0.82
168,0.815
169,0.795
170,0.825
171,0.8
172,0.765
173,0.815
174,0.74
175,0.775
176,0.8
177,0.835
178,0.81
179,0.835
180,0.815
181,0.775
182,0.73
183,0.81
184,0.83
185,0.805
186,0.785
187,0.78
188,0.81
189,0.795
190,0.765
191,0.795
192,0.78
193,0.835
194,0.84
195,0.81
196,0.805
197,0.81
198,0.8
199,0.805
200,0.87
201,0.865
202,0.81
203,0.74
204,0.79
205,0.78
206,0.835
207,0.785
208,0.84
209,0.78
210,0.78
211,0.82
212,0.825
213,0.775
214,0.805
215,0.82
216,0.775
217,0.75
218,0.79
219,0.83
220,0.775
221,0.775
222,0.765
223,0.775
224,0.77
225,0.795
226,0.825
227,0.805
228,0.83
229,0.735
230,0.815
231,0.815
232,0.81
233,0.785
234,0.77
235,0.78
236,0.74
237,0.765
238,0.815
239,0.815
240,0.845
241,0.815
242,0.795
243,0.8
244,0.785
245,0.745
246,0.77
247,0.83
248,0.79
249,0.79
250,0.8
251,0.805
252,0.795
253,0.82
254,0.805
255,0.76
256,0.805
257,0.775
258,0.785
259,0.805
260,0.83
261,0.815
262,0.735
263,0.805
264,0.745
265,0.78
266,0.805
267,0.835
268,0.765
269,0.8
270,0.845
271,0.8
272,0.78
273,0.81
274,0.8
275,0.82
276,0.83
277,0.8
278,0.815
279,0.81
280,0.83
281,0.84
282,0.83
283,0.795
284,0.75
285,0.805
286,0.74
287,0.825
288,0.795
289,0.75
290,0.75
291,0.735
292,0.785
293,0.785
294,0.77
295,0.81
296,0.825
297,0.785
298,0.78
299,0.885
300,0.76
301,0.74
302,0.825
303,0.785
304,0.76
305,0.825
306,0.825
307,0.77
308,0.775
309,0.745
310,0.87
311,0.78
312,0.805
313,0.82
